Author,Location,Comparison,Outcome,Drug,nstudies,totalsample,effectmeasure,effectsize,low_ci,up_ci,agegrp
Esu,synthesised,IPTi versus placebo,clinical malaria,total,10.00,10602.00,RR,0.73,0.65,0.82,
Esu,synthesised,IPTi versus placebo,clinical malaria,AQ,1.00,146.00,RR,0.35,0.22,0.56,
Esu,synthesised,IPTi versus placebo,clinical malaria,MQ,1.00,480.00,RR,0.62,0.44,0.88,
Esu,synthesised,IPTi versus placebo,clinical malaria,SP,8.00,8774.00,RR,0.79,0.74,0.85,
Esu,synthesised,IPTi versus placebo,clinical malaria,AQ-AS,1.00,547.00,RR,0.75,0.61,0.94,
Esu,synthesised,IPTi versus placebo,clinical malaria,DHAP,1.00,147.00,RR,0.42,0.33,0.54,
Esu,synthesised,IPTi versus placebo,clinical malaria,SP-AS,1.00,508.00,RR,0.78,0.62,0.97,
Esu,synthesised,IPTi versus placebo,severe malaria,total,2.00,-9.00,RR,-9.00,-9.00,-9.00,
Esu,synthesised,IPTi versus placebo,severe malaria,SP,1.00,1347.00,RR,0.92,0.47,1.81,
Esu,synthesised,IPTi versus placebo,severe malaria,DHAP,1.00,147.00,RR,1.29,0.28,5.98,
Esu,synthesised,IPTi versus placebo,all-cause mortality,total,11.00,16930.00,RR,0.94,0.77,1.14,
Esu,synthesised,IPTi versus placebo,all-cause mortality,AQ,1.00,146.00,RR,1.30,0.30,5.59,
Esu,synthesised,IPTi versus placebo,all-cause mortality,MQ,1.00,640.00,RR,0.67,0.11,3.96,
Esu,synthesised,IPTi versus placebo,all-cause mortality,SP,9.00,14588.00,RR,0.93,0.74,1.15,
Esu,synthesised,IPTi versus placebo,all-cause mortality,AQ-AS,1.00,684.00,RR,1.21,0.58,2.55,
Esu,synthesised,IPTi versus placebo,all-cause mortality,DHAP,1.00,196.00,RR,0.33,0.01,8.08,
Esu,synthesised,IPTi versus placebo,all-cause mortality,AP-AS,1.00,676.00,RR,0.83,0.36,1.89,
Esu,synthesised,IPTi versus placebo,hospital admissions,AQ,1.00,146.00,RR,0.40,0.21,0.77,
Esu,synthesised,IPTi versus placebo,hospital admissions,MQ,1.00,480.00,RR,0.98,0.73,1.31,
Esu,synthesised,IPTi versus placebo,hospital admissions,SP,7.00,7486.00,RR,0.85,0.78,0.93,
Esu,synthesised,IPTi versus placebo,hospital admissions,AQ-AS,1.00,684.00,RR,0.98,0.76,1.27,
Esu,synthesised,IPTi versus placebo,hospital admissions,DHAP,1.00,147.00,RR,1.58,0.46,5.42,
Esu,synthesised,IPTi versus placebo,hospital admissions,SP-AS,1.00,676.00,RR,0.92,0.71,1.20,
Esu,synthesised,IPTi versus placebo,parasitaemia,total,1.00,-9.00,RR,-9.00,-9.00,-9.00,
Esu,synthesised,IPTi versus placebo,parasitaemia,SP,1.00,1200.00,RR,0.66,0.56,0.79,
Esu,synthesised,IPTi versus placebo,anaemia,total,8.00,-9.00,RR,-9.00,-9.00,-9.00,
Esu,synthesised,IPTi versus placebo,anaemia,AQ,1.00,146.00,RR,0.29,0.13,0.63,
Esu,synthesised,IPTi versus placebo,anaemia,MQ,1.00,480.00,RR,1.06,0.78,1.44,
Esu,synthesised,IPTi versus placebo,anaemia,SP,6.00,7438.00,RR,0.82,0.68,0.98,
Esu,synthesised,IPTi versus placebo,anaemia,AQ-AS,1.00,684.00,RR,0.77,0.53,1.12,
Esu,synthesised,IPTi versus placebo,anaemia,SP-AS,1.00,676.00,RR,0.72,0.49,1.07,
Mockenhaupt,"Tamale, Ghana",IPTi versus placebo,All episodes,SP,-9.00,1200.00,PE,16.50,6.20,25.60,3–24
Mockenhaupt,"Tamale, Ghana",IPTi versus placebo,All episodes,SP,-9.00,1200.00,PE,33.30,20.70,43.90,3–12
Mockenhaupt,"Tamale, Ghana",IPTi versus placebo,All episodes,SP,-9.00,1200.00,PE,8.00,-5.00,19.30,13–24
Mockenhaupt,"Tamale, Ghana",IPTi versus placebo,Severe malaria,SP,-9.00,1200.00,PE,-20.30,-106.00,29.90,3–24
Mockenhaupt,"Tamale, Ghana",IPTi versus placebo,Severe malaria,SP,-9.00,1200.00,PE,-33.60,-497.00,70.10,3–12
Mockenhaupt,"Tamale, Ghana",IPTi versus placebo,Severe malaria,SP,-9.00,1200.00,PE,-18.70,-110.00,33.40,13–24
Mockenhaupt,"Tamale, Ghana",IPTi versus placebo,Anemia,SP,-9.00,1200.00,PE,19.10,-1.10,35.30,3–24
Mockenhaupt,"Tamale, Ghana",IPTi versus placebo,Anemia,SP,-9.00,1200.00,PE,32.60,-4.60,56.50,3–12
Mockenhaupt,"Tamale, Ghana",IPTi versus placebo,Anemia,SP,-9.00,1200.00,PE,15.60,-8.00,34.00,13–24
Mockenhaupt,"Tamale, Ghana",IPTi versus placebo,Death,SP,-9.00,1200.00,PE,0.50,-79.80,45.00,3–24
Mockenhaupt,"Tamale, Ghana",IPTi versus placebo,Death,SP,-9.00,1200.00,PE,-37.60,-199.60,36.80,3–12
Mockenhaupt,"Tamale, Ghana",IPTi versus placebo,Death,SP,-9.00,1200.00,PE,17.10,-2.10,81.20,13–24
