,adm1,adm2,year,llins_yn,llins_num,llin_month,mortality,Kill_rate
0,Adamawa,Lamurde,2010,,,,0.67809547,0.6541598365028833
1,Adamawa,Song,2010,,,,0.753191828,0.6913112514691124
2,Adamawa,Yola South,2010,,,,0.8083418729999999,0.7142291150711051
3,Akwa lbom,Abak,2010,,,,0.722364563,0.6769122662111883
4,Akwa lbom,Essien Udim,2010,,,,0.69176266,0.661448320774548
5,Akwa lbom,Ibesikpo Asutan,2010,,,,0.738593362,0.6846382179938467
6,Akwa lbom,Ikot Abasi,2010,,,,0.46170393600000004,0.5090468864650947
7,Akwa lbom,Obot Akara,2010,,,,0.69367019,0.6624467456749926
8,Akwa lbom,Oruk Anam,2010,,,,0.677306988,0.6537321201896505
9,Anambra,Ayamelum,2010,,,,0.714672874,0.6731361352891656
10,Akwa lbom,Uyo,2010,,,,0.7286014259999999,0.6799200208331903
11,Anambra,Anaocha,2010,,,,0.731896698,0.6814896849995334
12,Anambra,Ihiala,2010,,,,0.548692497,0.5736082284633445
13,Anambra,Nnewi North,2010,,,,0.681588098,0.6560449389409622
14,Anambra,Onitsha South,2010,,,,0.715601623,0.6735960191303301
15,Anambra,Oyi,2010,,,,0.67143453,0.6505217337755737
16,Bauchi,Bauchi,2010,,,,0.7869456140000001,0.7057591211840843
17,Bauchi,Damban,2010,,,,0.8531699070000001,0.7303313374518104
18,Bauchi,Gamawa,2010,,,,0.849288788,0.7290219962864074
19,Bauchi,Giade,2010,,,,0.809072021,0.7145089849811003
20,Bauchi,Katagum,2010,,,,0.8335454059999999,0.7235486275494275
21,Bauchi,Misau,2010,,,,0.854425745,0.7307516698434419
22,Bauchi,Ningi,2010,,,,0.757628049,0.6932877309382589
23,Bauchi,Shira,2010,,,,0.8231514740000001,0.7197897026878524
24,Ekiti,Ado Ekiti,2010,,,,0.5490412179999999,0.5738519993214132
25,Ekiti,Ekiti West,2010,,,,0.562659647,0.5832666545197778
26,Ekiti,Irepodun/Ifelodun,2010,,,,0.569981101,0.5882417840278892
27,Gombe,Akko,2010,,,,0.708246615,0.6699244386971408
28,Gombe,Dukku,2010,,,,0.806641347,0.7135749724615819
29,Gombe,Gombe,2010,,,,0.745665948,0.6879036298937512
30,Kano,Dala,2010,,,,0.767276689,0.6975047550598006
31,Gombe,Shomgom,2010,,,,0.6626358179999999,0.6456296288094574
32,Kano,Tofa,2010,,,,0.78682214,0.7057087168399058
33,Jigawa,Malam Madori,2010,,,,0.832407763,0.7231428972387848
34,Jigawa,Birni Kudu,2010,,,,0.8099067459999999,0.7148282076150894
35,Jigawa,Kafin Hausa,2010,,,,0.837861447,0.7250752934566808
36,Jigawa,Gwaram,2010,,,,0.830878899,0.7225954475582106
37,Kaduna,Birnin-Gwari,2010,,,,0.585336478,0.5984747641419744
38,Kaduna,Chikun,2010,,,,0.610430948,0.6145935207128969
39,Kebbi,Koko/Besse,2010,,,,0.461923759,0.5092183018820632
40,Kaduna,Kaduna North,2010,,,,0.6195223129999999,0.620243504030406
41,Kaduna,Kauru,2010,,,,0.586972837,0.5995489085161168
42,Kaduna,Lere,2010,,,,0.645529076,0.635837174000931
43,Kaduna,Markafi,2010,,,,0.7920001790000001,0.707807336549443
44,Kaduna,Soba,2010,,,,0.7559986999999999,0.6925645666889204
45,Kaduna,Zaria,2010,,,,0.700548728,0.6660088399268147
46,Kano,Bagwai,2010,,,,0.7895333940000001,0.7068114339927863
47,Kano,Bebeji,2010,,,,0.8346993629999999,0.7239587564117879
48,Kano,Garko,2010,,,,0.780447188,0.7030822300850809
49,Kano,Kabo,2010,,,,0.8232279220000001,0.7198177786806433
50,Kano,Kura,2010,,,,0.780242509,0.7029971157159838
51,Kano,Ungogo,2010,,,,0.788990135,0.7065911624293638
52,Kano,Warawa,2010,,,,0.8183158429999999,0.7180007542439472
53,Kano,Wudil,2010,,,,0.7769352759999999,0.7016150117781682
