LGA_nu,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate
Aba North,Aba North,Ngor-Okpala,0.368493072,0.459164498,0.342350367,0.317512273,0.319067389,0.393201897
Aba South,Aba South,Ngor-Okpala,0.432585871,0.42691277,0.242141206,0.289843907,0.311454386,0.38693958
Abadam,Abadam,Babura,0.717584416,0.651199027,0.639332017,0.715626442,0.658846787,0.643492642
Abaji,Abaji,Keana,0.426753569,0.242500786,0.181989309,0.341084875,0.476373849,0.520406247
Abak,Abak,Nsit Ubium,0.117647059,0.066666667,0.173913043,0.163934426,0.358412263,0.425644469
Abakaliki,Abakaliki,Owan East,0.763663577,0.624739896,0.555434439,0.620208008,0.416945424,0.473491294
Abeokuta North,Abeokuta North,Owan East,0.5585438,0.50745042,0.396366979,0.512361736,0.429058332,0.483229857
Abeokuta South,Abeokuta South,Uzo-Uwani,0.378117902,0.636654445,0.175224834,0.2573025,0.443245868,0.494533241
Abi,Abi,Obubra,0.64610383,0.450892796,0.426174519,0.566548821,0.400313882,0.46000802
Aboh-Mbaise,Aboh-Mbaise,Ngor-Okpala,0.194444444,0.266473717,0.076923077,0.086021505,0.366998982,0.432717137
Abua-Odual,Abua/Odual,Ahoada West,0.145590149,0.300011628,0.095100445,0.097399364,0.255950957,0.341818833
Abuja Municipal,Abuja Municipal,Keana,0.418523067,0.320238662,0.155117782,0.264070273,0.500846708,0.538963989
Adavi,Adavi,Owan East,0.830655145,0.595557959,0.519685549,0.592855281,0.308698703,0.384675567
Ado,Ado,Akinyele,0.394663802,0.22521866,0.201283786,0.280297908,0.357778894,0.425122422
Ado Ekiti,Ado Ekiti,Owan East,0.307654798,0.266792702,0.30162414,0.251320966,0.357399296,0.424809523
Ado-Odo-Ota,Ado-Odo/Ota,Uzo-Uwani,0.437146656,0.447816926,0.289844266,0.30835722,0.405185074,0.46396913
Afijio,Afijio,Akinyele,0.538461538,0.25,0.111111111,0.347826087,0.464150913,0.510953009
Afikpo North,Afikpo North,Oru West,0.905685179,0.7833935,0.678846153,0.738112654,0.428193447,0.482537052
Afikpo South,Afikpo South,Ngor-Okpala,0.66709147,0.563956235,0.528864595,0.583653742,0.44733042,0.497764649
Agaie,Agaie,Oke-Ero,0.391788901,0.299429972,0.260379648,0.355121446,0.469310553,0.514957552
Agatu,Agatu,Keana,0.75,0.833333333,0.655172414,0.705882353,0.440507142,0.492360644
Agege,Agege,Uzo-Uwani,0.236100835,0.257686681,0.050976405,0.178004623,0.445938468,0.49666464
Aguata,Aguata,Oru West,0.255850471,0.387034474,0.239642794,0.237666189,0.454034567,0.503044714
Agwara,Agwara,Birnin Kebbi,0.789226475,0.614967322,0.534978419,0.78771905,0.513248554,0.548162892
Ahiazu-Mbaise,Ahiazu-Mbaise,Ngor-Okpala,0.090909091,0.428571429,0.076923077,0.214285714,0.4502266,0.500049325
Ahoada East,Ahoada East,Ahoada West,0.117816091,0.263960478,0.045255473,0.068187744,0.212067193,0.307284555
Ahoada West,Ahoada West,Ahoada West,0.111111111,0.263960478,0.229098821,0.2,0.212747654,0.30780961
Aiyedade,Aiyedade,Akinyele,0.384615385,0.375,0.416666667,0.277777778,0.401428384,0.460915111
Aiyedire,Aiyedire,Akinyele,0.43481825,0.392030997,0.310573478,0.377487976,0.440828641,0.492615926
Ajaokuta,Ajaokuta,Owan East,0.4,0.416666667,0.407407407,0.413043478,0.321205627,0.394962504
Ajeromi-Ifelodun,Ajeromi-Ifelodun,Uzo-Uwani,0.148953743,0.147321439,0.011366354,0.041432729,0.442448497,0.493901179
Ajingi,Ajingi,Taura,0.838709677,0.727272727,0.740740741,0.980769231,0.772623248,0.699793659
Akamkpa,Akamkpa,Ngor-Okpala,0.416996009,0.299737126,0.459918974,0.349381787,0.473355826,0.518082922
Akinyele,Akinyele,Akinyele,0.464362203,0.556624126,0.419195418,0.355369252,0.353306712,0.421435221
