adm1,LGA,year,llins_yn,llins_num,llin_month
Abia,Aba North,2015,1,,2
Abia,Aba South,2015,1,,2
Akwa lbom,Abak,2010,,,
Akwa Ibom,Abak,2014,1,,12
Akwa Ibom,Abak,2018,1,109963,
Ebonyi,Abakaliki,2015,1,,9
Ogun,Abeokuta North,2014,1,,3
Ogun,Abeokuta North,2018,1,180210,5
Ogun,Abeokuta South,2014,1,,3
Ogun,Abeokuta South,2018,1,196824,5
Cross River,Abi,2015,1,,9
Cross River,Abi,2018,1,116302,
Imo,Aboh-Mbaise,2017,1,146280,11
Rivers,Abua/Odual,2014,1,,10
Kogi,Adavi,2017,1,137000,
Benue,Ado,2016,1,121414,4
Ekiti,Ado Ekiti,2010,,,
Ekiti,Ado Ekiti,2014,1,,12
Ogun,Ado-Odo/Ota,2010,,,
Ogun,Ado-Odo/Ota,2014,1,,3
Ogun,Ado-Odo/Ota,2018,1,428229,5
Oyo,Afijio,2016,1,101576,11
Ebonyi,Afikpo North,2015,1,,9
Ebonyi,Afikpo South,2015,1,,9
Niger,Agaie,2014,1,,12
Niger,Agaie,2019,1,,12
Benue,Agatu,2016,1,77496,4
Anambra,Aguata,2014,1,,10
Niger,Agwara,2014,1,,12
Niger,Agwara,2019,1,,12
Imo,Ahiazu-Mbaise,2017,1,116975,11
Rivers,Ahoada East,2014,1,,10
Rivers,Ahoada West,2010,,,
Rivers,Ahoada West,2014,1,,10
Osun,Aiyedade,2017,1,99920,9
Osun,Aiyedire,2017,1,49863,9
Kogi,Ajaokuta,2017,1,76452,
Kano,Ajingi,2015,1,,3
Kano,Ajingi,2019,1,,10
Cross River,Akamkpa,2015,1,,9
Cross River,Akamkpa,2018,1,122390,
Oyo,Akinyele,2016,1,149931,11
Gombe,Akko,2010,,,
Gombe,Akko,2014,1,,10
Gombe,Akko,2018,1,326501,12
Ondo,Akoko North East,2017,1,129964,11
Ondo,Akoko North West,2017,1,136066,11
Ondo,Akoko South East,2017,1,55747,11
Ondo,Akoko South West,2017,1,165262,11
Edo ,Akoko-Edo,2017,1,163334,8
Cross River,Akpabuyo,2015,1,,9
Cross River,Akpabuyo,2018,1,218577,
Rivers,Akuku Toru,2014,1,,10
Ondo,Akure North,2017,1,101123,11
Ondo,Akure South,2017,1,305281,11
Nasarawa,Akwanga,2014,1,,10
Nasarawa,Akwanga,2018,1,92788,
Kano,Albasu,2015,1,,3
Kano,Albasu,2019,1,,10
Kebbi,Aleiro,2015,1,,1
Kebbi,Aleiro,2018,1,51124,
Bauchi,Alkaleri,2014,1,,10
Bauchi,Alkaleri,2018,1,271509,
Anambra,Anambra East,2014,1,,10
Anambra,Anambra West,2014,1,,10
Anambra,Anaocha,2010,,,
Anambra,Anaocha,2014,1,,10
Rivers,Andoni,2010,,,
Rivers,Andoni,2014,1,,10
Delta,Aniocha North,2018,1,76549,
Delta,Aniocha North,2019,1,76549,6
Delta,Aniocha South,2018,1,91682,
Delta,Aniocha South,2019,1,91682,6
Zamfara,Anka,2015,1,,9
Kogi,Ankpa,2017,1,175582,
Benue,Apa,2016,1,67283,4
Taraba,Ardo-Kola,2018,1,73661,
Taraba,Ardo-Kola,2019,1,73661,8
Kebbi,Arewa-Dandi,2015,1,,1
Kebbi,Arewa-Dandi,2018,1,150750,
Kebbi,Argungu,2015,1,,1
Kebbi,Argungu,2018,1,152500,
Abia,Arochukwu,2015,1,,2
Kwara,Asa,2017,1,87131,10
Rivers,Asari-Toru,2010,,,
Rivers,Asari-Toru,2014,1,,10
Osun,Atakumosa East,2017,1,55060,9
Osun,Atakumosa West,2017,1,49854,9
Oyo,Atiba,2016,1,125648,11
Oyo,Atigbo,2016,1,80678,11
Kebbi,Augie,2010,,,
Kebbi,Augie,2015,1,,1
Kebbi,Augie,2018,1,91150,
Jigawa,Auyo,2014,1,,10
Jigawa,Auyo,2018,1,112918,8
Nasarawa,Awe,2014,1,,10
Nasarawa,Awe,2018,1,92408,
Anambra,Awka North,2014,1,,10
Anambra,Awka South,2014,1,,10
Anambra,Ayamelum,2010,,,
Anambra,Ayamelum,2014,1,,10
Jigawa,Babura,2014,1,,10
Jigawa,Babura,2018,1,181985,8
Yobe,Bade,2018,1,236974,
Yobe,Bade,2019,1,236974,6
Kebbi,Bagudo,2015,1,,1
Kebbi,Bagudo,2018,1,173450,
Kano,Bagwai,2010,,,
Kano,Bagwai,2015,1,,3
Kano,Bagwai,2019,1,,10
Cross River,Bakassi,2015,1,,9
Cross River,Bakassi,2018,1,27150,
Katsina,Bakori,2015,1,,1
Katsina,Bakori,2018,1,134539,10
Zamfara,Bakura,2015,1,,9
Gombe,Balanga,2014,1,,10
Gombe,Balanga,2018,1,187758,12
Taraba,Bali,2018,1,168841,
Taraba,Bali,2019,1,168841,8
Plateau,Barikin Ladi,2015,1,,3
Kwara,Baruten,2017,1,163916,10
Kogi,Bassa1,2017,1,89527,
Plateau,Bassa2,2015,1,,3
Katsina,Batagarawa,2015,1,,1
Katsina,Batagarawa,2018,1,146507,10
Katsina,Batsari,2015,1,,1
Katsina,Batsari,2018,1,164462,10
Bauchi,Bauchi,2010,,,
Bauchi,Bauchi,2014,1,,10
Bauchi,Bauchi,2018,1,412322,
Katsina,Baure,2015,1,,1
Katsina,Baure,2018,1,161298,10
Kano,Bebeji,2010,,,
Kano,Bebeji,2015,1,,3
Kano,Bebeji,2019,1,,10
Cross River,Bekwara,2015,1,,9
Cross River,Bekwara,2018,1,81802,
Abia,Bende,2015,1,,2
Cross River,Biase,2015,1,,9
