"","LGA","repDS","year_10","year_13","year_14","year_15","year_16","year_17","year_18","year_19"
"1","Aba North","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"2","Aba South","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"3","Arochukwu","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"4","Bende","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"5","Ikwuano","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"6","Isiala-Ngwa North","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"7","Isiala-Ngwa South","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"8","Isuikwato","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"9","Obi Nwa","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"10","Ohafia","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"11","Osisioma Ngwa","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"12","Ugwunagbo","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"13","Ukwa East","Nsit Ubium",NA,NA,NA,1,NA,NA,NA,NA
"14","Ukwa West","Nsit Ubium",NA,NA,NA,1,NA,NA,NA,NA
"15","Umu-Neochi","Oru West",NA,NA,NA,1,NA,NA,NA,NA
"16","Umuahia North","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"17","Umuahia South","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA
"18","Demsa","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA
"19","Gireri","Darazo",NA,NA,NA,NA,NA,1,NA,NA
"20","Gombi","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA
"21","Guyuk","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA
"22","Hong","Darazo",NA,NA,NA,NA,NA,1,NA,NA
"23","Lamurde","Alkaleri",1,NA,NA,NA,NA,1,NA,NA
"24","Mayo-Belwa","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA
