,State,LGA,area_sq_km
1,Bayelsa,Sagbama,896.4003529
2,Borno,Chibok,1402.205184
3,Kogi,Ankpa,1272.298391
4,Delta,Burutu,1745.800533
5,Akwa,Urue-Offong/Oruko,127.9527626
6,Taraba,Yorro,1340.909775
7,Kwara,Baruten,10380.83901
8,Lagos,Lagos Mainland,22.8316626
9,Zamfara,Gusau,3069.376943
10,Kaduna,Ikara,904.7840449
11,Cross River,Biase,1261.92281
12,Oyo,Olorunsogo,1039.996528
13,Kano,Wudil         ,336.3673617
14,Ekiti,Ilemeji,100.3259053
15,Gombe,Balanga,1805.513368
16,Oyo,Ibarapa North,1250.129135
17,Bauchi,Alkaleri,6147.668526
18,Taraba,Lau,1821.314846
19,Delta,Ughelli North,824.3095659
20,Akwa,Itu,256.4510638
21,Imo,Ohaji/Egbema,1154.38481
22,Edo,Etsako West,973.1205045
23,Niger,Kontagora,2026.114131
24,Osun,Boripe,138.764616
25,Kogi,Yagba West,1183.960729
26,Kano,Karaye,451.0601883
27,Osun,Aiyedire,282.1867621
28,Edo,Etsako East,1235.693867
29,Ogun,Odogbolu,545.4819222
30,Anambra,Ogbaru,399.79878
31,Cross River,Ogoja,980.625682
32,Jigawa,Gumel,238.6321898
33,Gombe,Gombe,15.22767895
34,Oyo,Ogbomosho North,197.5532405
35,Katsina,Katsina,145.8017178
36,Katsina,Safana,1356.279959
37,Anambra,Awka North,390.5078067
38,Jigawa,Miga,619.4853178
39,Akwa,Ikot Abasi,334.8679643
40,Ondo,Ondo West,849.7022615
41,Kaduna,Jaba,430.8690982
42,Gombe,Nafada,1899.667202
43,Jigawa,Biriniwa,1591.259321
44,Abia,Umu-Neochi,452.9713967
45,Ogun,Imeko-Afon,1586.703604
46,Kogi,Igalamela-Odolu,2001.931562
47,Yobe,Potiskum,554.9667282
48,Rivers,Etche,570.1539874
49,Oyo,Ido,1073.53583
50,Kebbi,Jega,906.507471
51,Kwara,Kaiama,7905.691384
52,Ogun,Remo North,164.6060457
53,Oyo,Saki West,2177.849735
54,Jigawa,Sule-Tankarkar,1491.667
55,Benue,Logo,1386.644565
56,Delta,Ndokwa West,864.9252685
57,Jigawa,Auyo,501.5761519
58,Jigawa,Gwaram,2030.443281
59,Kebbi,Wasagu/Danko,3450.027202
60,Imo,Ikeduru,180.0098997
61,Borno,Guzamala,2318.25291
62,Oyo,Afijio,728.3429633
63,Borno,Marte,3007.449826
64,Oyo,Saki East,1662.138774
65,Kwara,Ifelodun1,3484.023921
66,Jigawa,Maigatari,1101.146296
67,Sokoto,Gada,1196.588132
68,Yobe,Gulani,2333.762745
69,Taraba,Jalingo,191.6622118
70,Osun,Oriade,599.65652
71,Adamawa,Numan,815.1192241
72,Ekiti,Efon-Alayee,178.8887658
73,Sokoto,Wurno,643.5139269
74,Cross River,Yala,1770.527862
75,Kaduna,Kudan,396.634694
76,Kebbi,Aleiro,367.3379473
77,Osun,Ilesha West,65.16527144
78,Sokoto,Sokoto North,39.66913336
79,Taraba,Bali,8565.787634
80,Ondo,Okitipupa,776.4382735
81,Abuja,Kwali,1302.025041
82,Imo,Ngor-Okpala,607.8669313
83,Kano,Kabo,315.0684049
84,Ebonyi,Ebonyi,458.066245
85,Nasarawa,Wamba,1186.332171
86,Rivers,Ahoada East,354.8897304
87,Benue,Obi1,420.0722346
88,Kogi,Yagba East,1522.944373
89,Ondo,Akoko South West,508.4113973
90,Imo,Ezinihitte,99.10603373
91,Bauchi,Darazo,2503.782083
92,Zamfara,Zurmi,2788.876812
93,Anambra,Oyi,131.9761231
94,Kano,Tudun Wada,1135.050914
95,Zamfara,Bukkuyum,3135.666641
96,Cross River,Obubra,1164.160964
97,Edo,Ovia South West,2847.004286
98,Ondo,Ilaje,1476.240621
99,Borno,Kala/Balge,1244.242487
100,Katsina,Kafur,1033.669186
101,Ekiti,Ikole,1007.609975
102,Ekiti,Ekiti East,220.7421489
103,Ondo,Akoko North East,431.5312
104,Yobe,Tarmua,4514.425217
105,Edo,Esan South East,1278.681506
106,Niger,Agaie,1873.146963
107,Kwara,Oke-Ero,419.9306678
108,Imo,Oguta,481.2079154
109,Niger,Borgu,10378.08092
110,Kano,Bebeji,760.6638962
111,Jigawa,Hadejia,47.53756703
112,Rivers,Ogu/Bolo,52.06223145
113,Osun,Ife South,703.7670456
114,Imo,Obowo,75.9611182
115,Ekiti,Irepodun/Ifelodun,380.9759974
116,Enugu,Isi-Uzo,895.947651
117,Kogi,Ofu,1662.2764
118,Kano,Gaya,620.934088
119,Cross River,Akpabuyo,793.7300175
120,Oyo,Ibadan South East,23.56307851
121,Plateau,Langtang North,806.0531001
122,Rivers,Opobo/Nkoro,143.2107091
123,Imo,Owerri West,305.1183488
124,Niger,Bida,51.35428199
125,Yobe,Fune,5006.475198
126,Ebonyi,Ishielu,918.0479045
127,Oyo,Orelope,922.4679774
128,Borno,Magumeri,5145.018758
129,Jigawa,Roni,238.3217361
130,Osun,Ila,334.1904381
131,Kano,Kano Municipal,26.55915753
132,Enugu,Igbo-Eze North,330.7221715
133,Osun,Ola-oluwa,353.6190703
134,Akwa,Ika,131.1752332
135,Katsina,Matazuu,518.4197411
136,Katsina,Dutsin-Ma,548.0991247
137,Jigawa,Kiri Kasamma,810.3490022
138,Anambra,Dunukofia,58.72668414
139,Abia,Aba South,51.24494643
140,Adamawa,Maiha,531.9542839
141,Sokoto,Bodinga,556.1775296
142,Borno,Kwaya Kusar,737.5969791
143,Kogi,Adavi,719.2408121
144,Kebbi,Yauri,955.1629276
145,Bayelsa,Nembe,871.0619288
146,Katsina,kaita,974.2871641
147,Ondo,Owo,991.6580856
148,Katsina,Zango,649.4982864
149,Bauchi,Giade,657.8750715
150,Jigawa,Kafin Hausa,1404.306501
151,Bauchi,Itas/Gadau,1549.155609
152,Yobe,Fika,2122.328856
153,Niger,Pailoro,2220.289346
154,Ebonyi,Ohaukwu,539.0519203
155,Benue,Agatu,1253.583057
156,Kwara,Offa,97.57543486
157,Kano,Ungogo,187.8627581
158,Kogi,Okehi,731.8648274
159,Niger,Wushishi,1890.296021
160,Ekiti,Ise/Orun,336.9473957
161,Benue,Oju,1102.105354
162,Cross River,Ikom,2013.8913
163,Ondo,Ondo East,340.2694456
164,Cross River,Yakurr,673.2562107
165,Rivers,Khana,521.4673006
166,Kano,Garum Mallam,241.054404
167,Ebonyi,Ezza North,307.370422
168,Delta,Oshimili South,308.582474
169,Benue,Buruku,1594.022467
170,Kwara,Oyun,479.0502007
171,Enugu,Aninri,293.7846371
172,Borno,Damboa,6500.093574
173,Cross River,Boki,2927.549722
174,Enugu,Udi,927.4841859
175,Niger,Agwara,1805.161191
176,Akwa,Onna,151.9300473
177,Kaduna,Soba,2164.700397
178,Yobe,Machina,1246.619534
179,Imo,Ihitte/Uboma,71.42921974
180,Taraba,Gashaka,8286.489832
181,Akwa,Essien Udim,299.6804216
182,Cross River,Obanliku,971.5823965
183,Lagos,Surulere1,30.78795081
184,Kano,Gwarzo,364.0821823
185,Osun,Atakumosa West,579.8032739
186,Rivers,Eleme,124.7075869
187,Zamfara,Anka,2419.758867
188,Kebbi,Maiyama,1485.869848
189,Akwa,Udung Uko,53.85655883
