city,adm2,adm1,pop,status
Aba,Aba North,Abia,,1
Aba,Aba South,Abia,897560,1
Aba,Obi Nwa,Abia,,1
Aba,Osisioma Ngwa,Abia,,1
Aba,Ugwunagbo,Abia,,2
Abuja,Abuja Municipal,Federal Capital Territory,776298,1
Benin City,Egor,Edo,,1
Benin City,Ikpoba-Okha,Edo,,1
Benin City,Oredo,Edo,1125058,1
Enugu,Enugu East,Enugu,,1
Enugu,Enugu North,Enugu,722664,1
Enugu,Enugu South,Enugu,,1
Ibadan,Akinyele,Oyo,,2
Ibadan,Egbeda,Oyo,,2
Ibadan,Ibadan North,Oyo,,1
Ibadan,Ibadan North East,Oyo,,1
Ibadan,Ibadan North West,Oyo,3565108,1
Ibadan,Ibadan South East,Oyo,,1
Ibadan,Ibadan South West,Oyo,,1
Ibadan,Ido,Oyo,,2
Ibadan,Lagelu,Oyo,,2
Ibadan,Ona-Ara,Oyo,,2
Ife,Ife Central,Osun,509035,2
Ife,Ife East,Osun,,2
Ife,Ife North,Osun,,2
Iilorin,Ilorin East,Kwara,777667,1
Iilorin,Ilorin West,Kwara,,1
Ikorodu,Eti-Osa,Lagos,,1
Ikorodu,Ikorodu,Lagos,535619,1
Ikorodu,Shagamu,Ogun,,1
Jos,Jos North,Plateau,821618,1
Jos,Jos South,Plateau,,1
Kaduna,Chikun,Kaduna,,1
Kaduna,Kaduna North,Kaduna,1582102,1
Kaduna,Kaduna South,Kaduna,,1
Kano,Dala,Kano,,2
Kano,Fagge,Kano,,1
Kano,Gwale,Kano,,2
Kano,Kano Municipal,Kano,,2
Kano,Nasarawa1,Kano,3626068,1
Kano,Tarauni,Kano,,1
Kano,Ungogo,Kano,,2
Lagos,Agege,Lagos,,2
Lagos,Ajeromi-Ifelodun,Lagos,,2
Lagos,Alimosho,Lagos,,2
Lagos,Amuwo-Odofin,Lagos,,2
Lagos,Apapa,Lagos,,2
Lagos,Ikeja,Lagos,,2
Lagos,Kosofe,Lagos,,2
Lagos,Lagos Island,Lagos,,2
Lagos,Lagos Mainland,Lagos,,1
Lagos,Mushin,Lagos,,1
Lagos,Oshodi-Isolo,Lagos,,2
Lagos,Shomolu,Lagos,9000000,1
Lagos,Surulere1,Lagos,,1
Maiduguri,Jere,Borno,,1
Maiduguri,Maiduguri,Borno,1112449,1
Port Harcourt,Eleme,Rivers,,1
Port Harcourt,Obia/Akpor,Rivers,,1
Port Harcourt,Port-Harcourt,Rivers,1148665,1
Warri,Okpe,Delta,,1
Warri,Udu,Delta,,1
Warri,Ughelli North,Delta,,1
Warri,Uvwie,Delta,557398,1
Warri,Warri South,Delta,,1
Zaria,Sabon-Gari,Kaduna,,1
Zaria,Zaria,Kaduna,695089,1
