CNTRY_NAME,CNTRY_CODE,ADM1_NAME,ADM1_CODE,HRparent,Shape_Leng,Shape_Area
Nigeria,NGA,Abia,NGA001,NG001,4.54471155071,0.39642743837
Nigeria,NGA,Adamawa,NGA002,NG002,12.3253586615,3.12914600591
Nigeria,NGA,Akwa lbom,NGA003,NG003,3.99999778367,0.549834380088
Nigeria,NGA,Anambra,NGA004,NG004,3.47234249013,0.388929639921
Nigeria,NGA,Bauchi,NGA005,NG005,13.8631922824,3.98372447144
Nigeria,NGA,Bayelsa,NGA006,NG006,5.09653271984,0.763937581899
Nigeria,NGA,Benue,NGA007,NG007,8.99507402926,2.51924571098
Nigeria,NGA,Borno,NGA008,NG008,14.3375762846,6.0247413116
Nigeria,NGA,Cross River,NGA009,NG009,8.00646213705,1.7130221525
Nigeria,NGA,Delta,NGA010,NG010,7.47653114858,1.3981269923
Nigeria,NGA,Ebonyi,NGA011,NG011,4.25135276753,0.518505047548
Nigeria,NGA,Edo,NGA012,NG012,7.86341441398,1.59916878986
Nigeria,NGA,Ekiti,NGA013,NG013,3.33678990835,0.473943148858
Nigeria,NGA,Enugu,NGA014,NG014,4.14402959907,0.618217126987
Nigeria,NGA,Federal Capital Territory,NGA015,NG015,3.54427583787,0.622227470645
Nigeria,NGA,Gombe,NGA016,NG016,5.9581671837,1.43658647535
Nigeria,NGA,Imo,NGA017,NG017,2.78702712967,0.419038737524
Nigeria,NGA,Jigawa,NGA018,NG018,11.7642377703,1.94585711528
Nigeria,NGA,Kaduna,NGA019,NG019,12.5709739109,3.65172316898
Nigeria,NGA,Kano,NGA020,NG020,8.22506831425,1.69183002541
Nigeria,NGA,Katsina,NGA021,NG021,9.10290353832,1.98597752419
Nigeria,NGA,Kebbi,NGA022,NG022,14.4264210061,2.98613418111
Nigeria,NGA,Kogi,NGA023,NG023,10.3512584785,2.38103727072
Nigeria,NGA,Kwara,NGA024,NG024,12.0544560302,2.76547673047
Nigeria,NGA,Lagos,NGA025,NG025,4.23014402627,0.301632762973
Nigeria,NGA,Nasarawa,NGA026,NG026,9.3492368081,2.19082208198
Nigeria,NGA,Niger,NGA027,NG027,18.7061334227,5.92888353535
Nigeria,NGA,Ogun,NGA028,NG028,9.62590963846,1.36249143423
Nigeria,NGA,Ondo,NGA029,NG029,7.66649508716,1.22713537117
Nigeria,NGA,Osun,NGA030,NG030,4.5500661282,0.700545839562
Nigeria,NGA,Oyo,NGA031,NG031,8.51730622282,2.27119025668
Nigeria,NGA,Plateau,NGA032,NG032,8.50914891427,2.18205311979
Nigeria,NGA,Rivers,NGA033,NG033,5.95228523201,0.839322647419
Nigeria,NGA,Sokoto,NGA034,NG034,10.4126716568,2.68442991536
Nigeria,NGA,Taraba,NGA035,NG035,13.8723736745,4.87090040669
Nigeria,NGA,Yobe,NGA036,NG036,11.0650327559,3.72170068465
Nigeria,NGA,Zamfara,NGA037,NG037,9.38103690488,2.79285547921
