,LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year
1,Aba North,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
2,Aba South,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
3,Abadam,Babura,,0.349277359,0.349277359,0,-1,2018
4,Abaji,Keana,,0.246130843,0.246130843,0,-1,2018
5,Abak,Nsit Ubium,,0.297727761,0.297727761,0,-1,2018
6,Abakaliki,Owan East,,0.352748878,0.352748878,0,-1,2018
7,Abeokuta North,Owan East,,0.516473785,0.516473785,0,-1,2018
8,Abeokuta South,Uzo-Uwani,,0.793442604,0.793442604,0,-1,2018
9,Abi,Obubra,,0.145161293,0.145161293,0,-1,2018
10,Aboh-Mbaise,Ngor-Okpala,,0.375,0.375,0,-1,2018
11,Abua/Odual,Ahoada West,,0.104505917,0.104505917,0,-1,2018
12,Abuja Municipal,Keana,,0.048123756,0.048123756,0,-1,2018
13,Adavi,Owan East,,0.278942779,0.278942779,0,-1,2018
14,Ado,Akinyele,,0.171296311,0.171296311,0,-1,2018
15,Ado Ekiti,Owan East,,0.278942779,0.278942779,0,-1,2018
16,Ado-Odo/Ota,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
17,Afijio,Akinyele,,0.154926235,0.154926235,0,-1,2018
18,Afikpo North,Oru West,,0.863945585,0.863945585,0,-1,2018
19,Afikpo South,Ngor-Okpala,,0.470951796,0.470951796,0,-1,2018
20,Agaie,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
21,Agatu,Keana,,0.177187213,0.177187213,0,-1,2018
22,Agege,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
23,Aguata,Oru West,,0.435107986,0.435107986,0,-1,2018
24,Agwara,Birnin Kebbi,,0.42225568,0.42225568,0,-1,2018
25,Ahiazu-Mbaise,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
26,Ahoada East,Ahoada West,,0.300663225,0.300663225,0,-1,2018
27,Ahoada West,Ahoada West,,0.333333333,0.333333333,0,-1,2018
28,Aiyedade,Akinyele,,0.154926235,0.154926235,0,-1,2018
29,Aiyedire,Akinyele,,0.154926235,0.154926235,0,-1,2018
30,Ajaokuta,Owan East,,0.278942779,0.278942779,0,-1,2018
31,Ajeromi-Ifelodun,Uzo-Uwani,,0.697452222,0.697452222,0,-1,2018
32,Ajingi,Taura,,0.174928041,0.174928041,0,-1,2018
33,Akamkpa,Ngor-Okpala,,0.191387598,0.191387598,0,-1,2018
34,Akinyele,Akinyele,,0.154926235,0.154926235,0,-1,2018
35,Akko,Alkaleri,,0.145904448,0.145904448,0,-1,2018
36,Akoko North East,Oke-Ero,,0.296533971,0.296533971,0,-1,2018
37,Akoko North West,Oke-Ero,,0.516847318,0.516847318,0,-1,2018
38,Akoko South East,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
39,Akoko South West,Oke-Ero,,0.333333333,0.333333333,0,-1,2018
40,Akoko-Edo,Owan East,,0.433768496,0.433768496,0,-1,2018
41,Akpabuyo,Nsit Ubium,,0.297727761,0.297727761,0,-1,2018
42,Akuku Toru,Ahoada West,,0.4,0.4,0,-1,2018
43,Akure North,Owan East,,0.278942779,0.278942779,0,-1,2018
44,Akure South,Owan East,,0.5,0.5,0,-1,2018
45,Akwanga,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
46,Albasu,Takali,,0.666666667,0.666666667,0,-1,2018
47,Aleiro,Birnin Kebbi,,0.42225568,0.42225568,0,-1,2018
48,Alimosho,Uzo-Uwani,,0.274949084,0.274949084,0,-1,2018
49,Alkaleri,Alkaleri,,0.222117546,0.222117546,0,-1,2018
50,Amuwo-Odofin,Isoko South,,0.12159624,0.12159624,0,-1,2018
51,Anambra East,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
52,Anambra West,Uzo-Uwani,,0.666970256,0.666970256,0,-1,2018
53,Anaocha,Oru West,,0.550802168,0.550802168,0,-1,2018
54,Andoni,Nsit Ubium,,0.166593506,0.166593506,0,-1,2018
55,Aninri,Oru West,,0.517961682,0.517961682,0,-1,2018
56,Aniocha North,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
57,Aniocha South,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
58,Anka,Darazo,,0.081656815,0.081656815,0,-1,2018
59,Ankpa,Owan East,,0.278942779,0.278942779,0,-1,2018
60,Apa,Keana,,0.177187213,0.177187213,0,-1,2018
61,Apapa,Isoko South,,0.12159624,0.12159624,0,-1,2018
62,Ardo-Kola,Keana,,0.25,0.25,0,-1,2018
63,Arewa-Dandi,Birnin Kebbi,,0.666666667,0.666666667,0,-1,2018
64,Argungu,Birnin Kebbi,,0.591750026,0.591750026,0,-1,2018
65,Arochukwu,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
66,Asa,Oke-Ero,,0.333333333,0.333333333,0,-1,2018
67,Asari-Toru,Ahoada West,,0.442896713,0.442896713,0,-1,2018
68,Askira/Uba,Darazo,,0.114371076,0.114371076,0,-1,2018
69,Atakumosa East,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
