"","row.names.itn_dis_2.","LGA","repDS","year_10","year_13","year_14","year_15","year_16","year_17","year_18","year_19","year","LGA_nu","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","mortality_rate","kill_rate","round","peak","simday"
"1","1","Aba North","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2020,"Aba North",0.368493072,0.459164498,0.342350367,0.317512273,0.319067389,0.393201897,1,"june",162
"2","1.1","Aba North","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2023,"Aba North",0.368493072,0.459164498,0.342350367,0.317512273,0.319067389,0.393201897,2,"june",1257
"3","2","Aba South","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2020,"Aba South",0.432585871,0.42691277,0.242141206,0.289843907,0.311454386,0.38693958,1,"june",162
"4","2.1","Aba South","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2023,"Aba South",0.432585871,0.42691277,0.242141206,0.289843907,0.311454386,0.38693958,2,"june",1257
"5","3","Arochukwu","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2020,"Arochukwu",0.409807769,0.327133985,0.239735094,0.325629622,0.431823298,0.485441926,1,"june",162
"6","3.1","Arochukwu","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2023,"Arochukwu",0.409807769,0.327133985,0.239735094,0.325629622,0.431823298,0.485441926,2,"june",1257
"7","4","Bende","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2020,"Bende",0.254506108,0.25399127,0.099431805,0.181414612,0.451630723,0.501154968,1,"june",162
"8","4.1","Bende","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2023,"Bende",0.254506108,0.25399127,0.099431805,0.181414612,0.451630723,0.501154968,2,"june",1257
"9","5","Ikwuano","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2020,"Ikwuano",0.393004114,0.324127916,0.425072045,0.42030651,0.469780688,0.51532143,1,"june",162
"10","5.1","Ikwuano","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2023,"Ikwuano",0.393004114,0.324127916,0.425072045,0.42030651,0.469780688,0.51532143,2,"june",1257
"11","6","Isiala-Ngwa North","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2020,"Isiala-Ngwa North",0.042898792,0.129356358,0.071963678,0.059840232,0.347639146,0.416760484,1,"june",162
"12","6.1","Isiala-Ngwa North","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2023,"Isiala-Ngwa North",0.042898792,0.129356358,0.071963678,0.059840232,0.347639146,0.416760484,2,"june",1257
"13","7","Isiala-Ngwa South","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2020,"Isiala-Ngwa South",0.104366275,0.076877973,0.219305704,0.117883509,0.381316588,0.444481729,1,"june",162
"14","7.1","Isiala-Ngwa South","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2023,"Isiala-Ngwa South",0.104366275,0.076877973,0.219305704,0.117883509,0.381316588,0.444481729,2,"june",1257
"15","8","Isuikwato","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2020,"Isuikwato",0.45242915,0.153256705,0.105045492,0.230249359,0.414408176,0.471442169,1,"june",162
"16","8.1","Isuikwato","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2023,"Isuikwato",0.45242915,0.153256705,0.105045492,0.230249359,0.414408176,0.471442169,2,"june",1257
"17","9","Obi Nwa","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2020,"Obi Nwa",0.3,0.466666667,0.318181818,0.34375,0.339144556,0.409752288,1,"june",162
"18","9.1","Obi Nwa","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2023,"Obi Nwa",0.3,0.466666667,0.318181818,0.34375,0.339144556,0.409752288,2,"june",1257
"19","10","Ohafia","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2020,"Ohafia",0.182997461,0.109757356,0.143886995,0.184305851,0.433165676,0.486514324,1,"june",162
"20","10.1","Ohafia","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2023,"Ohafia",0.182997461,0.109757356,0.143886995,0.184305851,0.433165676,0.486514324,2,"june",1257
"21","11","Osisioma Ngwa","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2020,"Osisioma Ngwa",0.264705882,0.2,0.130434783,0.333333333,0.3223721,0.395923243,1,"june",162
"22","11.1","Osisioma Ngwa","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2023,"Osisioma Ngwa",0.264705882,0.2,0.130434783,0.333333333,0.3223721,0.395923243,2,"june",1257
"23","12","Ugwunagbo","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2020,"Ugwunagbo",0.142857143,0.142857143,0.277777778,0.076923077,0.311296946,0.386810187,1,"june",162
"24","12.1","Ugwunagbo","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2023,"Ugwunagbo",0.142857143,0.142857143,0.277777778,0.076923077,0.311296946,0.386810187,2,"june",1257
"25","13","Ukwa East","Nsit Ubium",NA,NA,NA,1,NA,NA,NA,NA,2020,"Ukwa East",0.217391304,0.055555556,0.04,0.071428571,0.30363416,0.380519132,1,"june",162
