repDS,comboACT,"Weighted
Frequency","Row
Percent","Std Err of
Row Percent",80% LCL,80% UCL
Ahoada West,0,48.68102,75.5769,8.3358,61.959,86.0989
,1,15.73151,24.4231,8.3358,13.9011,38.0410
,Total,64.41253,100,,,
Akinyele,0,92.77758,93.2737,4.6925,83.011,98.2124
,1,6.69048,6.7263,4.6925,1.7876,16.9890
,Total,99.46805,100,,,
Alkaleri,0,53.08999,85.9626,8.0378,70.2089,95.1367
,1,8.66944,14.0374,8.0378,4.8633,29.7911
,Total,61.75943,100,,,
Babura,0,83.5244,94.6038,2.4326,89.7219,97.5460
,1,4.76421,5.3962,2.4326,2.454,10.2781
,Total,88.28862,100,,,
Birnin Kebbi,0,108.15557,99.4964,0.5013,96.6854,99.9945
,1,0.54738,0.5036,0.5013,0.0055,3.3146
,Total,108.70295,100,,,
Darazo,0,78.86046,94.766,3.2971,87.7344,98.3396
,1,4.3555,5.234,3.2971,1.6604,12.2656
,Total,83.21596,100,,,
Gawabawa,0,64.39014,100,0,.,.    
,1,.,.,.,.,.
,Total,64.39014,100,,,
Giwa,0,129.25051,98.1989,0.7922,93.5412,99.7761
,1,2.37059,1.8011,0.7922,0.2239,6.4588
,Total,131.6211,100,,,
Gwarzo,0,172.79171,97.9849,1.1466,95.5455,99.2638
,1,3.5536,2.0151,1.1466,0.7362,4.4545
,Total,176.34531,100,,,
Isoko South,0,42.06412,89.7625,4.3486,82.0109,94.8587
,1,4.79748,10.2375,4.3486,5.1413,17.9891
,Total,46.8616,100,,,
Keana,0,64.84249,99.6242,0.3896,96.1917,99.9998
,1,0.24459,0.3758,0.3896,0.0002,3.8083
,Total,65.08708,100,,,
Ngor-Okpala,0,74.57674,96.1935,2.1589,91.7604,98.5815
,1,2.95108,3.8065,2.1589,1.4185,8.2396
,Total,77.52783,100,,,
Nsit Ubium,0,62.48099,90.7193,3.6489,84.2608,95.0605
,1,6.39191,9.2807,3.6489,4.9395,15.7392
,Total,68.8729,100,,,
Obubra,0,54.44645,100,0,.,.    
,1,.,.,.,.,.
,Total,54.44645,100,,,
Oke-Ero,0,69.59628,96.6034,2.2117,91.0074,99.1364
,1,2.447,3.3966,2.2117,0.8636,8.9926
,Total,72.04328,100,,,
Oru West,0,33.45284,82.4233,5.9974,72.4679,89.8015
,1,7.13378,17.5767,5.9974,10.1985,27.5321
,Total,40.58661,100,,,
Owan East,0,67.60331,89.936,5.2514,79.845,95.9308
,1,7.56491,10.064,5.2514,4.0692,20.1550
,Total,75.16823,100,,,
Rimi,0,105.56458,90.3415,2.4386,83.8551,94.7571
,1,11.286,9.6585,2.4386,5.2429,16.1449
,Total,116.85058,100,,,
Soba,0,43.96036,92.3527,3.6145,85.5794,96.5145
,1,3.64018,7.6473,3.6145,3.4855,14.4206
,Total,47.60054,100,,,
Takali,0,144.70923,95.8382,2.1503,91.5874,98.2649
,1,6.28407,4.1618,2.1503,1.7351,8.4126
,Total,150.9933,100,,,
Taura,0,113.55799,93.3902,3.242,87.1858,97.1000
,1,8.03719,6.6098,3.242,2.9,12.8142
,Total,121.59519,100,,,
Uzo-Uwani,0,70.26155,89.8889,2.6446,85.1702,93.4363
,1,7.90329,10.1111,2.6446,6.5637,14.8298
,Total,78.16485,100,,,
