,LGA,Rep_DS,State,simday,duration,year,U5_coverage,adult_coverage
1,Aba North,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
2,Aba South,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
3,Abadam,Babura,Jigawa,0,1095,2010,0.053961815,0.053961815
4,Abaji,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
5,Abak,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.092807342
6,Abakaliki,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
7,Abeokuta North,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
8,Abeokuta South,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
9,Abi,Obubra,Cross River,0,1095,2010,0,0
10,Aboh-Mbaise,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
11,Abua/Odual,Ahoada West,Rivers,0,1095,2010,0.244230555,0.244230555
12,Abuja Municipal,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
13,Adavi,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
14,Ado,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
15,Ado Ekiti,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
16,Ado-Odo/Ota,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
17,Afijio,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
18,Afikpo North,Oru West,Imo,0,1095,2010,0.175766728,0.175766728
19,Afikpo South,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
20,Agaie,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
21,Agatu,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
22,Agege,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
23,Aguata,Oru West,Imo,0,1095,2010,0.175766728,0.175766728
24,Agwara,Birnin Kebbi,Kebbi,0,1095,2010,0.005035576,0.005035576
25,Ahiazu-Mbaise,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
26,Ahoada East,Ahoada West,Rivers,0,1095,2010,0.244230555,0.244230555
27,Ahoada West,Ahoada West,Rivers,0,1095,2010,0.244230555,0.244230555
28,Aiyedade,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
29,Aiyedire,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
30,Ajaokuta,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
31,Ajeromi-Ifelodun,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
32,Ajingi,Taura,Jigawa,0,1095,2010,0.066097954,0.066097954
33,Akamkpa,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
34,Akinyele,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
35,Akko,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
36,Akoko North East,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
37,Akoko North West,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
38,Akoko South East,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
39,Akoko South West,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
40,Akoko-Edo,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
41,Akpabuyo,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.092807342
