sstate,med_fever,Frequency,"Weighted
Frequency","Row
Percent",80% LCL ,80% UCL 
10,0,46,37.31337,63.2318,54.4585,72.005
,1,31,21.6971,36.7682,27.995,45.5415
,Total,77,59.01047,100,,
20,0,46,54.46196,53.8582,45.8627,61.8537
,1,39,46.65903,46.1418,38.1463,54.1373
,Total,85,101.121,100,,
30,0,41,40.00476,58.6472,47.2627,70.0317
,1,25,28.20779,41.3528,29.9683,52.7373
,Total,66,68.21255,100,,
40,0,150,166.94265,58.3729,52.3076,64.4381
,1,104,119.05099,41.6271,35.5619,47.6924
,Total,254,285.99364,100,,
50,0,299,258.51485,83.6217,78.9213,87.5789
,1,63,50.63302,16.3783,12.4211,21.0787
,Total,362,309.14787,100,,
60,0,42,91.0057,66.9727,62.181,71.7645
,1,21,44.87897,33.0273,28.2355,37.819
,Total,63,135.88467,100,,
70,0,126,88.18467,65.9728,59.4243,72.5213
,1,64,45.48358,34.0272,27.4787,40.5757
,Total,190,133.66825,100,,
80,0,124,59.28848,59.0477,52.95,65.1455
,1,77,41.11922,40.9523,34.8545,47.05
,Total,201,100.40771,100,,
90,0,238,234.87627,66.8948,62.6706,71.1189
,1,124,116.23671,33.1052,28.8811,37.3294
,Total,362,351.11298,100,,
100,0,116,153.26637,61.2937,55.2168,67.3707
,1,77,96.78585,38.7063,32.6293,44.7832
,Total,193,250.05222,100,,
110,0,107,184.78171,85.0957,75.2904,91.9865
,1,23,32.364,14.9043,8.0135,24.7096
,Total,130,217.14571,100,,
120,0,68,67.28414,63.3504,56.6624,70.0383
,1,35,38.92542,36.6496,29.9617,43.3376
,Total,103,106.20955,100,,
130,0,46,61.70764,55.6261,43.6723,67.5798
,1,36,49.22528,44.3739,32.4202,56.3277
,Total,82,110.93291,100,,
140,0,26,10.07185,46.3944,32.8419,59.947
,1,25,11.63733,53.6056,40.053,67.1581
,Total,51,21.70918,100,,
150,0,34,26.75687,49.7604,43.7273,55.7935
,1,37,27.01455,50.2396,44.2065,56.2727
,Total,71,53.77142,100,,
160,0,49,41.79581,62.4966,55.8359,69.1573
,1,31,25.0811,37.5034,30.8427,44.1641
,Total,80,66.87692,100,,
170,0,245,151.13011,76.5516,70.2808,82.0011
,1,78,46.29239,23.4484,17.9989,29.7192
,Total,323,197.42251,100,,
180,0,124,178.91802,88.4962,83.1115,92.5624
,1,22,23.25787,11.5038,7.4376,16.8885
,Total,146,202.17589,100,,
190,0,7,4.19158,21.9764,10.4423,38.2339
,1,13,14.88154,78.0236,61.7661,89.5577
,Total,20,19.07311,100,,
200,0,18,10.88196,56.7896,49.7027,63.8765
,1,14,8.27993,43.2104,36.1235,50.2973
,Total,32,19.16188,100,,
210,0,53,83.22756,60.2925,50.3153,70.2697
,1,33,54.81215,39.7075,29.7303,49.6847
,Total,86,138.03971,100,,
220,0,14,13.363,36.7813,23.142,50.4206
,1,25,22.96795,63.2187,49.5794,76.858
,Total,39,36.33096,100,,
230,0,28,10.81973,55.3998,48.1069,62.6927
,1,23,8.71054,44.6002,37.3073,51.8931
,Total,51,19.53027,100,,
240,0,36,30.79007,46.1693,36.6864,55.6521
,1,35,35.89947,53.8307,44.3479,63.3136
,Total,71,66.68954,100,,
250,0,38,26.6231,60.8376,53.1638,68.5114
,1,22,17.13787,39.1624,31.4886,46.8362
,Total,60,43.76097,100,,
260,0,62,57.61452,71.2934,60.9062,81.6806
,1,20,23.19871,28.7066,18.3194,39.0938
,Total,82,80.81324,100,,
270,0,103,115.96967,66.3659,59.4663,73.2655
,1,67,58.77326,33.6341,26.7345,40.5337
,Total,170,174.74293,100,,
280,0,156,163.26461,80.4857,75.0314,85.1389
,1,38,39.58455,19.5143,14.8611,24.9686
,Total,194,202.84916,100,,
290,0,132,123.62591,76.0705,67.1159,83.5042
,1,48,38.88903,23.9295,16.4958,32.8841
,Total,180,162.51494,100,,
300,0,92,71.60936,65.3656,57.5176,73.2136
,1,40,37.94267,34.6344,26.7864,42.4824
,Total,132,109.55203,100,,
310,0,40,25.21356,65.7213,55.7266,75.7161
,1,18,13.15079,34.2787,24.2839,44.2734
,Total,58,38.36436,100,,
320,0,84,91.53095,65.1963,55.942,74.4505
,1,42,48.86202,34.8037,25.5495,44.058
,Total,126,140.39296,100,,
330,0,116,148.86719,58.7087,49.9102,67.5072
,1,67,104.70187,41.2913,32.4928,50.0898
,Total,183,253.56906,100,,
340,0,52,14.82897,74.4897,61.0001,85.0983
,1,13,5.07844,25.5103,14.9017,38.9999
,Total,65,19.90741,100,,
350,0,35,27.35865,74.5159,60.1744,85.6483
,1,14,9.35654,25.4841,14.3517,39.8256
,Total,49,36.71519,100,,
360,0,88,121.43389,51.928,44.8123,59.0437
,1,81,112.41643,48.072,40.9563,55.1877
,Total,169,233.85032,100,,
370,0,19,27.66814,93.9297,80.9726,99.0468
,1,2,1.78807,6.0703,0.9532,19.0274
