SHSTATE,med_fever,"Weighted
Frequency","Row
Percent",LCL,UCL 
10,0,48.3139,44.4998,30.5389,58.4607
,1,60.25714,55.5002,41.5393,69.4611
,Total,108.57104,100,,
20,0,202.11647,77.5059,72.7064,81.7742
,1,58.65921,22.4941,18.2258,27.2936
,Total,260.77569,100,,
30,0,528.47595,72.7536,67.262,77.7299
,1,197.91595,27.2464,22.2701,32.738
,Total,726.3919,100,,
40,0,259.13443,66.1288,57.2298,75.0277
,1,132.7288,33.8712,24.9723,42.7702
,Total,391.86323,100,,
50,0,194.31077,53.815,45.7009,61.9291
,1,166.76086,46.185,38.0709,54.2991
,Total,361.07163,100,,
60,0,30.92644,62.4344,62.1154,62.7535
,1,18.60781,37.5656,37.2465,37.8846
,Total,49.53425,100,,
70,0,150.26215,77.7292,66.5793,86.4353
,1,43.05271,22.2708,13.5647,33.4207
,Total,193.31487,100,,
80,0,150.57988,56.4114,49.5999,63.2229
,1,116.35183,43.5886,36.7771,50.4001
,Total,266.93171,100,,
90,0,190.09398,60.8983,50.1687,71.6279
,1,122.05577,39.1017,28.3721,49.8313
,Total,312.14975,100,,
100,0,349.47093,76.6781,70.6605,81.9284
,1,106.29271,23.3219,18.0716,29.3395
,Total,455.76364,100,,
110,0,226.19925,70.9396,60.2116,81.6676
,1,92.66247,29.0604,18.3324,39.7884
,Total,318.86172,100,,
120,0,189.98539,53.5094,48.2465,58.7722
,1,165.06522,46.4906,41.2278,51.7535
,Total,355.05061,100,,
130,0,37.09458,21.2306,15.637,27.8535
,1,137.62753,78.7694,72.1465,84.363
,Total,174.72211,100,,
140,0,12.63069,37.3913,30.1075,44.6752
,1,21.14903,62.6087,55.3248,69.8925
,Total,33.77972,100,,
150,0,94.31644,49.8118,43.2389,56.3848
,1,95.02901,50.1882,43.6152,56.7611
,Total,189.34545,100,,
160,0,108.291,71.448,62.6797,80.2164
,1,43.27508,28.552,19.7836,37.3203
,Total,151.56608,100,,
170,0,91.76164,63.1525,56.8512,69.4539
,1,53.53998,36.8475,30.5461,43.1488
,Total,145.30161,100,,
180,0,75.51782,55.1613,45.8977,64.4249
,1,61.38587,44.8387,35.5751,54.1023
,Total,136.90369,100,,
190,0,43.29411,39.4325,30.8933,47.9717
,1,66.49891,60.5675,52.0283,69.1067
,Total,109.79301,100,,
200,0,37.10044,25.3901,19.8392,31.6798
,1,109.02101,74.6099,68.3202,80.1608
,Total,146.12146,100,,
210,0,95.98491,44.9586,35.5961,54.3211
,1,117.51136,55.0414,45.6789,64.4039
,Total,213.49627,100,,
220,0,78.73352,66.6545,59.1692,74.1397
,1,39.38836,33.3455,25.8603,40.8308
,Total,118.12188,100,,
230,0,36.70603,45.1626,39.5546,50.7706
,1,44.56923,54.8374,49.2294,60.4454
,Total,81.27527,100,,
240,0,66.73585,66.1125,61.2145,71.0105
,1,34.20702,33.8875,28.9895,38.7855
,Total,100.94287,100,,
250,0,72.89977,72.2216,59.5173,82.6255
,1,28.03928,27.7784,17.3745,40.4827
,Total,100.93905,100,,
260,0,129.62038,62.9129,51.7779,74.0479
,1,76.41109,37.0871,25.9521,48.2221
,Total,206.03147,100,,
270,0,49.55815,53.1505,45.4653,60.8358
,1,43.68301,46.8495,39.1642,54.5347
,Total,93.24117,100,,
280,0,93.23212,75.6809,64.5522,84.621
,1,29.95892,24.3191,15.379,35.4478
,Total,123.19104,100,,
290,0,102.7515,65.2488,56.0428,74.4548
,1,54.72492,34.7512,25.5452,43.9572
,Total,157.47641,100,,
300,0,143.89459,70.8104,64.6663,76.9546
,1,59.31644,29.1896,23.0454,35.3337
,Total,203.21103,100,,
310,0,57.48194,44.1596,36.5582,51.761
,1,72.6867,55.8404,48.239,63.4418
,Total,130.16863,100,,
320,0,126.54441,60.4775,52.4481,68.5069
,1,82.69763,39.5225,31.4931,47.5519
,Total,209.24204,100,,
330,0,231.78478,64.9892,53.7406,76.2378
,1,124.86663,35.0108,23.7622,46.2594
,Total,356.65141,100,,
340,0,102.31113,77.7494,66.0552,86.7864
,1,29.27976,22.2506,13.2136,33.9448
,Total,131.59088,100,,
350,0,51.91635,65.229,51.2599,79.1981
,1,27.6746,34.771,20.8019,48.7401
,Total,79.59095,100,,
360,0,91.36711,54.4989,41.1928,67.8051
,1,76.28231,45.5011,32.1949,58.8072
,Total,167.64941,100,,
370,0,37.87005,50.6016,42.5204,58.6829
,1,36.96951,49.3984,41.3171,57.4796
