LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override
Aba North,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018,-1
Aba South,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018,-1
Abadam,Babura,0.384205095,0.384205095,0.539,0,-1,2018,-1
Abaji,Keana,0.270743927,0.270743927,0.539,0,-1,2018,-1
Abak,Nsit Ubium,0.327500537,0.327500537,0.539,0,-1,2018,-1
Abakaliki,Owan East,0.388023766,0.388023766,0.539,0,-1,2018,-1
Abeokuta North,Owan East,0.568121164,0.568121164,0.539,0,-1,2018,-1
Abeokuta South,Uzo-Uwani,0.872786864,0.872786864,0.539,0,-1,2018,-1
Abi,Obubra,0.159677422,0.159677422,0.539,0,-1,2018,-1
Aboh-Mbaise,Ngor-Okpala,0.4125,0.4125,0.539,0,-1,2018,-1
Abua-Odual,Ahoada West,0.114956509,0.114956509,0.539,0,-1,2018,-1
Abuja Municipal,Keana,0.052936132,0.052936132,0.539,0,-1,2018,-1
Adavi,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Ado,Akinyele,0.188425942,0.188425942,0.539,0,-1,2018,-1
Ado Ekiti,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Ado-Odo-Ota,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Afijio,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Afikpo North,Oru West,0.950340144,0.950340144,0.539,0,-1,2018,-1
Afikpo South,Ngor-Okpala,0.518046976,0.518046976,0.539,0,-1,2018,-1
Agaie,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Agatu,Keana,0.194905934,0.194905934,0.539,0,-1,2018,-1
Agege,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Aguata,Oru West,0.478618785,0.478618785,0.539,0,-1,2018,-1
Agwara,Birnin Kebbi,0.464481248,0.464481248,0.539,0,-1,2018,-1
Ahiazu-Mbaise,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018,-1
Ahoada East,Ahoada West,0.330729548,0.330729548,0.539,0,-1,2018,-1
Ahoada West,Ahoada West,0.366666666,0.366666666,0.539,0,-1,2018,-1
Aiyedade,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Aiyedire,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Ajaokuta,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Ajeromi-Ifelodun,Uzo-Uwani,0.767197444,0.767197444,0.539,0,-1,2018,-1
Ajingi,Taura,0.192420845,0.192420845,0.539,0,-1,2018,-1
Akamkpa,Ngor-Okpala,0.210526358,0.210526358,0.539,0,-1,2018,-1
Akinyele,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Akko,Alkaleri,0.160494893,0.160494893,0.539,0,-1,2018,-1
Akoko North East,Oke-Ero,0.326187368,0.326187368,0.539,0,-1,2018,-1
Akoko North West,Oke-Ero,0.56853205,0.56853205,0.539,0,-1,2018,-1
Akoko South East,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Akoko South West,Oke-Ero,0.366666666,0.366666666,0.539,0,-1,2018,-1
Akoko-Edo,Owan East,0.477145346,0.477145346,0.539,0,-1,2018,-1
Akpabuyo,Nsit Ubium,0.327500537,0.327500537,0.539,0,-1,2018,-1
Akuku Toru,Ahoada West,0.44,0.44,0.539,0,-1,2018,-1
Akure North,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Akure South,Owan East,0.55,0.55,0.539,0,-1,2018,-1
Akwanga,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Albasu,Takali,0.733333334,0.733333334,0.539,0,-1,2018,-1
Aleiro,Birnin Kebbi,0.464481248,0.464481248,0.539,0,-1,2018,-1
Alimosho,Uzo-Uwani,0.302443992,0.302443992,0.539,0,-1,2018,-1
Alkaleri,Alkaleri,0.244329301,0.244329301,0.539,0,-1,2018,-1
Amuwo-Odofin,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018,-1
Anambra East,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Anambra West,Uzo-Uwani,0.733667282,0.733667282,0.539,0,-1,2018,-1
Anaocha,Oru West,0.605882385,0.605882385,0.539,0,-1,2018,-1
Andoni,Nsit Ubium,0.183252857,0.183252857,0.539,0,-1,2018,-1
Aninri,Oru West,0.56975785,0.56975785,0.539,0,-1,2018,-1
Aniocha North,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Aniocha South,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Anka,Darazo,0.089822497,0.089822497,0.539,0,-1,2018,-1
Ankpa,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Apa,Keana,0.194905934,0.194905934,0.539,0,-1,2018,-1
Apapa,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018,-1
Ardo-Kola,Keana,0.275,0.275,0.539,0,-1,2018,-1
Arewa-Dandi,Birnin Kebbi,0.733333334,0.733333334,0.539,0,-1,2018,-1
Argungu,Birnin Kebbi,0.650925029,0.650925029,0.539,0,-1,2018,-1
Arochukwu,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018,-1
Asa,Oke-Ero,0.366666666,0.366666666,0.539,0,-1,2018,-1
Asari-Toru,Ahoada West,0.487186384,0.487186384,0.539,0,-1,2018,-1
Askira-Uba,Darazo,0.125808184,0.125808184,0.539,0,-1,2018,-1
Atakumosa East,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Atakumosa West,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Atiba,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Atigbo,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Augie,Birnin Kebbi,0.592307692,0.592307692,0.539,0,-1,2018,-1
Auyo,Taura,0.825,0.825,0.539,0,-1,2018,-1
Awe,Keana,0.194905934,0.194905934,0.539,0,-1,2018,-1
Awgu,Oru West,0.452185171,0.452185171,0.539,0,-1,2018,-1
