State,LGA,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Adamawa,Demsa,Alkaleri,july,186,2020,1,-1,1,0.6,5
Adamawa,Demsa,Alkaleri,july,216,2020,2,-1,1,0.6,5
Adamawa,Demsa,Alkaleri,july,246,2020,3,-1,1,0.6,5
Adamawa,Demsa,Alkaleri,july,276,2020,4,-1,1,0.6,5
Adamawa,Fufore,Alkaleri,july,186,2020,1,-1,1,0.6,5
Adamawa,Fufore,Alkaleri,july,216,2020,2,-1,1,0.6,5
Adamawa,Fufore,Alkaleri,july,246,2020,3,-1,1,0.6,5
Adamawa,Fufore,Alkaleri,july,276,2020,4,-1,1,0.6,5
Adamawa,Ganaye,Alkaleri,july,186,2020,1,-1,1,0.6,5
Adamawa,Ganaye,Alkaleri,july,216,2020,2,-1,1,0.6,5
Adamawa,Ganaye,Alkaleri,july,246,2020,3,-1,1,0.6,5
Adamawa,Ganaye,Alkaleri,july,276,2020,4,-1,1,0.6,5
Adamawa,Gireri,Darazo,july,186,2020,1,-1,1,0.6,5
Adamawa,Gireri,Darazo,july,216,2020,2,-1,1,0.6,5
Adamawa,Gireri,Darazo,july,246,2020,3,-1,1,0.6,5
Adamawa,Gireri,Darazo,july,276,2020,4,-1,1,0.6,5
Adamawa,Gombi,Alkaleri,july,186,2020,1,-1,1,0.6,5
Adamawa,Gombi,Alkaleri,july,216,2020,2,-1,1,0.6,5
Adamawa,Gombi,Alkaleri,july,246,2020,3,-1,1,0.6,5
Adamawa,Gombi,Alkaleri,july,276,2020,4,-1,1,0.6,5
Adamawa,Guyuk,Alkaleri,july,186,2020,1,-1,1,0.6,5
Adamawa,Guyuk,Alkaleri,july,216,2020,2,-1,1,0.6,5
Adamawa,Guyuk,Alkaleri,july,246,2020,3,-1,1,0.6,5
Adamawa,Guyuk,Alkaleri,july,276,2020,4,-1,1,0.6,5
Adamawa,Hong,Darazo,july,186,2020,1,-1,1,0.6,5
Adamawa,Hong,Darazo,july,216,2020,2,-1,1,0.6,5
Adamawa,Hong,Darazo,july,246,2020,3,-1,1,0.6,5
Adamawa,Hong,Darazo,july,276,2020,4,-1,1,0.6,5
Adamawa,Jada,Alkaleri,july,186,2020,1,-1,1,0.6,5
Adamawa,Jada,Alkaleri,july,216,2020,2,-1,1,0.6,5
Adamawa,Jada,Alkaleri,july,246,2020,3,-1,1,0.6,5
Adamawa,Jada,Alkaleri,july,276,2020,4,-1,1,0.6,5
Adamawa,Lamurde,Alkaleri,july,186,2020,1,-1,1,0.6,5
Adamawa,Lamurde,Alkaleri,july,216,2020,2,-1,1,0.6,5
Adamawa,Lamurde,Alkaleri,july,246,2020,3,-1,1,0.6,5
Adamawa,Lamurde,Alkaleri,july,276,2020,4,-1,1,0.6,5
Adamawa,Madagali,Darazo,july,186,2020,1,-1,1,0.6,5
Adamawa,Madagali,Darazo,july,216,2020,2,-1,1,0.6,5
Adamawa,Madagali,Darazo,july,246,2020,3,-1,1,0.6,5
Adamawa,Madagali,Darazo,july,276,2020,4,-1,1,0.6,5
Adamawa,Maiha,Alkaleri,july,186,2020,1,-1,1,0.6,5
Adamawa,Maiha,Alkaleri,july,216,2020,2,-1,1,0.6,5
Adamawa,Maiha,Alkaleri,july,246,2020,3,-1,1,0.6,5
Adamawa,Maiha,Alkaleri,july,276,2020,4,-1,1,0.6,5
Adamawa,Mayo-Belwa,Alkaleri,july,186,2020,1,-1,1,0.6,5
Adamawa,Mayo-Belwa,Alkaleri,july,216,2020,2,-1,1,0.6,5
Adamawa,Mayo-Belwa,Alkaleri,july,246,2020,3,-1,1,0.6,5
Adamawa,Mayo-Belwa,Alkaleri,july,276,2020,4,-1,1,0.6,5
Adamawa,Michika,Darazo,july,186,2020,1,-1,1,0.6,5
Adamawa,Michika,Darazo,july,216,2020,2,-1,1,0.6,5
Adamawa,Michika,Darazo,july,246,2020,3,-1,1,0.6,5
Adamawa,Michika,Darazo,july,276,2020,4,-1,1,0.6,5
Adamawa,Mubi North,Darazo,july,186,2020,1,-1,1,0.6,5
Adamawa,Mubi North,Darazo,july,216,2020,2,-1,1,0.6,5
Adamawa,Mubi North,Darazo,july,246,2020,3,-1,1,0.6,5
Adamawa,Mubi North,Darazo,july,276,2020,4,-1,1,0.6,5
Adamawa,Mubi South,Darazo,july,186,2020,1,-1,1,0.6,5
Adamawa,Mubi South,Darazo,july,216,2020,2,-1,1,0.6,5
Adamawa,Mubi South,Darazo,july,246,2020,3,-1,1,0.6,5
Adamawa,Mubi South,Darazo,july,276,2020,4,-1,1,0.6,5
Adamawa,Numan,Alkaleri,july,186,2020,1,-1,1,0.6,5
Adamawa,Numan,Alkaleri,july,216,2020,2,-1,1,0.6,5
Adamawa,Numan,Alkaleri,july,246,2020,3,-1,1,0.6,5
Adamawa,Numan,Alkaleri,july,276,2020,4,-1,1,0.6,5
Adamawa,Shelleng,Darazo,july,186,2020,1,-1,1,0.6,5
Adamawa,Shelleng,Darazo,july,216,2020,2,-1,1,0.6,5
Adamawa,Shelleng,Darazo,july,246,2020,3,-1,1,0.6,5
Adamawa,Shelleng,Darazo,july,276,2020,4,-1,1,0.6,5
Adamawa,Song,Darazo,july,186,2020,1,-1,1,0.6,5
Adamawa,Song,Darazo,july,216,2020,2,-1,1,0.6,5
Adamawa,Song,Darazo,july,246,2020,3,-1,1,0.6,5
Adamawa,Song,Darazo,july,276,2020,4,-1,1,0.6,5
Adamawa,Toungo,Keana,august,223,2020,1,-1,1,0.6,5
Adamawa,Toungo,Keana,august,253,2020,2,-1,1,0.6,5
Adamawa,Toungo,Keana,august,283,2020,3,-1,1,0.6,5
Adamawa,Toungo,Keana,august,313,2020,4,-1,1,0.6,5
Adamawa,Yola North,Alkaleri,july,186,2020,1,-1,1,0.6,5
Adamawa,Yola North,Alkaleri,july,216,2020,2,-1,1,0.6,5
Adamawa,Yola North,Alkaleri,july,246,2020,3,-1,1,0.6,5
Adamawa,Yola North,Alkaleri,july,276,2020,4,-1,1,0.6,5
Adamawa,Yola South,Alkaleri,july,186,2020,1,-1,1,0.6,5
Adamawa,Yola South,Alkaleri,july,216,2020,2,-1,1,0.6,5
Adamawa,Yola South,Alkaleri,july,246,2020,3,-1,1,0.6,5
Adamawa,Yola South,Alkaleri,july,276,2020,4,-1,1,0.6,5
Bauchi,Alkaleri,Alkaleri,july,186,2020,1,-1,1,0.6,5
Bauchi,Alkaleri,Alkaleri,july,216,2020,2,-1,1,0.6,5
Bauchi,Alkaleri,Alkaleri,july,246,2020,3,-1,1,0.6,5
Bauchi,Alkaleri,Alkaleri,july,276,2020,4,-1,1,0.6,5
Bauchi,Bauchi,Alkaleri,july,186,2020,1,-1,1,0.6,5
Bauchi,Bauchi,Alkaleri,july,216,2020,2,-1,1,0.6,5
Bauchi,Bauchi,Alkaleri,july,246,2020,3,-1,1,0.6,5
Bauchi,Bauchi,Alkaleri,july,276,2020,4,-1,1,0.6,5
Bauchi,Bogoro,Alkaleri,july,186,2020,1,-1,1,0.6,5
Bauchi,Bogoro,Alkaleri,july,216,2020,2,-1,1,0.6,5
Bauchi,Bogoro,Alkaleri,july,246,2020,3,-1,1,0.6,5
Bauchi,Bogoro,Alkaleri,july,276,2020,4,-1,1,0.6,5
Bauchi,Damban,Darazo,july,186,2020,1,-1,1,0.6,5
Bauchi,Damban,Darazo,july,216,2020,2,-1,1,0.6,5
Bauchi,Damban,Darazo,july,246,2020,3,-1,1,0.6,5
Bauchi,Damban,Darazo,july,276,2020,4,-1,1,0.6,5
Bauchi,Darazo,Darazo,july,186,2020,1,-1,1,0.6,5
Bauchi,Darazo,Darazo,july,216,2020,2,-1,1,0.6,5
Bauchi,Darazo,Darazo,july,246,2020,3,-1,1,0.6,5
Bauchi,Darazo,Darazo,july,276,2020,4,-1,1,0.6,5
Bauchi,Dass,Alkaleri,july,186,2020,1,-1,1,0.6,5
Bauchi,Dass,Alkaleri,july,216,2020,2,-1,1,0.6,5
Bauchi,Dass,Alkaleri,july,246,2020,3,-1,1,0.6,5
Bauchi,Dass,Alkaleri,july,276,2020,4,-1,1,0.6,5
Bauchi,Gamawa,Gwarzo,august,223,2020,1,-1,1,0.6,5
Bauchi,Gamawa,Gwarzo,august,253,2020,2,-1,1,0.6,5
Bauchi,Gamawa,Gwarzo,august,283,2020,3,-1,1,0.6,5
Bauchi,Gamawa,Gwarzo,august,313,2020,4,-1,1,0.6,5
Bauchi,Ganjuwa,Darazo,july,186,2020,1,-1,1,0.6,5
Bauchi,Ganjuwa,Darazo,july,216,2020,2,-1,1,0.6,5
Bauchi,Ganjuwa,Darazo,july,246,2020,3,-1,1,0.6,5
Bauchi,Ganjuwa,Darazo,july,276,2020,4,-1,1,0.6,5
Bauchi,Giade,Darazo,july,186,2020,1,-1,1,0.6,5
Bauchi,Giade,Darazo,july,216,2020,2,-1,1,0.6,5
Bauchi,Giade,Darazo,july,246,2020,3,-1,1,0.6,5
Bauchi,Giade,Darazo,july,276,2020,4,-1,1,0.6,5
Bauchi,Itas-Gadau,Taura,july,186,2020,1,-1,1,0.6,5
Bauchi,Itas-Gadau,Taura,july,216,2020,2,-1,1,0.6,5
Bauchi,Itas-Gadau,Taura,july,246,2020,3,-1,1,0.6,5
Bauchi,Itas-Gadau,Taura,july,276,2020,4,-1,1,0.6,5
Bauchi,Jama'are,Taura,july,186,2020,1,-1,1,0.6,5
Bauchi,Jama'are,Taura,july,216,2020,2,-1,1,0.6,5
Bauchi,Jama'are,Taura,july,246,2020,3,-1,1,0.6,5
Bauchi,Jama'are,Taura,july,276,2020,4,-1,1,0.6,5
Bauchi,Katagum,Gwarzo,august,223,2020,1,-1,1,0.6,5
Bauchi,Katagum,Gwarzo,august,253,2020,2,-1,1,0.6,5
Bauchi,Katagum,Gwarzo,august,283,2020,3,-1,1,0.6,5
Bauchi,Katagum,Gwarzo,august,313,2020,4,-1,1,0.6,5
Bauchi,Kirfi,Alkaleri,july,186,2020,1,-1,1,0.6,5
Bauchi,Kirfi,Alkaleri,july,216,2020,2,-1,1,0.6,5
Bauchi,Kirfi,Alkaleri,july,246,2020,3,-1,1,0.6,5
Bauchi,Kirfi,Alkaleri,july,276,2020,4,-1,1,0.6,5
Bauchi,Misau,Darazo,july,186,2020,1,-1,1,0.6,5
Bauchi,Misau,Darazo,july,216,2020,2,-1,1,0.6,5
Bauchi,Misau,Darazo,july,246,2020,3,-1,1,0.6,5
Bauchi,Misau,Darazo,july,276,2020,4,-1,1,0.6,5
Bauchi,Ningi,Takali,september,250,2020,1,-1,1,0.6,5
Bauchi,Ningi,Takali,september,280,2020,2,-1,1,0.6,5
Bauchi,Ningi,Takali,september,310,2020,3,-1,1,0.6,5
Bauchi,Ningi,Takali,september,340,2020,4,-1,1,0.6,5
Bauchi,Shira,Takali,september,250,2020,1,-1,1,0.6,5
Bauchi,Shira,Takali,september,280,2020,2,-1,1,0.6,5
Bauchi,Shira,Takali,september,310,2020,3,-1,1,0.6,5
Bauchi,Shira,Takali,september,340,2020,4,-1,1,0.6,5
Bauchi,Tafawa-Balewa,Alkaleri,july,186,2020,1,-1,1,0.6,5
Bauchi,Tafawa-Balewa,Alkaleri,july,216,2020,2,-1,1,0.6,5
Bauchi,Tafawa-Balewa,Alkaleri,july,246,2020,3,-1,1,0.6,5
Bauchi,Tafawa-Balewa,Alkaleri,july,276,2020,4,-1,1,0.6,5
Bauchi,Toro,Giwa,august,223,2020,1,-1,1,0.6,5
Bauchi,Toro,Giwa,august,253,2020,2,-1,1,0.6,5
Bauchi,Toro,Giwa,august,283,2020,3,-1,1,0.6,5
Bauchi,Toro,Giwa,august,313,2020,4,-1,1,0.6,5
Bauchi,Warji,Takali,september,250,2020,1,-1,1,0.6,5
Bauchi,Warji,Takali,september,280,2020,2,-1,1,0.6,5
Bauchi,Warji,Takali,september,310,2020,3,-1,1,0.6,5
Bauchi,Warji,Takali,september,340,2020,4,-1,1,0.6,5
Bauchi,Zaki,Taura,july,186,2020,1,-1,1,0.6,5
Bauchi,Zaki,Taura,july,216,2020,2,-1,1,0.6,5
Bauchi,Zaki,Taura,july,246,2020,3,-1,1,0.6,5
Bauchi,Zaki,Taura,july,276,2020,4,-1,1,0.6,5
Benue,Agatu,Keana,august,223,2020,1,-1,1,0.6,5
Benue,Agatu,Keana,august,253,2020,2,-1,1,0.6,5
Benue,Agatu,Keana,august,283,2020,3,-1,1,0.6,5
Benue,Agatu,Keana,august,313,2020,4,-1,1,0.6,5
Benue,Apa,Keana,august,223,2020,1,-1,1,0.6,5
Benue,Apa,Keana,august,253,2020,2,-1,1,0.6,5
Benue,Apa,Keana,august,283,2020,3,-1,1,0.6,5
Benue,Apa,Keana,august,313,2020,4,-1,1,0.6,5
Benue,Buruku,Keana,august,223,2020,1,-1,1,0.6,5
Benue,Buruku,Keana,august,253,2020,2,-1,1,0.6,5
Benue,Buruku,Keana,august,283,2020,3,-1,1,0.6,5
Benue,Buruku,Keana,august,313,2020,4,-1,1,0.6,5
Benue,Gboko,Keana,august,223,2020,1,-1,1,0.6,5
Benue,Gboko,Keana,august,253,2020,2,-1,1,0.6,5
Benue,Gboko,Keana,august,283,2020,3,-1,1,0.6,5
Benue,Gboko,Keana,august,313,2020,4,-1,1,0.6,5
Benue,Guma,Keana,august,223,2020,1,-1,1,0.6,5
Benue,Guma,Keana,august,253,2020,2,-1,1,0.6,5
Benue,Guma,Keana,august,283,2020,3,-1,1,0.6,5
Benue,Guma,Keana,august,313,2020,4,-1,1,0.6,5
Benue,Gwer East,Oke-Ero,july,186,2020,1,-1,1,0.6,5
Benue,Gwer East,Oke-Ero,july,216,2020,2,-1,1,0.6,5
Benue,Gwer East,Oke-Ero,july,246,2020,3,-1,1,0.6,5
Benue,Gwer East,Oke-Ero,july,276,2020,4,-1,1,0.6,5
Benue,Gwer West,Keana,august,223,2020,1,-1,1,0.6,5
Benue,Gwer West,Keana,august,253,2020,2,-1,1,0.6,5
Benue,Gwer West,Keana,august,283,2020,3,-1,1,0.6,5
Benue,Gwer West,Keana,august,313,2020,4,-1,1,0.6,5
Benue,Konshisha,Oke-Ero,july,186,2020,1,-1,1,0.6,5
Benue,Konshisha,Oke-Ero,july,216,2020,2,-1,1,0.6,5
Benue,Konshisha,Oke-Ero,july,246,2020,3,-1,1,0.6,5
Benue,Konshisha,Oke-Ero,july,276,2020,4,-1,1,0.6,5
Benue,Kwande,Oke-Ero,july,186,2020,1,-1,1,0.6,5
Benue,Kwande,Oke-Ero,july,216,2020,2,-1,1,0.6,5
Benue,Kwande,Oke-Ero,july,246,2020,3,-1,1,0.6,5
Benue,Kwande,Oke-Ero,july,276,2020,4,-1,1,0.6,5
Benue,Logo,Keana,august,223,2020,1,-1,1,0.6,5
Benue,Logo,Keana,august,253,2020,2,-1,1,0.6,5
Benue,Logo,Keana,august,283,2020,3,-1,1,0.6,5
Benue,Logo,Keana,august,313,2020,4,-1,1,0.6,5
Benue,Makurdi,Keana,august,223,2020,1,-1,1,0.6,5
Benue,Makurdi,Keana,august,253,2020,2,-1,1,0.6,5
Benue,Makurdi,Keana,august,283,2020,3,-1,1,0.6,5
Benue,Makurdi,Keana,august,313,2020,4,-1,1,0.6,5
Benue,Oturkpo,Owan East,march,131,2020,1,-1,1,0.6,5
Benue,Oturkpo,Owan East,march,161,2020,2,-1,1,0.6,5
Benue,Oturkpo,Owan East,march,191,2020,3,-1,1,0.6,5
Benue,Oturkpo,Owan East,march,221,2020,4,-1,1,0.6,5
Benue,Tarka,Keana,august,223,2020,1,-1,1,0.6,5
Benue,Tarka,Keana,august,253,2020,2,-1,1,0.6,5
Benue,Tarka,Keana,august,283,2020,3,-1,1,0.6,5
Benue,Tarka,Keana,august,313,2020,4,-1,1,0.6,5
Benue,Ukum,Keana,august,223,2020,1,-1,1,0.6,5
Benue,Ukum,Keana,august,253,2020,2,-1,1,0.6,5
Benue,Ukum,Keana,august,283,2020,3,-1,1,0.6,5
Benue,Ukum,Keana,august,313,2020,4,-1,1,0.6,5
Benue,Ushongo,Oke-Ero,july,186,2020,1,-1,1,0.6,5
