"","LGA","p_test","se","Number of Participants"
"1","Aba North",0,0,7
"2","Aba South",0.318323493777452,0.13294519880564,14
"3","Abaji",0.204057985970549,0.0941799700092742,16
"4","Abak",0.2,0,5
"5","Abakaliki",0.359970835910798,0.145008157628204,12
"6","Abeokuta North",0.239458189851253,0.0127032139551367,33
"7","Abeokuta South",0.212875580296863,0.0827784433739015,14
"8","Abi",1,0,1
"9","Aboh-Mbaise",0,0,14
"10","Abua/Odual",0.297558162724159,0.0989756638311419,10
"11","Abuja Municipal",0.0485795654199024,0.025431530267436,18
"12","Adavi",0.353605758384544,0.178993254176085,7
"13","Ado",0,0,4
"14","Ado Ekiti",0.226861590157436,0.07759296934258,17
"15","Ado-Odo/Ota",0.1849367053709,0.0762507486983151,44
"16","Afijio",0,0,6
"17","Afikpo North",0.524934387071534,0.279431769523004,20
"18","Afikpo South",0.231767538873323,0.0995743619153509,17
"19","Agatu",0.2,0,5
"20","Agege",0,0,13
"21","Aguata",0.135003723251109,0.0509101536734587,54
"22","Ahiazu-Mbaise",0,0,4
"23","Ahoada East",0,0,10
"24","Ahoada West",0,0,1
"25","Aiyedade",0,0,6
"26","Ajaokuta",0,0,2
"27","Ajeromi-Ifelodun",0,0,35
"28","Ajingi",0.666666666666667,2.77555756156289e-17,6
"29","Akamkpa",0.26041662272685,0.112402903021188,5
"30","Akinyele",0.208449895958414,0.168543440395735,47
"31","Akko",0.313292203371813,0.0768635014093607,35
"32","Akoko North East",0.327306298171554,0.0794117656401069,13
"33","Akoko North West",0.412113474706547,0.107257628678803,8
"34","Akoko South East",0.333333333333333,2.77555756156289e-17,3
"35","Akoko South West",0.195818583087702,0.0796217335456428,9
"36","Akoko-Edo",0.558537676521098,0.16496426682664,3
"37","Akpabuyo",0,0,5
"38","Akuku Toru",0,0,1
"39","Akure North",0,0,7
"40","Akure South",0,0,3
"41","Akwanga",0.0532414653802989,0.0383076227779607,5
"42","Albasu",0.375,0,17
"43","Alimosho",0,0,79
"44","Alkaleri",0.289659232250777,0.181327654783983,22
"45","Amuwo-Odofin",0,0,25
"46","Anambra East",0,0,7
"47","Anambra West",0.143076009336098,0.101871256475969,35
"48","Anaocha",0,0,17
"49","Andoni",0.187626737714891,0.0275986681474642,9
"50","Aninri",0.46952806577536,0.129545438413645,13
"51","Aniocha South",0.0674245540856412,0.082494489729631,6
"52","Anka",0.521035597330222,0.136293871957456,16
"53","Ankpa",0.194835675636575,0.0642883825000046,7
"54","Apa",0,0,4
"55","Apapa",0,0,41
"56","Ardo-Kola",0,0,2
"57","Arewa-Dandi",0.571428571428572,2.77555756156289e-17,4
"58","Argungu",0.317229480119896,0.0136181741660356,13
"59","Arochukwu",0.0846394912172997,0.0490265299875854,13
"60","Asa",0.333333333333333,4.16333634234434e-17,22
"61","Asari-Toru",0,0,17
"62","Askira/Uba",0.0383923112860577,0.0324807949675768,8
"63","Atakumosa East",0.25,0,4
"64","Atakumosa West",0.2,1.38777878078145e-17,8
"65","Atiba",0,0,2
"66","Atigbo",0.5,0,2
"67","Augie",0.2,0,6
"68","Auyo",0,0,2
"69","Awe",0.235119033424187,0.0150863115642005,11
"70","Awgu",0.285714285714286,0.181621187439078,3
"71","Awka North",0.25,0,4
"72","Awka South",0,0,22
"73","Ayamelum",0.247787618229366,0.113426040009841,19
"74","Babura",0.369713468558672,0.0940175038590499,13
"75","Badagry",0,0,8
"76","Bade",0,0,7
"77","Bagudo",0.657952016729643,0.182660163783956,20
"78","Bagwai",0.5,1.38777878078145e-17,12
"79","Bakori",0.142857142857143,6.93889390390723e-18,28
"80","Bakura",0.337036998651994,0.0622691081949474,14
"81","Balanga",0.334443759614127,0.056042351695902,11
"82","Bali",0.325650607859462,0.0708035110725628,11
"83","Baruten",0.0718232027356846,0.0522717011874111,10
"84","Bassa1",0.4,0.0578997491564597,3
"85","Bassa2",0.134796189439151,0.0888991516325459,11
"86","Batagarawa",0.343565544893712,0.0700951980762025,25
"87","Batsari",0.2,0,8
"88","Bauchi",0.445744318941119,0.349390399931208,19
"89","Baure",0.4,5.55111512312579e-17,16
"90","Bayo",0.333333333333333,5.55111512312579e-17,2
"91","Bebeji",0.142857142857143,3.81639164714897e-17,9
"92","Bende",0.369863001496473,0.0900586240207879,3
"93","Biase",0,0,4
"94","Bida",0,0,3
"95","Billiri",0,0,3
"96","Bindawa",0.6,1.2490009027033e-16,7
"97","Binji",0.5,0,2
"98","Biriniwa",0.428571428571429,2.77555756156289e-17,9
"99","Birni Kudu",0.705390333960546,0.107823441261149,18
"100","Birnin Kebbi",0.530972481353125,0.0782214297965383,27
"101","Biu",0,0,3
"102","Bodinga",0.716573092536404,0.132072644875916,12
"103","Boki",0,0,2
"104","Bokkos",0.103703720383353,0.0691427166766515,13
