LGA_casecounts,LGA_repDS,repDS,state,,,
Ado Odo/Ota,Ado-Odo/Ota,Aniocha South,Ogun,,,
Afikpo-North,Afikpo North,Ikom,Ebonyi,,,
Afikpo-South,Afikpo South,Ngor-Okpala,Ebonyi,,,
Aiyedaade,Aiyedade,Konshisha,Osun,,,
Ajeromi/Ifelodun,Ajeromi-Ifelodun,Aniocha South,Lagos,,,
Amuwo Odofin,Amuwo-Odofin,Aniocha South,Lagos,,,
Arewa,Arewa-Dandi,Bakura,Kebbi,,,
Atisbo,Atigbo,Konshisha,Oyo,,,
Barkin Ladi,Barikin Ladi,Sabon-Gari,Plateau,,,
Bekwarra,Bekwara,Owo,Cross River,,,
Birnin Gwari,Biriniwa,Taura,Jigawa,,,
Birnin Kudu,Birni Kudu,Katagum,Jigawa,,,
Birniwa,Birnin-Gwari,Dandume,Kaduna,,,
Dambam,Damban,Katagum,Bauchi,,,
Danbatta,Dambatta,Taura,Kano,,,Danko/Wasagu
Dange-Shuni,Dange-Shnsi,Bakura,Sokoto,,,
Efon,Efon-Alayee,Owo,Ekiti,,,
Emuoha,Emohua,Emohua,Rivers,,,
Esan North-East,Esan North East,Kogi,Edo,,,
Esan South-East,Esan South East,Aniocha South,Edo,,,
Ese Odo,Ese-Odo,Konshisha,Ondo,,,
Ezinihitte-Mbaise,Ezinihitte,Ngor-Okpala,Imo,,,
Ganye,Ganaye,Alkaleri,Adamawa,,,
Aiyekire (Gbonyin),Gboyin,Ikom,Ekiti,,,
Girei,Gireri,Gujba,Adamawa,,,
Ibeju Lekki,Ibeju/Lekki,Aniocha South,Lagos,,,
Ido-Osi,Idosi-Osi,Owo,Ekiti,,,
Ifako/Ijaye,Ifako-Ijaye,Maiduguri,Lagos,,,
Ifelodun,Ifelodun1,Konshisha,Kwara,,,
Ifelodun,Ifelodun2,Owo,Osun,,,
Ilejemeje,Ilemeji,Owo,Ekiti,,,
Imeko Afon,Imeko-Afon,Owo,Ogun,,,
Irepodun,Irepodun1,Owo,Kwara,,,
Irepodun,Irepodun2,Owo,Osun,,,
Isuikwuato,Isuikwato,Ngor-Okpala,Abia,,,
Jemaa,Jema'a,Tafa,Kaduna,,,
Karim-Lamido,Karin-Lamido,Alkaleri,Taraba,,,
Kaura Namoda,Kaura-Namoda,Rimi,Zamfara,,,
Kolokuma-Opokuma,Kolokuma/Opokuma,Emohua,Bayelsa,,,
Makarfi,Markafi,Sabon-Gari,Kaduna,,,
Matazu,Matazuu,Rimi,Katsina,,,
Mbatoli,Mbaitoli,Ngor-Okpala,Imo,,,
Nasarawa,Nasarawa-Eggon,Alkaleri,Nasarawa,,,
Nasarawa Eggon,Nasarawa1,Maiduguri,Kano,,,
Nassarawa,Nasarawa2,Kogi,Nasarawa,,,
Obi,Obi Nwa,Ngor-Okpala,Abia,,,
Obi,Obi1,Konshisha,Benue,,,
Obi Nwga,Obi2,Kogi,Nasarawa,,,
Obio/Akpor,Obia/Akpor,Emohua,Rivers,,,
Ogori/Magongo,Ogori/Mangongo,Owo,Kogi,,,
Oji River,Oji-River,Aniocha South,Enugu,,,
Olamaboro,Olamabolo,Bakura,Kogi,,,
Ona Ara,Ona-Ara,Konshisha,Oyo,,,
Onuimo,Oshimili North,Aniocha South,Delta,,,
Oshimili-North,Oshimili South,Aniocha South,Delta,,,
Oshimili-South,Oshodi-Isolo,Aniocha South,Lagos,,,
Oshodi/Isolo,Oturkpo,Konshisha,Benue,,,
Otukpo,Ovia North East,Konshisha,Edo,,,
Ovia North-East,Ovia South West,Konshisha,Edo,,,
Ovia South-West,Owerri-Municipal,Ngor-Okpala,Imo,,,
Owerri Municipal,Pailoro,Tafa,Niger,,,
Paikoro,Sabon-Gari,Sabon-Gari,Kaduna,,,
Sabon Gari,Shomgom,Alkaleri,Gombe,,,
Shongom,Southern Ijaw,Degema,Bayelsa,,,
Southern-Ijaw,Surulere1,Aniocha South,Lagos,,,
Surulere,Surulere2,Owo,Oyo,,,
Surulere,Takali,Katagum,Kano,,,
Takai,Tarmua,Katagum,Yobe,,,
Tarmuwa,Umu-Neochi,Tafa,Abia,,,
Umu-Nneochi,Unuimo,Ngor-Okpala,Imo,,,
Urue Offong/Oruko,Urue-Offong/Oruko,Uruan,Akwa lbom,,,
Yenagoa,Wasagu/Danko,Gujba,Kebbi,,,
Zangon Kataf,Yenegoa,Emohua,Bayelsa,,,
,Zango-Kataf,Tafa,Kaduna,,,
