"","LGA","measles","ci_l","ci_u","Number of Participants"
"1","Aba North",0.746380917179629,0.566660171502923,0.926101662856334,9
"2","Aba South",0.760116614174064,0.618025102575415,0.902208125772713,24
"3","Abaji",0.541115862008568,0.368974459000631,0.713257265016505,32
"4","Abak",0.5,0.5,0.5,4
"5","Abakaliki",0.402037298307343,0.32735139167592,0.476723204938766,20
"6","Abeokuta North",0.3680350811461,0.207880180358212,0.528189981933988,54
"7","Abeokuta South",0.667329663981614,0.581596040349382,0.753063287613845,24
"8","Abi",0.442028991332893,0.335379846994296,0.548678135671489,12
"9","Aboh-Mbaise",0.588235294117647,0.588235294117647,0.588235294117647,27
"10","Abua/Odual",0.578146208964242,0.392773369686746,0.763519048241738,23
"11","Abuja Municipal",0.571063924811388,0.49598785532175,0.646139994301026,37
"12","Adavi",0.559306516243639,0.529203194917615,0.589409837569664,25
"13","Ado",0.526260472153117,0.376642467678602,0.675878476627632,17
"14","Ado Ekiti",0.642878554602468,0.411108208553524,0.874648900651411,31
"15","Ado-Odo/Ota",0.493357248767962,0.365336515842123,0.6213779816938,73
"16","Afijio",0.571428571428571,0.571428571428571,0.571428571428572,5
"17","Afikpo North",0.60968661339251,0.545156919275669,0.67421630750935,25
"18","Afikpo South",0.607699807281772,0.564878502395244,0.650521112168301,21
"19","Agatu",0.888888888888889,0.888888888888889,0.888888888888889,9
"20","Agege",0.859346648691075,0.824658367711533,0.894034929670616,14
"21","Aguata",0.664836388499506,0.524777019622974,0.804895757376038,57
"22","Ahiazu-Mbaise",0.428571428571429,0.428571428571428,0.428571428571429,5
"23","Ahoada East",0.347047116771344,0.330549943618472,0.363544289924217,31
"24","Ahoada West",0.6,0.6,0.6,5
"25","Aiyedade",0.428571428571429,0.428571428571428,0.428571428571429,10
"26","Ajaokuta",0.4,0.4,0.4,3
"27","Ajeromi-Ifelodun",0.724872233345601,0.530105018406003,0.919639448285199,63
"28","Ajingi",0.333333333333333,0.333333333333333,0.333333333333333,30
"29","Akamkpa",0.351385412417015,0.182780098052776,0.519990726781255,12
"30","Akinyele",0.494269656711006,0.217481305149206,0.771058008272807,60
"31","Akko",0.258881656928991,0.135636259726172,0.382127054131811,82
"32","Akoko North East",0.491659274764561,0.180504723913636,0.802813825615485,25
"33","Akoko North West",0.508152517097429,0.28572947493875,0.730575559256108,13
"34","Akoko South East",1,1,1,3
"35","Akoko South West",0.583226673585584,0.311230239726362,0.855223107444806,12
"36","Akoko-Edo",0.724842935696956,0.567123689759341,0.882562181634571,6
"37","Akpabuyo",0.418114794124285,0.194289415138546,0.641940173110023,13
"38","Akuku Toru",0.5,0.5,0.5,3
"39","Akure North",0.8,0.8,0.8,25
"40","Akure South",0,0,0,6
