"","LGA","pen1","ci_l","ci_u","Number of Participants"
"1","Aba North",1,1,1,9
"2","Aba South",0.92010103222922,0.846035767075334,0.994166297383105,24
"3","Abaji",0.856373214371406,0.811888898790458,0.900857529952354,32
"4","Abak",0.75,0.75,0.75,4
"5","Abakaliki",0.9453458977128,0.854423924422372,1.03626787100323,20
"6","Abeokuta North",0.656088113131779,0.616085942519153,0.696090283744404,54
"7","Abeokuta South",0.969666850355963,0.914741679517883,1.02459202119404,24
"8","Abi",0.876811596533157,0.834151938797718,0.919471254268596,12
"9","Aboh-Mbaise",0.941176470588235,0.941176470588235,0.941176470588235,27
"10","Abua/Odual",0.788163841058683,0.677489467939544,0.898838214177821,23
"11","Abuja Municipal",0.835344227024529,0.782267788380729,0.88842066566833,37
"12","Adavi",0.95137879191893,0.857826810924107,1.04493077291375,25
"13","Ado",0.850840314768745,0.751094978452401,0.950585651085088,17
"14","Ado-Odo/Ota",0.658823207596997,0.462526652046459,0.855119763147534,73
"15","Ado Ekiti",0.828551662739274,0.610220415814579,1.04688290966397,31
"16","Afijio",0.857142857142857,0.857142857142857,0.857142857142857,5
"17","Afikpo North",1,1,1,25
"18","Afikpo South",0.921539961456354,0.912975700479049,0.93010422243366,21
"19","Agatu",1,1,1,9
"20","Agege",0.901088918848209,0.84327511721564,0.958902720480778,14
"21","Aguata",0.909791474367256,0.847415590038091,0.97216735869642,57
"22","Ahiazu-Mbaise",0.857142857142857,0.857142857142857,0.857142857142857,5
"23","Ahoada East",0.823490389237814,0.768499812061572,0.878480966414056,31
"24","Ahoada West",0.8,0.8,0.8,5
"25","Aiyedade",0.571428571428571,0.571428571428571,0.571428571428571,10
"26","Ajaokuta",0.666666666666667,0.666666666666667,0.666666666666667,4
"27","Ajeromi-Ifelodun",0.859738782496768,0.84132806838692,0.878149496606617,63
"28","Ajingi",0.533333333333333,0.533333333333333,0.533333333333333,30
"29","Akamkpa",0.641057996440584,0.206392543936247,1.07572344894492,12
"30","Akinyele",0.681029196945484,0.486502187158408,0.87555620673256,60
"31","Akko",0.496075514333883,0.329683888852041,0.662467139815725,82
"32","Akoko-Edo",0.857523161519799,0.687671665894674,1.02737465714492,6
"33","Akoko North East",0.823368342162718,0.59193163740509,1.05480504692035,25
"34","Akoko North West",0.865772703007856,0.751536606553974,0.980008799461739,13
"35","Akoko South East",1,1,1,3
"36","Akoko South West",0.842420247268538,0.701431300520404,0.983409194016672,12
"37","Akpabuyo",0.669826224705086,0.450195201454054,0.889457247956118,13
"38","Akuku Toru",1,1,1,3
"39","Akure North",0.9,0.9,0.9,25
"40","Akure South",0.666666666666667,0.666666666666667,0.666666666666667,6
"41","Akwanga",0.829465089505592,0.76795209672216,0.890978082289024,9
"42","Albasu",0.4,0.4,0.4,43
