"","DHSCLUST","measles","se","Number of Participants"
"1",1,0.833333333333333,1.35308431126191e-16,12
"2",2,0.7,1.38777878078145e-17,10
"3",3,0.75,0,4
"4",4,0.75,9.71445146547012e-17,12
"5",5,0.428571428571429,6.93889390390723e-17,14
"6",6,0.888888888888889,3.81639164714897e-17,9
"7",7,0.538461538461538,4.16333634234433e-17,13
"8",8,0.5,1.38777878078145e-17,10
"9",9,0.769230769230769,2.77555756156289e-17,13
"10",10,0.105263157894737,2.25514051876985e-17,19
"11",11,0.428571428571429,2.08166817117217e-17,14
"12",12,0.333333333333333,1.38777878078145e-17,15
"13",13,0.461538461538461,1.11022302462516e-16,13
"14",14,0.4,2.08166817117217e-17,10
"15",15,0.466666666666667,1.38777878078145e-17,15
"16",16,0.538461538461538,2.77555756156289e-17,13
"17",17,0.5625,2.77555756156289e-17,16
"18",18,0.538461538461539,1.38777878078145e-16,13
"19",19,0.6875,0,16
"20",20,0.555555555555556,1.38777878078145e-17,9
"21",21,0.470588235294118,5.55111512312579e-17,17
"22",22,0.5,0,26
"23",23,0.363636363636364,1.38777878078145e-17,11
"24",24,0.461538461538462,8.32667268468867e-17,13
"25",25,0.5,0,14
"26",26,0.4375,0,16
"27",27,0.4,8.32667268468867e-17,10
"28",28,0.642857142857143,4.85722573273506e-17,14
"29",29,0.428571428571429,2.08166817117217e-17,14
"30",30,0.533333333333333,6.93889390390723e-18,15
"31",31,0.538461538461538,2.08166817117217e-17,13
"32",32,0.5625,0,16
"33",33,0.5,0,6
"34",34,0.666666666666667,2.08166817117217e-17,18
"35",35,0.666666666666667,4.85722573273506e-17,12
"36",36,0.578947368421053,2.08166817117217e-17,19
"37",37,0.5,0,18
"38",38,0.444444444444444,1.38777878078145e-17,18
"39",39,0.647058823529412,1.38777878078145e-17,17
"40",40,0.636363636363636,0,22
"41",41,0.636363636363636,1.2490009027033e-16,11
"42",42,0.9,2.42861286636753e-17,10
"43",43,0.615384615384615,3.46944695195361e-17,13
"44",44,1,0,8
"45",45,0.5,4.16333634234433e-17,10
"46",46,0.5,0,4
"47",47,0.6,8.32667268468867e-17,10
"48",48,0.727272727272727,2.08166817117217e-17,11
"49",49,0.5,0,8
"50",50,0.526315789473684,1.38777878078145e-17,19
"51",51,0.75,0,4
"52",52,0.6875,0,16
"53",53,1,0,4
"54",54,0.285714285714286,6.93889390390723e-17,7
"55",55,0.333333333333333,4.16333634234433e-17,9
"56",56,0.545454545454545,2.77555756156289e-17,11
"57",57,0.454545454545455,4.85722573273506e-17,11
"58",58,0.666666666666667,8.32667268468867e-17,3
"59",59,0.631578947368421,9.71445146547013e-17,19
"60",60,0.333333333333333,5.55111512312578e-17,21
"61",61,0.8125,2.08166817117217e-17,16
"62",62,0.5,2.77555756156289e-17,10
"63",63,0.619047619047619,6.93889390390723e-18,21
"64",64,0.8,5.55111512312578e-17,5
"65",65,0.285714285714286,1.38777878078145e-17,7
"66",66,0.5,0,14
"67",67,0.416666666666667,1.2490009027033e-16,12
"68",68,0.681818181818182,9.0205620750794e-17,22
"69",69,0.666666666666667,2.60208521396521e-17,24
"70",70,0.636363636363636,2.77555756156289e-17,11
"71",71,0.2,3.46944695195361e-17,20
"72",72,0.428571428571429,4.5102810375397e-17,21
"73",73,0.615384615384615,0,13
"74",74,0.7,5.55111512312578e-17,10
"75",75,0.555555555555556,2.77555756156289e-17,9
"76",76,0.5,0,8
"77",77,0.285714285714286,4.16333634234434e-17,7
"78",78,0.375,3.46944695195361e-17,8
"79",79,0.4,2.77555756156289e-17,10
"80",80,0.75,2.08166817117217e-17,12
"81",81,0.5,0,6
"82",82,0.666666666666667,2.77555756156289e-17,6
"83",83,0.384615384615385,2.08166817117217e-17,13
"84",84,0.416666666666667,4.16333634234434e-17,12
"85",85,0.285714285714286,4.16333634234434e-17,7
"86",86,0.666666666666667,2.77555756156289e-17,3
"87",87,0.666666666666667,3.46944695195362e-17,9
"88",89,0.6,8.32667268468867e-17,10
"89",90,0.4,2.08166817117217e-17,15
"90",91,0.5625,3.46944695195362e-17,16
"91",92,0.4,5.55111512312578e-17,5
"92",93,0,0,13
"93",94,1,0,2
"94",95,0.2,6.93889390390723e-18,5
"95",96,0.222222222222222,1.04083408558608e-17,9
"96",97,0.166666666666667,1.38777878078145e-17,6
"97",98,0.25,0,16
"98",99,0.25,0,4
"99",100,0.25,0,4
"100",101,0.142857142857143,2.08166817117217e-17,7
"101",102,0.0909090909090909,1.38777878078145e-17,11
"102",103,0.75,0,8
"103",104,0.6,4.16333634234434e-17,5
"104",105,0,0,15
"105",106,0.3,0,10
"106",107,0.142857142857143,6.93889390390723e-18,14
"107",108,0.3,1.38777878078145e-17,10
"108",109,0.4,2.08166817117217e-17,10
"109",110,0.1,1.04083408558609e-17,10
"110",111,0,0,16
"111",112,0.1,1.21430643318377e-17,20
"112",113,0.888888888888889,5.20417042793042e-17,9
"113",114,0.7,3.12250225675825e-17,10
"114",115,0.384615384615385,2.08166817117217e-17,13
"115",116,0,0,20
"116",117,0.111111111111111,3.46944695195361e-18,9
"117",118,1,0,5
"118",119,0.777777777777778,1.17961196366423e-16,9
"119",120,0.75,0,8
"120",121,1,1.11022302462516e-16,5
"121",122,0.571428571428571,4.16333634234434e-17,7
"122",123,0.416666666666667,8.32667268468868e-17,12
"123",124,0.692307692307692,1.38777878078145e-17,13
"124",125,0.181818181818182,2.77555756156289e-17,11
"125",126,0.555555555555556,2.08166817117217e-17,9
"126",127,0.285714285714286,4.16333634234434e-17,7
"127",128,0.833333333333333,1.31838984174237e-16,6
"128",129,0.777777777777778,1.2490009027033e-16,9
"129",130,0.588235294117647,6.24500451351651e-17,17
"130",131,0,0,2
"131",132,0.4,1.38777878078145e-17,5
"132",133,0.3,5.55111512312578e-17,10
"133",134,0.0869565217391304,2.60208521396521e-17,23
"134",135,0.5,1.38777878078145e-17,12
"135",136,0.111111111111111,0,9
"136",137,0.647058823529412,1.38777878078145e-17,17
"137",138,0.2,6.93889390390723e-18,10
"138",139,0.666666666666667,4.16333634234434e-17,15
"139",140,0.3,3.46944695195361e-17,10
"140",141,0.4,1.38777878078145e-17,10
"141",142,0.6,4.16333634234434e-17,10
