LGA,State,IPTyn,IPTicov
Aba North,Abia,1,0.894325382
Aba South,Abia,1,0.837129207
Abadam,Borno,0,0
Abaji,Federal Capital Territory,0,0
Abak,Akwa lbom,1,0.416666667
Abakaliki,Ebonyi,1,0.708816255
Abeokuta North,Ogun,1,0.403501023
Abeokuta South,Ogun,1,0.79777892
Abi,Cross River,1,0.538647339
Aboh-Mbaise,Imo,1,0.725490196
Abua/Odual,Rivers,1,0.665722863
Abuja Municipal,Federal Capital Territory,0,0
Adavi,Kogi,0,0
Ado,Benue,1,0.558823487
Ado Ekiti,Ekiti,1,0.694919793
Ado-Odo/Ota,Ogun,1,0.54191905
Afijio,Oyo,1,0.714285714
Afikpo North,Ebonyi,1,0.765194684
Afikpo South,Ebonyi,1,0.771280051
Agaie,Niger,0,0
Agatu,Benue,0,0
Agege,Lagos,1,0.845432559
Aguata,Anambra,1,0.787427797
Agwara,Niger,0,0
Ahiazu-Mbaise,Imo,1,0.571428571
Ahoada East,Rivers,1,0.533289108
Ahoada West,Rivers,1,0.733333333
Aiyedade,Osun,1,0.523809524
Aiyedire,Osun,1,0.690059784
Ajaokuta,Kogi,0,0
Ajeromi-Ifelodun,Lagos,0,0
Ajingi,Kano,0,0
Akamkpa,Cross River,1,0.36188074
Akinyele,Oyo,1,0.485806319
Akko,Gombe,0,0
Akoko North East,Ondo,1,0.588235379
Akoko North West,Ondo,1,0.700624426
Akoko South East,Ondo,1,1
Akoko South West,Ondo,1,0.655926096
Akoko-Edo,Edo,1,0.724842936
Akpabuyo,Cross River,1,0.512374929
Akuku Toru,Rivers,1,0.777777778
Akure North,Ondo,1,0.866666667
Akure South,Ondo,1,0.333333333
Akwanga,Nasarawa,0,0
Albasu,Kano,0,0
Aleiro,Kebbi,0,0
Alimosho,Lagos,1,0.739831975
Alkaleri,Bauchi,0,0
Amuwo-Odofin,Lagos,1,0.935640894
Anambra East,Anambra,1,0.745098039
Anambra West,Anambra,1,0.461231125
Anaocha,Anambra,1,0.726233161
Andoni,Rivers,1,0.725922109
Aninri,Enugu,1,0.856742946
Aniocha North,Delta,1,0.222222222
Aniocha South,Delta,1,0.866911978
Anka,Zamfara,0,0
Ankpa,Kogi,1,0.2
Apa,Benue,0,0
Apapa,Lagos,0,0
Ardo-Kola,Taraba,0,0
Arewa-Dandi,Kebbi,0,0
Argungu,Kebbi,0,0
Arochukwu,Abia,1,0.570926699
Asa,Kwara,0,0
Asari-Toru,Rivers,1,0.728487444
