"","LGA","kill_rate","round","simday","scenario","year"
"1","Aba North",39.3201897,1,162,"Scenario 1(Business as Usual)",2020
"2","Aba North",39.3201897,2,1257,"Scenario 1(Business as Usual)",2023
"3","Aba North",39.3201897,3,2352,"Scenario 1(Business as Usual)",2026
"4","Aba North",39.3201897,4,3447,"Scenario 1(Business as Usual)",2029
"5","Aba South",38.693958,1,162,"Scenario 1(Business as Usual)",2020
"6","Aba South",38.693958,2,1257,"Scenario 1(Business as Usual)",2023
"7","Aba South",38.693958,3,2352,"Scenario 1(Business as Usual)",2026
"8","Aba South",38.693958,4,3447,"Scenario 1(Business as Usual)",2029
"9","Abadam",64.3492642,1,131,"Scenario 1(Business as Usual)",2020
"10","Abadam",64.3492642,2,1226,"Scenario 1(Business as Usual)",2023
"11","Abadam",64.3492642,3,2321,"Scenario 1(Business as Usual)",2026
"12","Abadam",64.3492642,4,3416,"Scenario 1(Business as Usual)",2029
"13","Abaji",52.0406247,1,223,"Scenario 1(Business as Usual)",2020
"14","Abaji",52.0406247,2,1318,"Scenario 1(Business as Usual)",2023
"15","Abaji",52.0406247,3,2413,"Scenario 1(Business as Usual)",2026
"16","Abaji",52.0406247,4,3508,"Scenario 1(Business as Usual)",2029
"17","Abak",42.5644469,1,527,"Scenario 1(Business as Usual)",2021
"18","Abak",42.5644469,2,1622,"Scenario 1(Business as Usual)",2024
"19","Abak",42.5644469,3,2717,"Scenario 1(Business as Usual)",2027
"20","Abak",42.5644469,4,3812,"Scenario 1(Business as Usual)",2030
"21","Abakaliki",47.3491294,1,70,"Scenario 1(Business as Usual)",2020
"22","Abakaliki",47.3491294,2,1165,"Scenario 1(Business as Usual)",2023
"23","Abakaliki",47.3491294,3,2260,"Scenario 1(Business as Usual)",2026
"24","Abakaliki",47.3491294,4,3355,"Scenario 1(Business as Usual)",2029
"25","Abeokuta North",48.3229857,1,435,"Scenario 1(Business as Usual)",2021
"26","Abeokuta North",48.3229857,2,1530,"Scenario 1(Business as Usual)",2024
"27","Abeokuta North",48.3229857,3,2625,"Scenario 1(Business as Usual)",2027
"28","Abeokuta North",48.3229857,4,3720,"Scenario 1(Business as Usual)",2030
"29","Abeokuta South",49.4533241,1,527,"Scenario 1(Business as Usual)",2021
"30","Abeokuta South",49.4533241,2,1622,"Scenario 1(Business as Usual)",2024
"31","Abeokuta South",49.4533241,3,2717,"Scenario 1(Business as Usual)",2027
"32","Abeokuta South",49.4533241,4,3812,"Scenario 1(Business as Usual)",2030
"33","Abi",46.000802,1,527,"Scenario 1(Business as Usual)",2021
"34","Abi",46.000802,2,1622,"Scenario 1(Business as Usual)",2024
"35","Abi",46.000802,3,2717,"Scenario 1(Business as Usual)",2027
"36","Abi",46.000802,4,3812,"Scenario 1(Business as Usual)",2030
"37","Aboh-Mbaise",43.2717137,1,162,"Scenario 1(Business as Usual)",2020
