06/17 18:01:03 [DEBUG] [4504399296] [COMPS.Client] Parsed login host: ('https', 'comps.idmod.org', None)
06/17 18:01:03 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Experiments/17bb1720-bfcf-eb11-a9ec-b88303911bc1 {'children': 'Tags'}
06/17 18:01:03 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:01:04 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id', 'filters': 'SimulationState=0,ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:01:05 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:01:10 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:01:16 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:01:22 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:01:27 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:01:33 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:01:38 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:01:44 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:01:49 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:01:55 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:02:01 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:02:06 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:02:12 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:02:18 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:02:23 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:02:28 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:02:34 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:02:39 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:02:45 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:02:51 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:02:56 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:02 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:07 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:13 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:18 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:24 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:29 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:35 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:41 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:46 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:52 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:58 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:03 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:09 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:14 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:20 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:25 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
