04/02 09:54:06 [DEBUG] [18708] [COMPS.Client] Parsed login host: ('https', 'comps.idmod.org', None)
04/02 09:54:07 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id', 'filters': 'SimulationState=0,ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:54:08 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:54:13 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:54:18 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:54:24 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:54:29 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:54:35 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:54:40 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:54:46 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:54:51 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:54:57 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:55:02 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:55:08 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:55:13 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:55:18 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:55:24 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:55:29 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:55:35 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:55:40 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:55:46 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:55:51 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:55:57 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:56:02 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:56:08 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
