LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,scenario
Aba North,Ngor-Okpala,0.283373403,0.283373403,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Aba South,Ngor-Okpala,0.283373403,0.283373403,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Abadam,Babura,0.349277359,0.349277359,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Abaji,Keana,0.246130843,0.246130843,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Abak,Nsit Ubium,0.297727761,0.297727761,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Abakaliki,Owan East,0.352748878,0.352748878,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Abeokuta North,Owan East,0.516473785,0.516473785,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Abeokuta South,Uzo-Uwani,0.793442604,0.793442604,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Abi,Obubra,0.145161293,0.145161293,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Aboh-Mbaise,Ngor-Okpala,0.375,0.375,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Abua-Odual,Ahoada West,0.104505917,0.104505917,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Abuja Municipal,Keana,0.048123756,0.048123756,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Adavi,Owan East,0.278942779,0.278942779,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ado,Akinyele,0.171296311,0.171296311,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ado Ekiti,Owan East,0.278942779,0.278942779,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ado-Odo-Ota,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Afijio,Akinyele,0.154926235,0.154926235,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Afikpo North,Oru West,0.863945585,0.863945585,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Afikpo South,Ngor-Okpala,0.470951796,0.470951796,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Agaie,Oke-Ero,0.246839589,0.246839589,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Agatu,Keana,0.177187213,0.177187213,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Agege,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Aguata,Oru West,0.435107986,0.435107986,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Agwara,Birnin Kebbi,0.42225568,0.42225568,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ahiazu-Mbaise,Ngor-Okpala,0.283373403,0.283373403,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ahoada East,Ahoada West,0.300663225,0.300663225,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ahoada West,Ahoada West,0.333333333,0.333333333,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Aiyedade,Akinyele,0.154926235,0.154926235,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Aiyedire,Akinyele,0.154926235,0.154926235,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ajaokuta,Owan East,0.278942779,0.278942779,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ajeromi-Ifelodun,Uzo-Uwani,0.697452222,0.697452222,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ajingi,Taura,0.174928041,0.174928041,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Akamkpa,Ngor-Okpala,0.191387598,0.191387598,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Akinyele,Akinyele,0.154926235,0.154926235,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Akko,Alkaleri,0.145904448,0.145904448,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Akoko North East,Oke-Ero,0.296533971,0.296533971,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Akoko North West,Oke-Ero,0.516847318,0.516847318,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Akoko South East,Oke-Ero,0.246839589,0.246839589,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Akoko South West,Oke-Ero,0.333333333,0.333333333,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Akoko-Edo,Owan East,0.433768496,0.433768496,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Akpabuyo,Nsit Ubium,0.297727761,0.297727761,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Akuku Toru,Ahoada West,0.4,0.4,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Akure North,Owan East,0.278942779,0.278942779,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Akure South,Owan East,0.5,0.5,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Akwanga,Oke-Ero,0.246839589,0.246839589,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Albasu,Takali,0.666666667,0.666666667,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Aleiro,Birnin Kebbi,0.42225568,0.42225568,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Alimosho,Uzo-Uwani,0.274949084,0.274949084,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Alkaleri,Alkaleri,0.222117546,0.222117546,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Amuwo-Odofin,Isoko South,0.12159624,0.12159624,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Anambra East,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Anambra West,Uzo-Uwani,0.666970256,0.666970256,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Anaocha,Oru West,0.550802168,0.550802168,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Andoni,Nsit Ubium,0.166593506,0.166593506,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Aninri,Oru West,0.517961682,0.517961682,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Aniocha North,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Aniocha South,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Anka,Darazo,0.081656815,0.081656815,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ankpa,Owan East,0.278942779,0.278942779,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Apa,Keana,0.177187213,0.177187213,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Apapa,Isoko South,0.12159624,0.12159624,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ardo-Kola,Keana,0.25,0.25,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Arewa-Dandi,Birnin Kebbi,0.666666667,0.666666667,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Argungu,Birnin Kebbi,0.591750026,0.591750026,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Arochukwu,Ngor-Okpala,0.283373403,0.283373403,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Asa,Oke-Ero,0.333333333,0.333333333,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Asari-Toru,Ahoada West,0.442896713,0.442896713,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Askira-Uba,Darazo,0.114371076,0.114371076,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Atakumosa East,Oke-Ero,0.246839589,0.246839589,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Atakumosa West,Akinyele,0.154926235,0.154926235,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Atiba,Akinyele,0.154926235,0.154926235,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Atigbo,Oke-Ero,0.246839589,0.246839589,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Augie,Birnin Kebbi,0.538461538,0.538461538,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Auyo,Taura,0.75,0.75,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Awe,Keana,0.177187213,0.177187213,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Awgu,Oru West,0.411077428,0.411077428,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Awka North,Uzo-Uwani,0.666666667,0.666666667,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Awka South,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ayamelum,Uzo-Uwani,0.76666668,0.76666668,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Babura,Babura,0.495944351,0.495944351,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Badagry,Uzo-Uwani,0.420192485,0.420192485,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bade,Taura,0.047619048,0.047619048,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bagudo,Birnin Kebbi,0.345276873,0.345276873,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bagwai,Babura,0.2,0.2,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bakassi,Obubra,0.41009749,0.41009749,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bakori,Gwarzo,0.172172547,0.172172547,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bakura,Darazo,0.114371076,0.114371076,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Balanga,Alkaleri,0.214165347,0.214165347,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bali,Keana,0.32893977,0.32893977,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bama,Darazo,0.114371076,0.114371076,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Barikin Ladi,Soba,0.02049469,0.02049469,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Baruten,Oke-Ero,0.246839589,0.246839589,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bassa1,Keana,0.2,0.2,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bassa2,Soba,0.02049469,0.02049469,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Batagarawa,Rimi,0.373076926,0.373076926,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Batsari,Rimi,0.333333333,0.333333333,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bauchi,Alkaleri,0.027077492,0.027077492,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Baure,Babura,0.357142857,0.357142857,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Bayo,Alkaleri,0.5,0.5,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
