,LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,round,beta_model_params,scale_values,scenario 
1,Abua-Odual,Ahoada West,0.121592647,0.121592647,0.50708673,0,365,2020,-1,1,0.01708673,0.01708673,Scenario 3 (Budget-prioritized plan)
2,Abua-Odual,Ahoada West,0.138679376,0.138679376,0.524173459,365,365,2021,-1,2,0.01708673,0.034173459,Scenario 3 (Budget-prioritized plan)
3,Abua-Odual,Ahoada West,0.155766106,0.155766106,0.541260189,730,365,2022,-1,3,0.01708673,0.051260189,Scenario 3 (Budget-prioritized plan)
4,Abua-Odual,Ahoada West,0.172852836,0.172852836,0.558346919,1095,365,2023,-1,4,0.01708673,0.068346919,Scenario 3 (Budget-prioritized plan)
5,Abua-Odual,Ahoada West,0.189939565,0.189939565,0.575433648,1460,365,2024,-1,5,0.01708673,0.085433648,Scenario 3 (Budget-prioritized plan)
6,Abua-Odual,Ahoada West,0.207026295,0.207026295,0.592520378,1825,365,2025,-1,6,0.01708673,0.102520378,Scenario 3 (Budget-prioritized plan)
7,Abua-Odual,Ahoada West,0.224113025,0.224113025,0.609607108,2190,365,2026,-1,7,0.01708673,0.119607108,Scenario 3 (Budget-prioritized plan)
8,Abua-Odual,Ahoada West,0.241199755,0.241199755,0.626693838,2555,365,2027,-1,8,0.01708673,0.136693838,Scenario 3 (Budget-prioritized plan)
9,Abua-Odual,Ahoada West,0.258286484,0.258286484,0.643780567,2920,365,2028,-1,9,0.01708673,0.153780567,Scenario 3 (Budget-prioritized plan)
10,Abua-Odual,Ahoada West,0.275373214,0.275373214,0.660867297,3285,365,2029,-1,10,0.01708673,0.170867297,Scenario 3 (Budget-prioritized plan)
11,Abua-Odual,Ahoada West,0.292459944,0.292459944,0.677954027,3650,-1,2030,-1,11,0.01708673,0.187954027,Scenario 3 (Budget-prioritized plan)
12,Ahoada East,Ahoada West,0.317749955,0.317749955,0.50708673,0,365,2020,-1,1,0.01708673,0.01708673,Scenario 3 (Budget-prioritized plan)
13,Ahoada East,Ahoada West,0.334836684,0.334836684,0.524173459,365,365,2021,-1,2,0.01708673,0.034173459,Scenario 3 (Budget-prioritized plan)
14,Ahoada East,Ahoada West,0.351923414,0.351923414,0.541260189,730,365,2022,-1,3,0.01708673,0.051260189,Scenario 3 (Budget-prioritized plan)
15,Ahoada East,Ahoada West,0.369010144,0.369010144,0.558346919,1095,365,2023,-1,4,0.01708673,0.068346919,Scenario 3 (Budget-prioritized plan)
16,Ahoada East,Ahoada West,0.386096873,0.386096873,0.575433648,1460,365,2024,-1,5,0.01708673,0.085433648,Scenario 3 (Budget-prioritized plan)
