DS,arabiensis_scale_factor,gambiae_scale_factor,funestus_scale_factor,DS_Name
Aba North,0.166075728,0.514812473,0.319111799,Aba North
Aba South,0.165027527,0.473015079,0.361957402,Aba South
Arochukwu,0.060526997,0.626756623,0.312716382,Arochukwu
Bende,0.081366474,0.594050786,0.324582742,Bende
Ikwuano,0.130528789,0.51628179,0.353189423,Ikwuano
Isiala-Ngwa North,0.134344341,0.535587137,0.330068522,Isiala-Ngwa North
Isiala-Ngwa South,0.169820064,0.599421798,0.230758135,Isiala-Ngwa South
Isuikwato,0.087174383,0.587607153,0.325218468,Isuikwato
Obi Nwa,0.244860581,0.435504591,0.319634826,Obi Nwa
Ohafia,0.058323859,0.655401208,0.286274934,Ohafia
Osisioma Ngwa,0.160287171,0.555246426,0.284466409,Osisioma Ngwa
Ugwunagbo,0.145994853,0.604396439,0.249608709,Ugwunagbo
Ukwa East,0.185612482,0.58739543,0.226992093,Ukwa East
Ukwa West,0.213430234,0.614465449,0.172104309,Ukwa West
Umu-Neochi,0.086113561,0.602480727,0.311405717,Umu-Neochi
Umuahia North,0.12413101,0.584767101,0.291101888,Umuahia North
Umuahia South,0.23529839,0.546422238,0.218279369,Umuahia South
Demsa,0.291958116,0.29494992,0.413091967,Demsa
Gireri,0.669284501,0.033340347,0.297375155,Gireri
Gombi,0.307186943,0.26657175,0.426241307,Gombi
Guyuk,0.383656379,0.119419608,0.496924015,Guyuk
Hong,0.633303021,0.056486725,0.310210254,Hong
Lamurde,0.312176846,0.230065064,0.457758092,Lamurde
Mayo-Belwa,0.342796385,0.271694961,0.385508655,Mayo-Belwa
Numan,0.315972231,0.260667666,0.423360104,Numan
Shelleng,0.603268221,0.070694919,0.326036864,Shelleng
Itu,0.139286422,0.571266532,0.28944704,Itu
Song,0.578981963,0.093476561,0.327541479,Song
Yola North,0.234255154,0.345956866,0.419787979,Yola North
Yola South,0.200323224,0.40087725,0.398799524,Yola South
Abak,0.308270336,0.334326804,0.357402865,Abak
Awka North,0.094238674,0.624548666,0.281212659,Awka North
Eket,0.666008295,0.180298316,0.153693389,Eket
Esit Eket,0.593083798,0.180902932,0.226013266,Esit Eket
Essien Udim,0.185690852,0.458938451,0.355370698,Essien Udim
Etim Ekpo,0.204600179,0.505562372,0.289837452,Etim Ekpo
Etinan,0.344170573,0.366792463,0.289036953,Etinan
Ibesikpo Asutan,0.139202968,0.543243047,0.317553982,Ibesikpo Asutan
Ibiono Ibom,0.112856742,0.548027254,0.339116002,Ibiono Ibom
Ika,0.148280518,0.56788885,0.283830641,Ika
Ikono,0.253082054,0.401289482,0.345628466,Ikono
Ikot Abasi,0.972595167,0,0.027404839,Ikot Abasi
Ikot Ekpene,0.221685359,0.367743474,0.410571173,Ikot Ekpene
Ini,0.116779381,0.566310538,0.31691009,Ini
Mkpat Enin,0.63876943,0.149972097,0.211258472,Mkpat Enin
Nsit Atai,0.207005826,0.428841083,0.364153102,Nsit Atai
Nsit Ibom,0.216949741,0.430339211,0.352711048,Nsit Ibom
Nsit Ubium,0.341313822,0.329315764,0.329370419,Nsit Ubium
Awka South,0.109132541,0.576625765,0.314241702,Awka South
Obot Akara,0.1855363,0.509681569,0.304782131,Obot Akara
Okobo,0.316520449,0.400800367,0.282679182,Okobo
Onna,0.594446294,0.198385695,0.207168014,Onna
Oruk Anam,0.560849139,0.206287047,0.232863813,Oruk Anam
Ukanafun,0.240058352,0.501159287,0.258782368,Ukanafun
Uruan,0.164551174,0.614715735,0.22073309,Uruan
Urue-Offong-Oruko,0.435463691,0.318795303,0.245741011,Urue-Offong-Oruko
Ayamelum,0.092862725,0.557172582,0.349964695,Ayamelum
Uyo,0.173898139,0.453603519,0.372498345,Uyo
Aguata,0.249220584,0.5001234,0.250656028,Aguata
Anambra East,0.113289527,0.531907883,0.354802588,Anambra East
Anambra West,0.089462133,0.602842043,0.307695824,Anambra West
Anaocha,0.160307377,0.595509485,0.244183142,Anaocha
Dunukofia,0.149650427,0.557640885,0.292708669,Dunukofia
Ekwusigo,0.17784232,0.510384377,0.311773298,Ekwusigo
Idemili North,0.123574314,0.591474164,0.284951526,Idemili North
Idemili South,0.119774052,0.591997674,0.288228275,Idemili South
Ihiala,0.223491184,0.490734733,0.285774076,Ihiala
Njikoka,0.100967432,0.607843636,0.291188919,Njikoka
Nnewi North,0.220192736,0.459024137,0.320783148,Nnewi North
Nnewi South,0.199460925,0.552361206,0.248177873,Nnewi South
Ogbaru,0.198902275,0.594262765,0.206834965,Ogbaru
Onitsha North,0.070286637,0.585726832,0.343986532,Onitsha North
Onitsha South,0.202690808,0.510115902,0.287193261,Onitsha South
Orumba North,0.096853343,0.618461592,0.284685062,Orumba North
Orumba South,0.105546452,0.541273001,0.353180557,Orumba South
Oyi,0.087060759,0.576238315,0.336700935,Oyi
Alkaleri,0.351253997,0.184923293,0.463822712,Alkaleri
Bauchi,0.5244485,0.030255724,0.445295779,Bauchi
Bogoro,0.329226584,0.054984769,0.61578865,Bogoro
Damban,0.726384272,0.01901509,0.254600641,Damban
Darazo,0.588073369,0.018729211,0.39319742,Darazo
Dass,0.452240073,0.022937864,0.524822068,Dass
Gamawa,0.754294326,0.025315192,0.220390481,Gamawa
Jama'are,0.8693464,0,0.130653597,Jama'are
Ganjuwa,0.581711973,0.012106754,0.406181274,Ganjuwa
Giade,0.631483287,0.018773542,0.349743172,Giade
Itas-Gadau,0.814304292,0.006929319,0.17876639,Itas-Gadau
Katagum,0.765143591,0.004389066,0.230467342,Katagum
Kirfi,0.445220818,0.091463118,0.463316068,Kirfi
