LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday,adm1,llins1
Aba North,Ngor-Okpala,2020,Aba North,0.8,0.8,0.8,0.8,0.319067389,0.728614023,0.65,1,june,162,Abia,Urban areas
Aba North,Ngor-Okpala,2023,Aba North,0.8,0.8,0.8,0.8,0.319067389,0.728614023,0.65,2,june,1257,Abia,Urban areas
Aba North,Ngor-Okpala,2026,Aba North,0.8,0.8,0.8,0.8,0.319067389,0.728614023,0.65,3,june,2352,Abia,Urban areas
Aba North,Ngor-Okpala,2029,Aba North,0.8,0.8,0.8,0.8,0.319067389,0.728614023,0.65,4,june,3447,Abia,Urban areas
Aba South,Ngor-Okpala,2020,Aba South,0.8,0.8,0.8,0.8,0.311454386,0.726957127,0.65,1,june,162,Abia,Urban areas
Aba South,Ngor-Okpala,2023,Aba South,0.8,0.8,0.8,0.8,0.311454386,0.726957127,0.65,2,june,1257,Abia,Urban areas
Aba South,Ngor-Okpala,2026,Aba South,0.8,0.8,0.8,0.8,0.311454386,0.726957127,0.65,3,june,2352,Abia,Urban areas
Aba South,Ngor-Okpala,2029,Aba South,0.8,0.8,0.8,0.8,0.311454386,0.726957127,0.65,4,june,3447,Abia,Urban areas
Abadam,Babura,2020,Abadam,0.8,0.8,0.8,0.8,0.658846787,0.750452874,0.843591449,1,may,131,Borno,PBO
Abadam,Babura,2023,Abadam,0.8,0.8,0.8,0.8,0.658846787,0.750452874,0.843591449,2,may,1226,Borno,PBO
Abadam,Babura,2026,Abadam,0.8,0.8,0.8,0.8,0.658846787,0.750452874,0.843591449,3,may,2321,Borno,PBO
Abadam,Babura,2029,Abadam,0.8,0.8,0.8,0.8,0.658846787,0.750452874,0.843591449,4,may,3416,Borno,PBO
Abaji,Keana,2020,Abaji,0.8,0.8,0.8,0.8,0.476373849,0.74548121,0.65,1,august,223,Federal Capital Territory,PBO
Abaji,Keana,2023,Abaji,0.8,0.8,0.8,0.8,0.476373849,0.74548121,0.65,2,august,1318,Federal Capital Territory,PBO
Abaji,Keana,2026,Abaji,0.8,0.8,0.8,0.8,0.476373849,0.74548121,0.65,3,august,2413,Federal Capital Territory,PBO
Abaji,Keana,2029,Abaji,0.8,0.8,0.8,0.8,0.476373849,0.74548121,0.65,4,august,3508,Federal Capital Territory,PBO
Abak,Nsit Ubium,2021,Abak,0.8,0.8,0.8,0.8,0.358412263,0.735378725,0.65,1,june,527,Akwa Ibom,PBO
Abak,Nsit Ubium,2024,Abak,0.8,0.8,0.8,0.8,0.358412263,0.735378725,0.65,2,june,1622,Akwa Ibom,PBO
Abak,Nsit Ubium,2027,Abak,0.8,0.8,0.8,0.8,0.358412263,0.735378725,0.65,3,june,2717,Akwa Ibom,PBO
Abak,Nsit Ubium,2030,Abak,0.8,0.8,0.8,0.8,0.358412263,0.735378725,0.65,4,june,3812,Akwa Ibom,PBO
Abakaliki,Owan East,2020,Abakaliki,0.8,0.8,0.8,0.8,0.416945424,0.74168288,0.65,1,march,70,Ebonyi,PBO
Abakaliki,Owan East,2023,Abakaliki,0.8,0.8,0.8,0.8,0.416945424,0.74168288,0.65,2,march,1165,Ebonyi,PBO
Abakaliki,Owan East,2026,Abakaliki,0.8,0.8,0.8,0.8,0.416945424,0.74168288,0.65,3,march,2260,Ebonyi,PBO
Abakaliki,Owan East,2029,Abakaliki,0.8,0.8,0.8,0.8,0.416945424,0.74168288,0.65,4,march,3355,Ebonyi,PBO
Abeokuta North,Owan East,2021,Abeokuta North,0.8,0.8,0.8,0.8,0.429058332,0.742619287,0.65,1,march,435,Ogun,PBO
Abeokuta North,Owan East,2024,Abeokuta North,0.8,0.8,0.8,0.8,0.429058332,0.742619287,0.65,2,march,1530,Ogun,PBO
Abeokuta North,Owan East,2027,Abeokuta North,0.8,0.8,0.8,0.8,0.429058332,0.742619287,0.65,3,march,2625,Ogun,PBO
Abeokuta North,Owan East,2030,Abeokuta North,0.8,0.8,0.8,0.8,0.429058332,0.742619287,0.65,4,march,3720,Ogun,PBO
Abeokuta South,Uzo-Uwani,2021,Abeokuta South,0.8,0.8,0.8,0.8,0.443245868,0.74359875,0.65,1,june,527,Ogun,PBO
Abeokuta South,Uzo-Uwani,2024,Abeokuta South,0.8,0.8,0.8,0.8,0.443245868,0.74359875,0.65,2,june,1622,Ogun,PBO
Abeokuta South,Uzo-Uwani,2027,Abeokuta South,0.8,0.8,0.8,0.8,0.443245868,0.74359875,0.65,3,june,2717,Ogun,PBO
Abeokuta South,Uzo-Uwani,2030,Abeokuta South,0.8,0.8,0.8,0.8,0.443245868,0.74359875,0.65,4,june,3812,Ogun,PBO
Abi,Obubra,2021,Abi,0.8,0.8,0.8,0.8,0.400313882,0.740222524,0.65,1,june,527,Cross River,PBO
Abi,Obubra,2024,Abi,0.8,0.8,0.8,0.8,0.400313882,0.740222524,0.65,2,june,1622,Cross River,PBO
Abi,Obubra,2027,Abi,0.8,0.8,0.8,0.8,0.400313882,0.740222524,0.65,3,june,2717,Cross River,PBO
Abi,Obubra,2030,Abi,0.8,0.8,0.8,0.8,0.400313882,0.740222524,0.65,4,june,3812,Cross River,PBO
Aboh-Mbaise,Ngor-Okpala,2020,Aboh-Mbaise,0.8,0.8,0.8,0.8,0.366998982,0.736534052,0.65,1,june,162,Imo,PBO
Aboh-Mbaise,Ngor-Okpala,2023,Aboh-Mbaise,0.8,0.8,0.8,0.8,0.366998982,0.736534052,0.65,2,june,1257,Imo,PBO
Aboh-Mbaise,Ngor-Okpala,2026,Aboh-Mbaise,0.8,0.8,0.8,0.8,0.366998982,0.736534052,0.65,3,june,2352,Imo,PBO
