LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,mortality,kill_rate,block_initial,simday,mass_llins_fund
Aba North,Ngor-Okpala,2020,Aba North,0.8,0.8,0.8,0.8,1,june,0.319067389,0.728614023,0.65,162,PBO (2021)
Aba North,Ngor-Okpala,2023,Aba North,0.8,0.8,0.8,0.8,2,june,0.319067389,0.728614023,0.65,1257,PBO (2021)
Aba North,Ngor-Okpala,2026,Aba North,0.8,0.8,0.8,0.8,3,june,0.319067389,0.728614023,0.65,2352,PBO (2021)
Aba North,Ngor-Okpala,2029,Aba North,0.8,0.8,0.8,0.8,4,june,0.319067389,0.728614023,0.65,3447,PBO (2021)
Aba South,Ngor-Okpala,2020,Aba South,0.8,0.8,0.8,0.8,1,june,0.311454386,0.726957127,0.65,162,PBO (2021)
Aba South,Ngor-Okpala,2023,Aba South,0.8,0.8,0.8,0.8,2,june,0.311454386,0.726957127,0.65,1257,PBO (2021)
Aba South,Ngor-Okpala,2026,Aba South,0.8,0.8,0.8,0.8,3,june,0.311454386,0.726957127,0.65,2352,PBO (2021)
Aba South,Ngor-Okpala,2029,Aba South,0.8,0.8,0.8,0.8,4,june,0.311454386,0.726957127,0.65,3447,PBO (2021)
Abadam,Babura,2020,Abadam,0.8,0.8,0.8,0.8,1,may,0.658846787,0.750452874,0.843591449,131,PBO (2021)
Abadam,Babura,2023,Abadam,0.8,0.8,0.8,0.8,2,may,0.658846787,0.750452874,0.843591449,1226,PBO (2021)
Abadam,Babura,2026,Abadam,0.8,0.8,0.8,0.8,3,may,0.658846787,0.750452874,0.843591449,2321,PBO (2021)
Abadam,Babura,2029,Abadam,0.8,0.8,0.8,0.8,4,may,0.658846787,0.750452874,0.843591449,3416,PBO (2021)
Abaji,Keana,2020,Abaji,0.8,0.8,0.8,0.8,1,august,0.476373849,0.74548121,0.65,223,PBO (2021)
Abaji,Keana,2023,Abaji,0.8,0.8,0.8,0.8,2,august,0.476373849,0.74548121,0.65,1318,PBO (2021)
Abaji,Keana,2026,Abaji,0.8,0.8,0.8,0.8,3,august,0.476373849,0.74548121,0.65,2413,PBO (2021)
Abaji,Keana,2029,Abaji,0.8,0.8,0.8,0.8,4,august,0.476373849,0.74548121,0.65,3508,PBO (2021)
Abak,Nsit Ubium,2021,Abak,0.8,0.8,0.8,0.8,1,june,0.358412263,0.425644469,0.53,527,Pyrethroid (2020)
