"","LGA","Rep_DS","State","U5_coverage","adult_coverage","severe_cases","simday","duration","year","start_day_override"
"1","Aba North","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"2","Aba South","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"3","Abadam","Babura",NA,0.549277359,0.549277359,0.69,0,-1,2018,-1
"4","Abaji","Keana",NA,0.446130843,0.446130843,0.69,0,-1,2018,-1
"5","Abak","Nsit Ubium",NA,0.497727761,0.497727761,0.69,0,-1,2018,-1
"6","Abakaliki","Owan East",NA,0.552748878,0.552748878,0.69,0,-1,2018,-1
"7","Abeokuta North","Owan East",NA,0.716473785,0.716473785,0.69,0,-1,2018,-1
"8","Abeokuta South","Uzo-Uwani",NA,0.8,0.8,0.69,0,-1,2018,-1
"9","Abi","Obubra",NA,0.345161293,0.345161293,0.69,0,-1,2018,-1
"10","Aboh-Mbaise","Ngor-Okpala",NA,0.575,0.575,0.69,0,-1,2018,-1
"11","Abua-Odual","Ahoada West",NA,0.304505917,0.304505917,0.69,0,-1,2018,-1
"12","Abuja Municipal","Keana",NA,0.248123756,0.248123756,0.69,0,-1,2018,-1
"13","Adavi","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"14","Ado","Akinyele",NA,0.371296311,0.371296311,0.69,0,-1,2018,-1
"15","Ado Ekiti","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"16","Ado-Odo-Ota","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"17","Afijio","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"18","Afikpo North","Oru West",NA,0.863945585,0.863945585,0.69,0,-1,2018,-1
"19","Afikpo South","Ngor-Okpala",NA,0.670951796,0.670951796,0.69,0,-1,2018,-1
"20","Agaie","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"21","Agatu","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"22","Agege","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"23","Aguata","Oru West",NA,0.635107986,0.635107986,0.69,0,-1,2018,-1
"24","Agwara","Birnin Kebbi",NA,0.62225568,0.62225568,0.69,0,-1,2018,-1
"25","Ahiazu-Mbaise","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"26","Ahoada East","Ahoada West",NA,0.500663225,0.500663225,0.69,0,-1,2018,-1
"27","Ahoada West","Ahoada West",NA,0.533333333,0.533333333,0.69,0,-1,2018,-1
"28","Aiyedade","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"29","Aiyedire","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"30","Ajaokuta","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"31","Ajeromi-Ifelodun","Uzo-Uwani",NA,0.8,0.8,0.69,0,-1,2018,-1
"32","Ajingi","Taura",NA,0.374928041,0.374928041,0.69,0,-1,2018,-1
"33","Akamkpa","Ngor-Okpala",NA,0.391387598,0.391387598,0.69,0,-1,2018,-1
"34","Akinyele","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"35","Akko","Alkaleri",NA,0.345904448,0.345904448,0.69,0,-1,2018,-1
"36","Akoko North East","Oke-Ero",NA,0.496533971,0.496533971,0.69,0,-1,2018,-1
"37","Akoko North West","Oke-Ero",NA,0.716847318,0.716847318,0.69,0,-1,2018,-1
"38","Akoko South East","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"39","Akoko South West","Oke-Ero",NA,0.533333333,0.533333333,0.69,0,-1,2018,-1
"40","Akoko-Edo","Owan East",NA,0.633768496,0.633768496,0.69,0,-1,2018,-1
"41","Akpabuyo","Nsit Ubium",NA,0.497727761,0.497727761,0.69,0,-1,2018,-1
"42","Akuku Toru","Ahoada West",NA,0.6,0.6,0.69,0,-1,2018,-1
"43","Akure North","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
