LGA,District_Code,State,area kmsq,lat,long,population,geopode pop,geopode pop 0-4
Aba North,NGA001,Abia,22.95558493,5.106900368,7.37164362,114894,248279,30276
Aba South,NGA002,Abia,49.55131597,5.081345688,7.350650086,545400,382848,48251
Arochukwu,NGA003,Abia,529.3073681,5.515729042,7.807884933,202949,144510,19315
Bende,NGA004,Abia,607.5398497,5.664239592,7.610951093,282901,233694,31980
Ikwuano,NGA005,Abia,284.0756314,5.406009291,7.584972692,163722,151755,20148
Isiala-Ngwa North,NGA006,Abia,285.4382522,5.29057292,7.401407903,198839,228984,30207
Isiala-Ngwa South,NGA007,Abia,260.3969399,5.396207236,7.422964193,202848,264367,34572
Isuikwato,NGA008,Abia,397.6464349,5.805547182,7.472038333,171496,183752,25669
Obi Nwa,NGA009,Abia,398.5077904,5.14254096,7.468273597,218684,460609,62623
Ohafia,NGA010,Abia,442.7086251,5.667955409,7.801600055,266555,198114,27111
Osisioma Ngwa,NGA011,Abia,199.3864767,5.195654386,7.332739674,280004,558253,69238
Ugwunagbo,NGA012,Abia,108.6888897,5.014104263,7.348684813,144769,85867,12194
Ukwa East,NGA013,Abia,282.1680698,4.930699461,7.418118231,84403,66651,9347
Ukwa West,NGA014,Abia,272.702296,4.945694626,7.249543491,104828,105540,13645
Umuahia North,NGA015,Abia,246.9556851,5.595244108,7.484990482,216545,307034,39247
Umuahia South,NGA016,Abia,141.7104827,5.493905066,7.455426445,220133,222744,28509
Umu-Neochi,NGA017,Abia,372.4970764,5.964277008,7.408555572,193753,218104,30528
Demsa,NGA018,Adamawa,1868.819503,9.383250456,12.04826799,104009,149411,28036
Fufore,NGA019,Adamawa,5076.92464,9.18388914,12.60190386,354022,239790,45046
Ganaye,NGA020,Adamawa,1922.258966,8.404437371,11.9626919,159060,192641,32526
Gireri,NGA021,Adamawa,1899.13973,10.18309027,12.54438742,232018,181583,33094
Gombi,NGA022,Adamawa,1126.136841,9.43440312,12.48157554,204998,202520,39256
Guyuk,NGA023,Adamawa,777.5335261,9.827917219,11.91991911,184444,135738,26442
Hong,NGA024,Adamawa,2697.608594,10.30392019,12.92002063,140660,238298,46778
Jada,NGA025,Adamawa,2846.752797,8.675739673,12.32325598,350784,196841,34539
Lamurde,NGA026,Adamawa,1200.470541,9.560836195,11.71071964,105573,80566,15249
Madagali,NGA027,Adamawa,845.1428147,10.8225898,13.50843927,220986,127190,26371
Maiha,NGA028,Adamawa,1303.359864,9.842347143,13.16264307,157264,94226,18424
Mayo-Belwa,NGA029,Adamawa,1806.454071,8.9568341,11.94468264,150902,196300,34625
Michika,NGA030,Adamawa,994.2659113,10.57461892,13.39839456,229923,162597,32372
Mubi North,NGA031,Adamawa,926.6510872,10.32321814,13.31003184,233467,180841,34926
Mubi South,NGA032,Adamawa,424.4477921,10.17433586,13.32424086,212507,172035,32698
Numan,NGA033,Adamawa,927.5708895,9.43111575,11.81829981,120192,81240,15076
Shelleng,NGA034,Adamawa,1396.011746,9.925063129,12.13848083,203243,120847,23687
Song,NGA035,Adamawa,4362.482798,9.813341707,12.62428475,254335,241089,46659
Toungo,NGA036,Adamawa,5569.783715,7.961414602,11.82442815,68406,51221,8323
Yola North,NGA037,Adamawa,733.6035977,9.238111132,12.37146998,322484,207406,32929
Yola South,NGA038,Adamawa,115.2519556,9.255172749,12.4118434,274121,369398,64111
Abak,NGA039,Akwa lbom,191.5059203,5.019886845,7.772279199,199305,161677,21193
Eastern Obolo,NGA040,Akwa lbom,114.5014238,4.520832367,7.701750015,82533,19253,3113
Eket,NGA041,Akwa lbom,168.6556569,4.637094232,7.948086337,225453,232011,31668
Esit Eket,NGA042,Akwa lbom,169.1550422,4.639667846,8.075571543,90371,53493,7170
Essien Udim,NGA043,Akwa lbom,297.465454,5.109122129,7.649779507,254204,115101,15292
Etim Ekpo,NGA044,Akwa lbom,207.4870909,4.967778912,7.599736259,159247,91344,12702
Etinan,NGA045,Akwa lbom,176.1805513,4.814183997,7.844552362,190237,77885,10684
Ibeno,NGA046,Akwa lbom,238.1255178,4.56260672,8.072273995,107050,44141,6032
Ibesikpo Asutan,NGA047,Akwa lbom,155.6910247,4.923256872,7.955376064,203546,201597,25377
Ibiono Ibom,NGA048,Akwa lbom,339.8562478,5.206748374,7.88477921,229866,104355,12769
Ika,NGA049,Akwa lbom,113.6441875,5.009965276,7.535240323,84977,37407,5121
Ikono,NGA050,Akwa lbom,261.2000661,5.216166355,7.782687612,177429,115405,14821
Ikot Abasi,NGA051,Akwa lbom,361.9682097,4.606966829,7.626108752,196599,124103,20142
Ikot Ekpene,NGA052,Akwa lbom,116.8435934,5.194517671,7.70397806,187224,226531,28838
Ini,NGA053,Akwa lbom,375.8077218,5.395997306,7.75025273,92038,96829,12788
Itu,NGA054,Akwa lbom,176.1533189,5.154299406,7.988172609,108929,141968,16177
Mbo,NGA055,Akwa lbom,248.1181447,4.646018275,8.256533956,131619,68970,9145
Mkpat Enin,NGA056,Akwa lbom,331.8456402,4.694606518,7.764330506,214125,83098,12319
Nsit Atai,NGA057,Akwa lbom,135.3275445,4.826378614,8.030979514,92863,46599,6161
Nsit Ibom,NGA058,Akwa lbom,142.9620352,4.893699004,7.894196926,135774,55262,7157
Nsit Ubium,NGA059,Akwa lbom,207.2795288,4.748288415,7.959625536,167392,88516,11922
Obot Akara,NGA060,Akwa lbom,239.5645197,5.247795133,7.605658969,199969,74686,9839
Okobo,NGA061,Akwa lbom,301.7866054,4.821376167,8.133241368,135024,61351,8292
Onna,NGA062,Akwa lbom,163.2220769,4.627992362,7.854530083,184581,68885,9910
Oron,NGA063,Akwa lbom,54.89552602,4.808970408,8.233148845,248042,119397,15492
Oruk Anam,NGA064,Akwa lbom,527.400236,4.803448293,7.658545836,250605,136898,20047
Udung Uko,NGA065,Akwa lbom,63.0050524,4.753227516,8.26093895,52224,20515,2705
Ukanafun,NGA066,Akwa lbom,248.245922,4.892901267,7.603259038,143426,107483,15454
Uruan,NGA067,Akwa lbom,349.3706903,5.011008257,8.055240495,135377,117218,14925
Urue-Offong-Oruko,NGA068,Akwa lbom,127.9500099,4.714376059,8.169559002,105886,48746,6363
Uyo,NGA069,Akwa lbom,188.0240747,5.008230544,7.916782041,440753,540930,62730
Aguata,NGA070,Anambra,197.1743178,5.988620938,7.088043302,505297,436137,60408
Anambra East,NGA071,Anambra,253.6612953,6.313621886,6.882147825,101944,102898,14880
Anambra West,NGA072,Anambra,965.6557563,6.49862642,6.809672847,224096,27458,4083
Anaocha,NGA073,Anambra,105.5200943,6.089717606,7.0166073,288521,163628,23020
Awka North,NGA074,Anambra,356.0300186,6.341412576,7.058919645,95164,65115,9362
Awka South,NGA075,Anambra,172.2092501,6.19537988,7.087011892,214452,242615,33309
Ayamelum,NGA076,Anambra,596.1938352,6.559317604,6.988592249,183667,75586,11452
Dunukofia,NGA077,Anambra,66.31884765,6.233214009,6.964543018,93267,76743,10579
Ekwusigo,NGA078,Anambra,117.6696206,5.990935,6.848417856,245460,247042,34771
Idemili North,NGA079,Anambra,116.7388212,6.12982972,6.88238833,611990,577195,78563
Idemili South,NGA080,Anambra,138.5340441,6.072441876,6.88468897,320384,241248,33727
Ihiala,NGA081,Anambra,254.3151853,5.850858836,6.871667638,546468,356918,51107
Njikoka,NGA082,Anambra,96.21446329,6.186484715,6.99313645,168247,191849,26566
Nnewi North,NGA083,Anambra,60.47759144,6.004252091,6.902803859,212960,220638,31505
Nnewi South,NGA084,Anambra,175.7588056,5.953523114,6.972977261,233114,212228,30563
Ogbaru,NGA085,Anambra,457.9956221,5.907294203,6.738654384,513758,160072,22026
Onitsha North,NGA086,Anambra,42.59932704,6.160811167,6.799684612,126986,203175,25100
Onitsha South,NGA087,Anambra,10.12018584,6.137031329,6.772358448,35278,85275,10103
Orumba North,NGA088,Anambra,300.5712568,6.110628527,7.167041205,116275,116795,16456
Orumba South,NGA089,Anambra,194.4368821,5.997119307,7.227214864,180550,169324,24462
Oyi,NGA090,Anambra,138.0189443,6.226669837,6.901069753,177852,254344,35339
Alkaleri,NGA091,Bauchi,6092.833078,9.880058408,10.4757846,396283,365904,72615
Bauchi,NGA092,Bauchi,3806.623267,10.23385245,9.935643324,622718,1102452,201848
Bogoro,NGA093,Bauchi,919.9356891,9.623892559,9.61674146,125641,73197,13756
Damban,NGA094,Bauchi,1121.467196,11.61677973,10.78681824,215635,188118,41832
Darazo,NGA095,Bauchi,3128.714479,11.15004093,10.6097249,419599,376286,82994
Dass,NGA096,Bauchi,551.782684,10.01676981,9.485248632,122143,69087,13312
Gamawa,NGA097,Bauchi,3055.895591,12.05665785,10.58427899,374164,325332,74110
Ganjuwa,NGA098,Bauchi,5239.238724,10.75225899,9.999841254,368950,499258,107625
Giade,NGA099,Bauchi,694.5776899,11.41142194,10.20789403,214671,195717,43590
Itas-Gadau,NGA100,Bauchi,1459.508172,11.88115996,10.04224229,279483,269242,62001
Jama'are,NGA101,Bauchi,513.7009439,11.71738654,9.914249437,130867,78705,17304
Katagum,NGA102,Bauchi,1496.562398,11.68194466,10.33672327,321173,507892,111625
Kirfi,NGA103,Bauchi,2448.541645,10.39603036,10.5400285,192716,169847,35043
Misau,NGA104,Bauchi,1275.188841,11.39021725,10.44830332,350794,254004,56200
Ningi,NGA105,Bauchi,4802.044946,11.04888849,9.231700894,486356,403118,86651
Shira,NGA106,Bauchi,1374.843084,11.49296032,10.00907295,332717,302336,67746
Tafawa-Balewa,NGA107,Bauchi,2590.057671,9.819147816,9.600837592,313710,223078,42257
Toro,NGA108,Bauchi,7168.229649,10.43429869,9.22681803,411096,429019,82506
