LGA,Archetype,Habitat_Multiplier
Aba North,Ngor-Okpala,12.222708660637345
Aba South,Ngor-Okpala,12.222708660637345
Arochukwu,Ngor-Okpala,12.222708660637345
Bende,Ngor-Okpala,12.222708660637345
Ikwuano,Ngor-Okpala,12.222708660637345
Isiala-Ngwa North,Ngor-Okpala,12.222708660637345
Isiala-Ngwa South,Ngor-Okpala,12.222708660637345
Isuikwato,Ngor-Okpala,12.222708660637345
Obi Nwa,Ngor-Okpala,12.222708660637345
Ohafia,Ngor-Okpala,12.222708660637345
Osisioma Ngwa,Ngor-Okpala,12.222708660637345
Ugwunagbo,Ngor-Okpala,12.222708660637345
Ukwa East,Nsit Ubium,0.9798485432183092
Ukwa West,Nsit Ubium,0.9798485432183092
Umuahia North,Ngor-Okpala,12.222708660637345
Umuahia South,Ngor-Okpala,12.222708660637345
Umu-Neochi,Oru West,0.6552592499051878
Demsa,Alkaleri,1.6810244793379772
Fufore,Alkaleri,1.6810244793379772
Ganaye,Alkaleri,1.6810244793379772
Gireri,Darazo,3.3028092532223194
Gombi,Alkaleri,1.6810244793379772
Guyuk,Alkaleri,1.6810244793379772
Hong,Darazo,3.3028092532223194
Jada,Alkaleri,1.6810244793379772
Lamurde,Alkaleri,1.6810244793379772
Madagali,Darazo,3.3028092532223194
Maiha,Alkaleri,1.6810244793379772
Mayo-Belwa,Alkaleri,1.6810244793379772
Michika,Darazo,3.3028092532223194
Mubi North,Darazo,3.3028092532223194
Mubi South,Darazo,3.3028092532223194
Numan,Alkaleri,1.6810244793379772
Shelleng,Darazo,3.3028092532223194
Song,Darazo,3.3028092532223194
Toungo,Keana,0.5289590485301446
Yola North,Alkaleri,1.6810244793379772
Yola South,Alkaleri,1.6810244793379772
Abak,Nsit Ubium,0.9798485432183092
Eastern Obolo,Nsit Ubium,0.9798485432183092
Eket,Nsit Ubium,0.9798485432183092
Esit Eket,Nsit Ubium,0.9798485432183092
Essien Udim,Ngor-Okpala,12.222708660637345
Etim Ekpo,Ngor-Okpala,12.222708660637345
Etinan,Nsit Ubium,0.9798485432183092
Ibeno,Nsit Ubium,0.9798485432183092
Ibesikpo Asutan,Nsit Ubium,0.9798485432183092
Ibiono Ibom,Ngor-Okpala,12.222708660637345
Ika,Ngor-Okpala,12.222708660637345
Ikono,Ngor-Okpala,12.222708660637345
Ikot Abasi,Nsit Ubium,0.9798485432183092
Ikot Ekpene,Ngor-Okpala,12.222708660637345
Ini,Ngor-Okpala,12.222708660637345
Itu,Ngor-Okpala,12.222708660637345
Mbo,Nsit Ubium,0.9798485432183092
Mkpat Enin,Nsit Ubium,0.9798485432183092
Nsit Atai,Nsit Ubium,0.9798485432183092
Nsit Ibom,Nsit Ubium,0.9798485432183092
Nsit Ubium,Nsit Ubium,0.9798485432183092
Obot Akara,Ngor-Okpala,12.222708660637345
Okobo,Nsit Ubium,0.9798485432183092
Onna,Nsit Ubium,0.9798485432183092
Oron,Nsit Ubium,0.9798485432183092
Oruk Anam,Nsit Ubium,0.9798485432183092
Udung Uko,Nsit Ubium,0.9798485432183092
Ukanafun,Nsit Ubium,0.9798485432183092
Uruan,Nsit Ubium,0.9798485432183092
Urue-Offong-Oruko,Nsit Ubium,0.9798485432183092
Uyo,Nsit Ubium,0.9798485432183092
Aguata,Oru West,0.6552592499051878
Anambra East,Uzo-Uwani,0.14888028671038894
Anambra West,Uzo-Uwani,0.14888028671038894
Anaocha,Oru West,0.6552592499051878
Awka North,Uzo-Uwani,0.14888028671038894
Awka South,Uzo-Uwani,0.14888028671038894
Ayamelum,Uzo-Uwani,0.14888028671038894
Dunukofia,Uzo-Uwani,0.14888028671038894
Ekwusigo,Oru West,0.6552592499051878
Idemili North,Uzo-Uwani,0.14888028671038894
Idemili South,Oru West,0.6552592499051878
Ihiala,Oru West,0.6552592499051878
Njikoka,Uzo-Uwani,0.14888028671038894
Nnewi North,Oru West,0.6552592499051878
Nnewi South,Oru West,0.6552592499051878
Ogbaru,Ahoada West,1.3863792175465242
Onitsha North,Uzo-Uwani,0.14888028671038894
Onitsha South,Uzo-Uwani,0.14888028671038894
Orumba North,Oru West,0.6552592499051878
Orumba South,Oru West,0.6552592499051878
Oyi,Uzo-Uwani,0.14888028671038894
Alkaleri,Alkaleri,1.6810244793379772
Bauchi,Alkaleri,1.6810244793379772
Bogoro,Alkaleri,1.6810244793379772
Damban,Darazo,3.3028092532223194
Darazo,Darazo,3.3028092532223194
Dass,Alkaleri,1.6810244793379772
Gamawa,Gwarzo,12.139252366013222
Ganjuwa,Darazo,3.3028092532223194
Giade,Darazo,3.3028092532223194
Itas-Gadau,Taura,0.2502560963015474
Jama'are,Taura,0.2502560963015474
Katagum,Gwarzo,12.139252366013222
Kirfi,Alkaleri,1.6810244793379772
Misau,Darazo,3.3028092532223194
Ningi,Takali,8.68747030317599
Shira,Takali,8.68747030317599
