archetype,Constant,MaxHab,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12,pop_scale
Ahoada West,8.054,11.4094,0.0001,0.0001,0.0001,0,0,0.0001,0.0003,0.000176136,0.000793843,0.0001,0,0.0001,0.15
Akinyele,8.2914,11.76056,0.0001,0.0001,0.0001,0,0,0.0001,0.001410864,0.0001,0.001,0.0001,0,0.0001,0.15
Alkaleri,8.37096,11.3951,0.001,0.0001,0.0001,0,0,0.0001,0.003,0.001,0.002831541,0.00047063,0,0.0002,0.15
Babura,8,11.16760424,0.00436,0.004,0.001799053,0.000108,0,0,0,0,0,0,0,0.007582,0.15
Birnin Kebbi,8.2975,11.9825,0.000298,0.0001,0.0001,0,0,0.0001,0.000171177,0.0007,0.0002,0.000184,0,0.000881,0.15
Darazo,8.15,11.21296362,0.002,0.001,0,0,0,0,0.0005,0.001,0.001,0.001,0.001,0.002,0.15
Gawabawa,8.004,11.336,0.000178721,0.00048537,0.0001,0,0,0,0.0002,0.0007,0.000161,1.00E-05,0,0,0.15
Giwa,8.022,11.2955,0.000786265,0.0001,0.0001,0,0,0.0001,0.003,0.001,0.001,0.0001,0,0.0001,0.15
Gwarzo,8.1182,11.6075,0.00135,0.0003,0.0001,0,0,0.0001,0.0003,0.0003,0.000809507,0.0001,0,0.0001,0.15
Isoko South,8.331967528,11.75709387,0.0011,0,0,0,0.000513523,0.0003,0.0005,0.001,0.0001,0.0001,0,0,0.15
Keana,8.5653,11.9962,8.75E-05,0.0001,0,0,0,0.0003,0.0003,0.001,0.0003,0.0001,0,1.00E-05,0.15
Ngor-Okpala,8.372105963,10.82139057,0,0,0,0,0,0,0,0.001,0.001,0.0005,0.0001,0,0.15
Nsit Ubium,8.371624904,11.61709895,0.0011,0,0,0,0.000890244,0.0003,0.0005,0.001,0.0001,0.0001,0,0,0.15
Obubra,8.538042647,10.93746461,0,0,0,0,0,0,0,0.001,0.001,0.0005,0.0001,0,0.15
Oke-Ero,8.7,12.31080963,0,0,0,0,0,0.0003,0.0003,0.001,0.0003,0.0001,0,0,0.15
Oru West,8.5,11.74746481,0.001132126,5.00E-05,0,0,0.0003,0.0003,0.0005,0.001,0.0001,0.0001,0,0,0.15
Owan East,8.76366486,10.99095147,0,0,0,0,0.001,0.001,0.00775,0.0081,0.003,0.002,0,0,0.15
Rimi,8.5408,11.64870614,0.0008,0.001,0,0,0,0.0001,0.0003,0.001,0.0003,0.0001,0,0.004833,0.15
Soba,8.2898,12.74495,0.000558,2.00E-05,0.000300982,0.0001,0.0003,0.0005,0.0005,0.0007,0.0019,0.0002,0.0001,0.001,0.15
Takali,8.024,11.9015,0,0,0,0,0,0,0.0001,0.001,0.000224161,0,0,0,0.15
Taura,8.7042,11.707,0.0134,0.0005,8.88E-05,0,0,0.0001,0.0003,0.0026,0.0003,0.0073,0,0,0.15
Uzo-Uwani,8.819000759,12.25001722,0,0,0,0,0,0.0001,0.0003,0.001,0.0003,0.0001,0,0,0.15
