State,LGA,year,number
Adamawa,Lamurde,2010,128
Adamawa,Song,2010,137
Adamawa,Yola South,2010,117
Akwa lbom,Abak,2010,128
Akwa lbom,Essien Udim,2010,101
Akwa lbom,Ibesikpo Asutan,2010,112
Akwa lbom,Ikot Abasi,2010,155
Akwa lbom,Obot Akara,2010,128
Akwa lbom,Oruk Anam,2010,164
Anambra,Ayamelum,2010,156
Akwa lbom,Uyo,2010,96
Anambra,Anaocha,2010,335
Anambra,Ihiala,2010,280
Anambra,Nnewi North,2010,117
Anambra,Onitsha South,2010,130
Anambra,Oyi,2010,91
Bauchi,Bauchi,2010,308
Bauchi,Damban,2010,184
Bauchi,Gamawa,2010,139
Bauchi,Giade,2010,113
Bauchi,Katagum,2010,108
Bauchi,Misau,2010,130
Bauchi,Ningi,2010,180
Bauchi,Shira,2010,146
Ekiti,Ado Ekiti,2010,74
Ekiti,Ekiti West,2010,106
Ekiti,Irepodun/Ifelodun,2010,235
Gombe,Akko,2010,151
Gombe,Dukku,2010,348
Gombe,Gombe,2010,124
Kano,Dala,2010,150
Gombe,Shomgom,2010,186
Kano,Tofa,2010,152
Jigawa,Malam Madori,2010,153
Jigawa,Birni Kudu,2010,154
Jigawa,Kafin Hausa,2010,124
Jigawa,Gwaram,2010,143
Kaduna,Birnin-Gwari,2010,187
Kaduna,Chikun,2010,155
Kebbi,Koko/Besse,2010,140
Kaduna,Kaduna North,2010,141
Kaduna,Kauru,2010,156
Kaduna,Lere,2010,151
Kaduna,Markafi,2010,171
Kaduna,Soba,2010,139
Kaduna,Zaria,2010,197
Kano,Bagwai,2010,141
Kano,Bebeji,2010,184
Kano,Garko,2010,151
Kano,Kabo,2010,123
Kano,Kura,2010,138
Kano,Ungogo,2010,140
Kano,Warawa,2010,179
Kano,Wudil,2010,183
Kebbi,Augie,2010,118
Kebbi,Gwandu,2010,148
Niger,Chanchaga,2010,177
Niger,Katcha,2010,155
Niger,Lavun,2010,150
Niger,Magama,2010,167
Niger,Pailoro,2010,195
Ogun,Ijebu North,2010,34
Ogun,Ado-Odo/Ota,2010,83
Niger,Shiroro,2010,120
Ogun,Remo North,2010,68
Rivers,Ahoada West,2010,124
Rivers,Andoni,2010,134
Rivers,Asari-Toru,2010,104
Rivers,Emohua,2010,102
Rivers,Gokana,2010,139
Rivers,Ikwerre,2010,121
Rivers,Obia/Akpor,2010,120
Rivers,Ogu/Bolo,2010,113
Rivers,Port-Harcourt,2010,124
Sokoto,Dange-Shnsi,2010,122
Sokoto,Illela,2010,138
Sokoto,Shagari,2010,162
Sokoto,Sokoto South,2010,161
Sokoto,Yabo,2010,121
Ogun,Egbado North,2010,161
Niger,Borgu,2010,182
Adamawa,Madagali,2010,160
Adamawa,Michika,2010,215
Adamawa,Mubi North,2010,194
Adamawa,Ganaye,2010,137
