LGA,Rep_DS,State,,,U5_coverage,adult_coverage,simday,duration,year
Aba North,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Aba South,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Abadam,Babura,Jigawa,,,0.053961815,0.053961815,0,1095,2010
Abaji,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Abak,Nsit Ubium,Akwa lbom,,,0.092807342,0.092807342,0,1095,2010
Abakaliki,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Abeokuta North,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Abeokuta South,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Abi,Obubra,Cross River,,,0,0,0,1095,2010
Aboh-Mbaise,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Abua-Odual,Ahoada West,Rivers,,,0.244230555,0.244230555,0,1095,2010
Abuja Municipal,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Adavi,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Ado,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Ado Ekiti,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Ado-Odo-Ota,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Afijio,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Afikpo North,Oru West,Imo,,,0.175766728,0.175766728,0,1095,2010
Afikpo South,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Agaie,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Agatu,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Agege,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Aguata,Oru West,Imo,,,0.175766728,0.175766728,0,1095,2010
Agwara,Birnin Kebbi,Kebbi,,,0.005035576,0.005035576,0,1095,2010
Ahiazu-Mbaise,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Ahoada East,Ahoada West,Rivers,,,0.244230555,0.244230555,0,1095,2010
Ahoada West,Ahoada West,Rivers,,,0.244230555,0.244230555,0,1095,2010
Aiyedade,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Aiyedire,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Ajaokuta,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Ajeromi-Ifelodun,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ajingi,Taura,Jigawa,,,0.066097954,0.066097954,0,1095,2010
Akamkpa,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Akinyele,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Akko,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Akoko North East,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Akoko North West,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Akoko South East,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Akoko South West,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Akoko-Edo,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Akpabuyo,Nsit Ubium,Akwa lbom,,,0.092807342,0.092807342,0,1095,2010
Akuku Toru,Ahoada West,Rivers,,,0.244230555,0.244230555,0,1095,2010
Akure North,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Akure South,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Akwanga,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Albasu,Takali,Kano,,,0.041618192,0.041618192,0,1095,2010
Aleiro,Birnin Kebbi,Kebbi,,,0.005035576,0.005035576,0,1095,2010
Alimosho,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Alkaleri,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Amuwo-Odofin,Isoko South,Delta,,,0.102375399,0.102375399,0,1095,2010
Anambra East,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Anambra West,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Anaocha,Oru West,Imo,,,0.175766728,0.175766728,0,1095,2010
Andoni,Nsit Ubium,Akwa lbom,,,0.092807342,0.092807342,0,1095,2010
Aninri,Oru West,Imo,,,0.175766728,0.175766728,0,1095,2010
Aniocha North,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Aniocha South,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Anka,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Ankpa,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Apa,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Apapa,Isoko South,Delta,,,0.102375399,0.102375399,0,1095,2010
Ardo-Kola,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Arewa-Dandi,Birnin Kebbi,Kebbi,,,0.005035576,0.005035576,0,1095,2010
Argungu,Birnin Kebbi,Kebbi,,,0.005035576,0.005035576,0,1095,2010
Arochukwu,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Asa,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Asari-Toru,Ahoada West,Rivers,,,0.244230555,0.244230555,0,1095,2010
Askira-Uba,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Atakumosa East,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Atakumosa West,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Atiba,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Atigbo,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Augie,Birnin Kebbi,Kebbi,,,0.005035576,0.005035576,0,1095,2010
Auyo,Taura,Jigawa,,,0.066097954,0.066097954,0,1095,2010
Awe,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Awgu,Oru West,Imo,,,0.175766728,0.175766728,0,1095,2010
Awka North,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Awka South,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ayamelum,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Babura,Babura,Jigawa,,,0.053961815,0.053961815,0,1095,2010
Badagry,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Bade,Taura,Jigawa,,,0.066097954,0.066097954,0,1095,2010
Bagudo,Birnin Kebbi,Kebbi,,,0.005035576,0.005035576,0,1095,2010
Bagwai,Babura,Jigawa,,,0.053961815,0.053961815,0,1095,2010
Bakassi,Obubra,Cross River,,,0,0,0,1095,2010
Bakori,Gwarzo,Kano,,,0.020151372,0.020151372,0,1095,2010
Bakura,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Balanga,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Bali,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Bama,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Barikin Ladi,Soba,Kaduna,,,0.076473462,0.076473462,0,1095,2010
Baruten,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Bassa1,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Bassa2,Soba,Kaduna,,,0.076473462,0.076473462,0,1095,2010
Batagarawa,Rimi,Katsina,,,0.096584862,0.096584862,0,1095,2010
Batsari,Rimi,Katsina,,,0.096584862,0.096584862,0,1095,2010
Bauchi,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Baure,Babura,Jigawa,,,0.053961815,0.053961815,0,1095,2010
Bayo,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Bebeji,Gwarzo,Kano,,,0.020151372,0.020151372,0,1095,2010
Bekwara,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Bende,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Biase,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Bichi,Gwarzo,Kano,,,0.020151372,0.020151372,0,1095,2010
Bida,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Billiri,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Bindawa,Rimi,Katsina,,,0.096584862,0.096584862,0,1095,2010
Binji,Gawabawa,Sokoto,,,0,0,0,1095,2010
Biriniwa,Taura,Jigawa,,,0.066097954,0.066097954,0,1095,2010
Birni Kudu,Takali,Kano,,,0.041618192,0.041618192,0,1095,2010
Birnin Kebbi,Birnin Kebbi,Kebbi,,,0.005035576,0.005035576,0,1095,2010
Birnin Magaji,Rimi,Katsina,,,0.096584862,0.096584862,0,1095,2010
Birnin-Gwari,Giwa,Kaduna,,,0.018010707,0.018010707,0,1095,2010
Biu,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Bodinga,Gawabawa,Sokoto,,,0,0,0,1095,2010
Bogoro,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Boki,Obubra,Cross River,,,0,0,0,1095,2010
Bokkos,Giwa,Kaduna,,,0.018010707,0.018010707,0,1095,2010
Boluwaduro,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Bomadi,Isoko South,Delta,,,0.102375399,0.102375399,0,1095,2010
Bonny,Nsit Ubium,Akwa lbom,,,0.092807342,0.092807342,0,1095,2010
Borgu,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Boripe,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Bosso,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Brass,Ahoada West,Rivers,,,0.244230555,0.244230555,0,1095,2010
Buji,Takali,Kano,,,0.041618192,0.041618192,0,1095,2010
Bukkuyum,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
