,LGA,Rep_DS,State,simday,duration,year,U5_coverage,adult_coverage
1,Aba North,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
2,Aba South,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
3,Abadam,Babura,Jigawa,0,1095,2010,0.102781,0.102781
4,Abaji,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
5,Abak,Nsit Ubium,Akwa lbom,0,1095,2010,0.157392,0.157392
6,Abakaliki,Owan East,Edo,0,1095,2010,0.20155,0.20155
7,Abeokuta North,Owan East,Edo,0,1095,2010,0.20155,0.20155
8,Abeokuta South,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
9,Abi,Obubra,Cross River,0,1095,2010,0,0
10,Aboh-Mbaise,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
11,Abua-Odual,Ahoada West,Rivers,0,1095,2010,0.38041,0.38041
12,Abuja Municipal,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
13,Adavi,Owan East,Edo,0,1095,2010,0.20155,0.20155
14,Ado,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
15,Ado Ekiti,Owan East,Edo,0,1095,2010,0.20155,0.20155
16,Ado-Odo-Ota,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
17,Afijio,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
18,Afikpo North,Oru West,Imo,0,1095,2010,0.275321,0.275321
19,Afikpo South,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
20,Agaie,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
21,Agatu,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
22,Agege,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
23,Aguata,Oru West,Imo,0,1095,2010,0.275321,0.275321
24,Agwara,Birnin Kebbi,Kebbi,0,1095,2010,0.033146,0.033146
25,Ahiazu-Mbaise,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
26,Ahoada East,Ahoada West,Rivers,0,1095,2010,0.38041,0.38041
27,Ahoada West,Ahoada West,Rivers,0,1095,2010,0.38041,0.38041
28,Aiyedade,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
29,Aiyedire,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
30,Ajaokuta,Owan East,Edo,0,1095,2010,0.20155,0.20155
31,Ajeromi-Ifelodun,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
32,Ajingi,Taura,Jigawa,0,1095,2010,0.128142,0.128142
33,Akamkpa,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
34,Akinyele,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
35,Akko,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
36,Akoko North East,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
37,Akoko North West,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
38,Akoko South East,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
39,Akoko South West,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
