,LGA,Rep_DS,State,simday,duration,year,U5_coverage,adult_coverage
1,Aba North,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
2,Aba South,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
3,Abadam,Babura,Jigawa,0,1095,2010,0.02454,0.02454
4,Abaji,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
5,Abak,Nsit Ubium,Akwa lbom,0,1095,2010,0.049395,0.049395
6,Abakaliki,Owan East,Edo,0,1095,2010,0.040692,0.040692
7,Abeokuta North,Owan East,Edo,0,1095,2010,0.040692,0.040692
8,Abeokuta South,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
9,Abi,Obubra,Cross River,0,1095,2010,0,0
10,Aboh-Mbaise,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
11,Abua-Odual,Ahoada West,Rivers,0,1095,2010,0.139011,0.139011
12,Abuja Municipal,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
13,Adavi,Owan East,Edo,0,1095,2010,0.040692,0.040692
14,Ado,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
15,Ado Ekiti,Owan East,Edo,0,1095,2010,0.040692,0.040692
16,Ado-Odo-Ota,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
17,Afijio,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
18,Afikpo North,Oru West,Imo,0,1095,2010,0.101985,0.101985
19,Afikpo South,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
20,Agaie,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
21,Agatu,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
22,Agege,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
23,Aguata,Oru West,Imo,0,1095,2010,0.101985,0.101985
24,Agwara,Birnin Kebbi,Kebbi,0,1095,2010,5.50E-05,5.50E-05
25,Ahiazu-Mbaise,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
26,Ahoada East,Ahoada West,Rivers,0,1095,2010,0.139011,0.139011
27,Ahoada West,Ahoada West,Rivers,0,1095,2010,0.139011,0.139011
28,Aiyedade,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
29,Aiyedire,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
30,Ajaokuta,Owan East,Edo,0,1095,2010,0.040692,0.040692
31,Ajeromi-Ifelodun,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
32,Ajingi,Taura,Jigawa,0,1095,2010,0.029,0.029
33,Akamkpa,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
34,Akinyele,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
35,Akko,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
36,Akoko North East,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
37,Akoko North West,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
38,Akoko South East,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
39,Akoko South West,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
40,Akoko-Edo,Owan East,Edo,0,1095,2010,0.040692,0.040692
41,Akpabuyo,Nsit Ubium,Akwa lbom,0,1095,2010,0.049395,0.049395
42,Akuku Toru,Ahoada West,Rivers,0,1095,2010,0.139011,0.139011
43,Akure North,Owan East,Edo,0,1095,2010,0.040692,0.040692
44,Akure South,Owan East,Edo,0,1095,2010,0.040692,0.040692
45,Akwanga,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
46,Albasu,Takali,Kano,0,1095,2010,0.017351,0.017351
47,Aleiro,Birnin Kebbi,Kebbi,0,1095,2010,5.50E-05,5.50E-05
48,Alimosho,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
49,Alkaleri,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
50,Amuwo-Odofin,Isoko South,Delta,0,1095,2010,0.051413,0.051413
51,Anambra East,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
52,Anambra West,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
53,Anaocha,Oru West,Imo,0,1095,2010,0.101985,0.101985
54,Andoni,Nsit Ubium,Akwa lbom,0,1095,2010,0.049395,0.049395
55,Aninri,Oru West,Imo,0,1095,2010,0.101985,0.101985
56,Aniocha North,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
57,Aniocha South,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
58,Anka,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
59,Ankpa,Owan East,Edo,0,1095,2010,0.040692,0.040692
60,Apa,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
61,Apapa,Isoko South,Delta,0,1095,2010,0.051413,0.051413
62,Ardo-Kola,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
63,Arewa-Dandi,Birnin Kebbi,Kebbi,0,1095,2010,5.50E-05,5.50E-05
64,Argungu,Birnin Kebbi,Kebbi,0,1095,2010,5.50E-05,5.50E-05
65,Arochukwu,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
66,Asa,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
67,Asari-Toru,Ahoada West,Rivers,0,1095,2010,0.139011,0.139011
68,Askira-Uba,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
69,Atakumosa East,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
70,Atakumosa West,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
71,Atiba,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
72,Atigbo,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
73,Augie,Birnin Kebbi,Kebbi,0,1095,2010,5.50E-05,5.50E-05
74,Auyo,Taura,Jigawa,0,1095,2010,0.029,0.029
75,Awe,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
76,Awgu,Oru West,Imo,0,1095,2010,0.101985,0.101985
77,Awka North,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
78,Awka South,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
