,LGA,repDS,State,year,comboACT,U5_coverage,adult_coverage,simday,duration,severe_cases
1,Aba North,Ngor-Okpala,Abia,2010,0.102856652,0.102856652,0.102856652,0,1095,0.49
2,Aba South,Ngor-Okpala,Abia,2010,0.098791446,0.098791446,0.098791446,0,1095,0.49
3,Arochukwu,Ngor-Okpala,Abia,2010,0.188622368,0.188622368,0.188622368,0,1095,0.49
4,Bende,Ngor-Okpala,Abia,2010,0.187301522,0.187301522,0.187301522,0,1095,0.49
5,Ikwuano,Ngor-Okpala,Abia,2010,0.173839903,0.173839903,0.173839903,0,1095,0.49
6,Isiala-Ngwa North,Ngor-Okpala,Abia,2010,0.124122473,0.124122473,0.124122473,0,1095,0.49
7,Isiala-Ngwa South,Ngor-Okpala,Abia,2010,0.169056247,0.169056247,0.169056247,0,1095,0.49
8,Isuikwato,Ngor-Okpala,Abia,2010,0.235997055,0.235997055,0.235997055,0,1095,0.49
9,Obi Nwa,Ngor-Okpala,Abia,2010,0.119626174,0.119626174,0.119626174,0,1095,0.49
10,Ohafia,Ngor-Okpala,Abia,2010,0.211445987,0.211445987,0.211445987,0,1095,0.49
11,Osisioma Ngwa,Ngor-Okpala,Abia,2010,0.091944069,0.091944069,0.091944069,0,1095,0.49
12,Ugwunagbo,Ngor-Okpala,Abia,2010,0.101963885,0.101963885,0.101963885,0,1095,0.49
13,Ukwa East,Nsit Ubium,Abia,2010,0.114940155,0.114940155,0.114940155,0,1095,0.49
14,Ukwa West,Nsit Ubium,Abia,2010,0.087926445,0.087926445,0.087926445,0,1095,0.49
15,Umu-Neochi,Oru West,Abia,2010,0.336333004,0.336333004,0.336333004,0,1095,0.49
16,Umuahia North,Ngor-Okpala,Abia,2010,0.195272601,0.195272601,0.195272601,0,1095,0.49
17,Umuahia South,Ngor-Okpala,Abia,2010,0.187303933,0.187303933,0.187303933,0,1095,0.49
18,Demsa,Alkaleri,Adamawa,2010,0.190893139,0.190893139,0.190893139,0,1095,0.49
19,Gireri,Darazo,Adamawa,2010,0.104241697,0.104241697,0.104241697,0,1095,0.49
20,Gombi,Alkaleri,Adamawa,2010,0.104736621,0.104736621,0.104736621,0,1095,0.49
21,Guyuk,Alkaleri,Adamawa,2010,0.187474907,0.187474907,0.187474907,0,1095,0.49
22,Hong,Darazo,Adamawa,2010,0.132974816,0.132974816,0.132974816,0,1095,0.49
23,Lamurde,Alkaleri,Adamawa,2010,0.123393203,0.123393203,0.123393203,0,1095,0.49
24,Mayo-Belwa,Alkaleri,Adamawa,2010,0.114771361,0.114771361,0.114771361,0,1095,0.49
25,Numan,Alkaleri,Adamawa,2010,0.1484791,0.1484791,0.1484791,0,1095,0.49
26,Shelleng,Darazo,Adamawa,2010,0.158098484,0.158098484,0.158098484,0,1095,0.49
27,Itu,Ngor-Okpala,Akwa lbom,2010,0.205740784,0.205740784,0.205740784,0,1095,0.49
28,Song,Darazo,Adamawa,2010,0.157795533,0.157795533,0.157795533,0,1095,0.49
29,Yola North,Alkaleri,Adamawa,2010,0.070734792,0.070734792,0.070734792,0,1095,0.49
30,Yola South,Alkaleri,Adamawa,2010,0.085885931,0.085885931,0.085885931,0,1095,0.49
31,Abak,Nsit Ubium,Akwa lbom,2010,0.147561059,0.147561059,0.147561059,0,1095,0.49
32,Awka North,Uzo-Uwani,Anambra,2010,0.311135216,0.311135216,0.311135216,0,1095,0.49
33,Eket,Nsit Ubium,Akwa lbom,2010,0.152723424,0.152723424,0.152723424,0,1095,0.49
34,Esit Eket,Nsit Ubium,Akwa lbom,2010,0.175562607,0.175562607,0.175562607,0,1095,0.49
35,Essien Udim,Ngor-Okpala,Akwa lbom,2010,0.122023833,0.122023833,0.122023833,0,1095,0.49
36,Etim Ekpo,Ngor-Okpala,Akwa lbom,2010,0.128119512,0.128119512,0.128119512,0,1095,0.49
37,Etinan,Nsit Ubium,Akwa lbom,2010,0.181834641,0.181834641,0.181834641,0,1095,0.49
38,Ibesikpo Asutan,Nsit Ubium,Akwa lbom,2010,0.115232095,0.115232095,0.115232095,0,1095,0.49
39,Ibiono Ibom,Ngor-Okpala,Akwa lbom,2010,0.15669775,0.15669775,0.15669775,0,1095,0.49
40,Ika,Ngor-Okpala,Akwa lbom,2010,0.121073424,0.121073424,0.121073424,0,1095,0.49
41,Ikono,Ngor-Okpala,Akwa lbom,2010,0.148581047,0.148581047,0.148581047,0,1095,0.49
42,Ikot Abasi,Nsit Ubium,Akwa lbom,2010,0.18403227,0.18403227,0.18403227,0,1095,0.49
43,Ikot Ekpene,Ngor-Okpala,Akwa lbom,2010,0.11415329,0.11415329,0.11415329,0,1095,0.49
44,Ini,Ngor-Okpala,Akwa lbom,2010,0.165558858,0.165558858,0.165558858,0,1095,0.49
45,Mkpat Enin,Nsit Ubium,Akwa lbom,2010,0.192604658,0.192604658,0.192604658,0,1095,0.49
46,Nsit Atai,Nsit Ubium,Akwa lbom,2010,0.176885725,0.176885725,0.176885725,0,1095,0.49
47,Nsit Ibom,Nsit Ubium,Akwa lbom,2010,0.163361784,0.163361784,0.163361784,0,1095,0.49
48,Nsit Ubium,Nsit Ubium,Akwa lbom,2010,0.163953984,0.163953984,0.163953984,0,1095,0.49
49,Awka South,Uzo-Uwani,Anambra,2010,0.253445382,0.253445382,0.253445382,0,1095,0.49
50,Obot Akara,Ngor-Okpala,Akwa lbom,2010,0.143033945,0.143033945,0.143033945,0,1095,0.49
51,Okobo,Nsit Ubium,Akwa lbom,2010,0.194002464,0.194002464,0.194002464,0,1095,0.49
52,Onna,Nsit Ubium,Akwa lbom,2010,0.187288704,0.187288704,0.187288704,0,1095,0.49
53,Oruk Anam,Nsit Ubium,Akwa lbom,2010,0.155306835,0.155306835,0.155306835,0,1095,0.49
54,Ukanafun,Nsit Ubium,Akwa lbom,2010,0.137402785,0.137402785,0.137402785,0,1095,0.49
