LGA,repDS,comboACT,ci_l,ci_u,Number of Participants,comboACT_repDS,ci_l_repDS,ci_u_repDS,Num_repDS,simday,duration,year
Aba North,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Aba South,Ngor-Okpala,0.040385726,0,0,0,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Arochukwu,Ngor-Okpala,0.040385726,0,0,4,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Bende,Ngor-Okpala,0.040385726,0,0,8,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Ikwuano,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Isiala-Ngwa North,Ngor-Okpala,0.040385726,0,0,2,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Isiala-Ngwa South,Ngor-Okpala,0.040385726,0,0,2,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Isuikwato,Ngor-Okpala,0.040385726,0,0,1,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Obi Nwa,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Ohafia,Ngor-Okpala,0.040385726,0,0,3,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Osisioma Ngwa,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Ugwunagbo,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Ukwa East,Nsit Ubium,0.116736022,0,0,2,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Ukwa West,Nsit Ubium,0.116736022,NA,NA,NA,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Umu-Neochi,Oru West,0.049344359,NA,NA,NA,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Umuahia North,Ngor-Okpala,0.040385726,0,0,5,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Umuahia South,Ngor-Okpala,0.040385726,0,0,4,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Demsa,Alkaleri,0.053619382,0,0,3,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Gireri,Darazo,0.013271123,0,0,11,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Gombi,Alkaleri,0.090909091,0.090909091,0.090909091,5,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Guyuk,Alkaleri,0.053619382,0,0,6,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Hong,Darazo,0.013271123,0,0,6,0.013271123,0.000948997,0.025593248,264,1095,730,2013
