,X,LGA,repDS,comboACT,ci_l,ci_u,Number of Participants,comboACT_repDS,ci_l_repDS,ci_u_repDS,Num_repDS,simday,duration,year 
1,1,Aba North,Ngor-Okpala,0.283373403,NA,NA,NA,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
2,2,Aba South,Ngor-Okpala,0.283373403,0,0,2,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
3,3,Arochukwu,Ngor-Okpala,0.283373403,0,0,3,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
4,4,Bende,Ngor-Okpala,0.175925804,-0.147235728,0.499087337,2,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
5,5,Ikwuano,Ngor-Okpala,0.283373403,1,1,1,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
6,6,Isiala-Ngwa North,Ngor-Okpala,0.283373403,0,0,2,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
7,7,Isiala-Ngwa South,Ngor-Okpala,0.533062111,-0.172365732,1.238489954,2,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
8,8,Isuikwato,Ngor-Okpala,0.283373403,0,0,1,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
9,9,Obi Nwa,Ngor-Okpala,0.283373403,0,0,1,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
10,10,Ohafia,Ngor-Okpala,0.283373403,0,0,5,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
11,11,Osisioma Ngwa,Ngor-Okpala,0.283373403,0,0,1,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
12,12,Ugwunagbo,Ngor-Okpala,0.283373403,0,0,1,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
13,13,Ukwa East,Nsit Ubium,0.297727761,0,0,0,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
14,14,Ukwa West,Nsit Ubium,0.297727761,NA,NA,NA,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
15,15,Umu-Neochi,Oru West,0.64092895,0.382571369,0.89928653,10,0.411077428,0.336623251,0.485531605,252,2920,-1,2018
16,16,Umuahia North,Ngor-Okpala,0.5,0.5,0.5,1,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
17,17,Umuahia South,Ngor-Okpala,0.283373403,0,0,5,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
18,18,Demsa,Alkaleri,0.701986849,0.361409319,1.042564379,2,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
19,19,Gireri,Darazo,0.080992121,-0.107137875,0.269122116,6,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
20,20,Gombi,Alkaleri,0.208835269,0.094807962,0.322862575,17,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
