,LGA,repDS,hh_itn,ci_l,ci_u,Number.of.Participants,X2010,kill_rate,simday
1,Aba North,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.664347768,0.64658918,152
2,Aba South,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.679282288,0.654802144,152
3,Arochukwu,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.74271852,0.686550252,152
4,Bende,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.726171783,0.678754065,152
5,Ikwuano,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.740677948,0.685607046,152
6,Isiala-Ngwa North,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.701948872,0.666726593,152
7,Isiala-Ngwa South,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.707413192,0.669504113,152
8,Isuikwato,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.67890702,0.654599242,152
9,Obi Nwa,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.664726957,0.646801213,152
10,Ohafia,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.722587577,0.67702065,152
11,Osisioma Ngwa,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.698571212,0.664990895,152
12,Ugwunagbo,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.669926882,0.649690458,152
13,Ukwa East,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.632018053,0.627841748,152
14,Ukwa West,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.643135702,0.634437603,152
15,Umu-Neochi,Oru West,0.293760221,0.189931646,0.397588797,795,0.710486252,0.671049644,152
16,Umuahia North,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.708964714,0.670285902,152
17,Umuahia South,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.741074884,0.68579092,152
18,Demsa,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.682426293,0.65649504,152
19,Gireri,Darazo,0.391079407,0.281666828,0.500491987,1994,0.82233503,0.71948946,152
20,Gombi,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.76594056,0.696927436,152
21,Guyuk,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.778302555,0.70218796,152
22,Hong,Darazo,0.391079407,0.281666828,0.500491987,1994,0.767867325,0.697759281,152
23,Lamurde,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.67809547,0.654159837,152
24,Mayo-Belwa,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.778428003,0.702240418,152
25,Numan,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.660911548,0.644659411,152
26,Shelleng,Darazo,0.391079407,0.281666828,0.500491987,1994,0.789099036,0.706635345,152
27,Itu,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.755045361,0.692139954,152
28,Song,Darazo,0.391079407,0.281666828,0.500491987,1994,0.753191828,0.691311251,152
29,Yola North,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.790520086,0.707210629,152
30,Yola South,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.808341873,0.714229115,152
31,Abak,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.722364563,0.676912266,152
32,Awka North,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.680859867,0.655653163,152
33,Eket,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.501924954,0.539769474,152
34,Esit Eket,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.56467996,0.584645618,152
35,Essien Udim,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.69176266,0.661448321,152
36,Etim Ekpo,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.652101433,0.639643251,152
37,Etinan,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.650310238,0.63861138,152
38,Ibesikpo Asutan,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.738593362,0.684638218,152
39,Ibiono Ibom,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.732690811,0.681865941,152
40,Ika,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.606536806,0.612142316,152
41,Ikono,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.704140083,0.667844906,152
42,Ikot Abasi,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.461703936,0.509046886,152
43,Ikot Ekpene,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.688593358,0.65977928,152
44,Ini,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.72084199,0.676170645,152
45,Mkpat Enin,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.539387087,0.567054706,152
46,Nsit Atai,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.657397389,0.642670375,152
47,Nsit Ibom,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.749828418,0.689796857,152
48,Nsit Ubium,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.601950877,0.609231886,152
49,Awka South,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.705964916,0.668771615,152
50,Obot Akara,Ngor-Okpala,0.087886779,0.027946684,0.147826873,1379,0.69367019,0.662446746,152
51,Okobo,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.598109468,0.606774275,152
52,Onna,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.453449653,0.502585257,152
53,Oruk Anam,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.677306988,0.65373212,152
54,Ukanafun,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.678976411,0.654636774,152
55,Uruan,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.713169864,0.672389608,152
56,Urue-Offong/Oruko,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.517587777,0.551346698,152
57,Ayamelum,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.714672874,0.673136135,152
58,Uyo,Nsit Ubium,0.316267943,0.244568536,0.38796735,1043,0.728601426,0.679920021,152
59,Aguata,Oru West,0.293760221,0.189931646,0.397588797,795,0.746131849,0.688116587,152
60,Anambra East,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.65902133,0.643591483,152
61,Anambra West,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.719216869,0.675375884,152
62,Anaocha,Oru West,0.293760221,0.189931646,0.397588797,795,0.731896698,0.681489685,152
63,Dunukofia,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.643150131,0.634446063,152
64,Ekwusigo,Oru West,0.293760221,0.189931646,0.397588797,795,0.636150336,0.630311487,152
65,Idemili North,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.666806783,0.647960952,152
66,Idemili South,Oru West,0.293760221,0.189931646,0.397588797,795,0.687149391,0.659014627,152
67,Ihiala,Oru West,0.293760221,0.189931646,0.397588797,795,0.548692497,0.573608228,152
68,Njikoka,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.693312868,0.662260069,152
69,Nnewi North,Oru West,0.293760221,0.189931646,0.397588797,795,0.681588098,0.656044939,152
70,Nnewi South,Oru West,0.293760221,0.189931646,0.397588797,795,0.732361108,0.68170982,152
71,Ogbaru,Ahoada West,0.231555069,0.118336231,0.344773907,778,0.517149509,0.551025965,152
72,Onitsha North,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.69391802,0.662576125,152
73,Onitsha South,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.715601623,0.673596019,152
74,Orumba North,Oru West,0.293760221,0.189931646,0.397588797,795,0.716458678,0.674019444,152
75,Orumba South,Oru West,0.293760221,0.189931646,0.397588797,795,0.735449433,0.683166942,152
76,Oyi,Uzo-Uwani,0.087547525,0.029334125,0.145760926,2035,0.67143453,0.650521734,152
77,Alkaleri,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.733279911,0.682144558,152
78,Bauchi,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.786945614,0.705759121,152
79,Bogoro,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.77269469,0.699824014,152
80,Damban,Darazo,0.391079407,0.281666828,0.500491987,1994,0.853169907,0.730331337,152
81,Darazo,Darazo,0.391079407,0.281666828,0.500491987,1994,0.8461604,0.727955184,152
82,Dass,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.648230302,0.637408076,152
83,Gamawa,Gwarzo,0.335972498,0.205244859,0.466700138,1793,0.849288788,0.729021996,152
84,Jama'are,Taura,0.505273595,0.405472957,0.605074232,1417,0.840747401,0.726085032,152
85,Ganjuwa,Darazo,0.391079407,0.281666828,0.500491987,1994,0.79352804,0.708420655,152
86,Giade,Darazo,0.391079407,0.281666828,0.500491987,1994,0.809072021,0.714508985,152
87,Itas/Gadau,Taura,0.505273595,0.405472957,0.605074232,1417,0.825442948,0.720628487,152
88,Katagum,Gwarzo,0.335972498,0.205244859,0.466700138,1793,0.833545406,0.723548628,152
89,Kirfi,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.816421233,0.717292816,152
90,Misau,Darazo,0.391079407,0.281666828,0.500491987,1994,0.854425745,0.73075167,152
91,Ningi,Takali,0.362970189,0.187005512,0.538934865,1208,0.757628049,0.693287731,152
92,Ukum,Keana,0.071524932,0.039302292,0.103747573,1810,0.677976942,0.654095591,152
93,Shira,Takali,0.362970189,0.187005512,0.538934865,1208,0.823151474,0.719789703,152
94,Tafawa-Balewa,Alkaleri,0.385507228,0.23646506,0.534549397,1275,0.730441018,0.680797947,152
95,Toro,Giwa,0.128304457,-0.046796722,0.303405637,1132,0.726317522,0.67882421,152
96,Warji,Takali,0.362970189,0.187005512,0.538934865,1208,0.770585038,0.698925089,152
