,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use
1,Aba North,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
2,Aba South,Ngor-Okpala,0.041666667,0.10469624,0.070636395,0.08256596
3,Arochukwu,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
4,Bende,Ngor-Okpala,0.157894737,0.142857143,0.070636395,0.071428571
5,Ikwuano,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
6,Isiala-Ngwa North,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.03125
7,Isiala-Ngwa South,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
8,Isuikwato,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
9,Obi Nwa,Ngor-Okpala,0.166666667,0.10469624,0.070636395,0.112903226
10,Ohafia,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
11,Osisioma Ngwa,Ngor-Okpala,0.045454545,0.10469624,0.070636395,0.05
12,Ugwunagbo,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
13,Ukwa East,Nsit Ubium,0.359615859,0.270466267,0.25654695,0.332230027
14,Ukwa West,Nsit Ubium,0.359615859,0.270466267,0.25654695,0.332230027
15,Umu-Neochi,Oru West,0.343098592,0.295986276,0.219999637,0.304709624
16,Umuahia North,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
17,Umuahia South,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
18,Demsa,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
19,Gireri,Darazo,0.46787632,0.313975754,0.226588337,0.47097189
20,Gombi,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
21,Guyuk,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
22,Hong,Darazo,0.46787632,0.313975754,0.226588337,0.47097189
23,Lamurde,Alkaleri,0.777777778,0.769230769,0.684210526,0.766666667
24,Mayo-Belwa,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
25,Numan,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
26,Shelleng,Darazo,0.46787632,0.313975754,0.226588337,0.47097189
27,Itu,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
28,Song,Darazo,0.6,0.633333333,0.333333333,0.574074074
29,Yola North,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
30,Yola South,Alkaleri,0.318181818,0.217391304,0.1,0.346153846
31,Abak,Nsit Ubium,0.258064516,0.125,0.25654695,0.236111111
32,Awka North,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
33,Eket,Nsit Ubium,0.359615859,0.270466267,0.25654695,0.332230027
34,Esit Eket,Nsit Ubium,0.359615859,0.270466267,0.25654695,0.332230027
35,Essien Udim,Ngor-Okpala,0.588235294,0.571428571,0.272727273,0.418181818
36,Etim Ekpo,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
37,Etinan,Nsit Ubium,0.359615859,0.270466267,0.25654695,0.332230027
38,Ibesikpo Asutan,Nsit Ubium,0.545454545,0.416666667,0.142857143,0.368421053
39,Ibiono Ibom,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
40,Ika,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
41,Ikono,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
42,Ikot Abasi,Nsit Ubium,0.294117647,0.238095238,0.268292683,0.413793103
43,Ikot Ekpene,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
44,Ini,Ngor-Okpala,0.111873819,0.10469624,0.070636395,0.08256596
45,Mkpat Enin,Nsit Ubium,0.359615859,0.270466267,0.25654695,0.332230027
46,Nsit Atai,Nsit Ubium,0.359615859,0.270466267,0.25654695,0.332230027
47,Nsit Ibom,Nsit Ubium,0.359615859,0.270466267,0.25654695,0.332230027
48,Nsit Ubium,Nsit Ubium,0.359615859,0.270466267,0.25654695,0.332230027
49,Awka South,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
50,Obot Akara,Ngor-Okpala,0.323529412,0.545454545,0.4,0.410714286
51,Okobo,Nsit Ubium,0.359615859,0.270466267,0.25654695,0.332230027
52,Onna,Nsit Ubium,0.359615859,0.270466267,0.25654695,0.332230027
53,Oruk Anam,Nsit Ubium,0.4375,0.235294118,0.357142857,0.5
54,Ukanafun,Nsit Ubium,0.359615859,0.270466267,0.25654695,0.332230027
55,Uruan,Nsit Ubium,0.359615859,0.270466267,0.25654695,0.332230027
56,Urue-Offong/Oruko,Nsit Ubium,0.359615859,0.270466267,0.25654695,0.332230027
57,Ayamelum,Uzo-Uwani,0.793103448,0.733333333,0.7,0.6375
58,Uyo,Nsit Ubium,0.359615859,0.111111111,0.25654695,0.036363636
59,Aguata,Oru West,0.343098592,0.295986276,0.219999637,0.304709624
60,Anambra East,Uzo-Uwani,0.132714912,0.074567206,0.067921762,0.080523576
