,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use
1,Aba North,Ngor-Okpala,0.230769231,0.294117647,0.2,0.205128205
2,Aba South,Ngor-Okpala,0.220513671,0.182138112,0.052654228,0.107924917
3,Arochukwu,Ngor-Okpala,0.230769231,0.267245815,0.245034815,0.170444141
4,Bende,Ngor-Okpala,0.265013079,0.220612557,0.155350739,0.259426298
5,Ikwuano,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
6,Isiala-Ngwa North,Ngor-Okpala,0.078519105,0.015349098,0.031909458,0.053881174
7,Isiala-Ngwa South,Ngor-Okpala,0.235269258,0.265801954,0.219864653,0.220867863
8,Isuikwato,Ngor-Okpala,0.307692308,0.4,0.411764706,0.261363636
9,Obi Nwa,Ngor-Okpala,0.153846154,0.166666667,0.041666667,0.063829787
10,Ohafia,Ngor-Okpala,0.28951923,0.464209843,0.218758596,0.281309139
11,Osisioma Ngwa,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
12,Ugwunagbo,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
13,Ukwa East,Nsit Ubium,0.3,0.304347826,0.2,0.195652174
14,Ukwa West,Nsit Ubium,0.188744623,0.151054467,0.11087847,0.152047526
15,Umu-Neochi,Oru West,0.230641915,0.164100907,0.116855278,0.210331671
16,Umuahia North,Ngor-Okpala,0.181818182,0.272727273,0.068965517,0.130434783
17,Umuahia South,Ngor-Okpala,0.139534894,0.142857191,0.05263159,0.079777333
18,Demsa,Alkaleri,0.066666667,0.037037037,0.037735849,0.050505051
19,Gireri,Darazo,0.086667131,0.040613399,0.055284054,0.069084013
20,Gombi,Alkaleri,0.043478261,0.072751232,0.053568923,0.043478261
21,Guyuk,Alkaleri,0.169959092,0.088263646,0.123127899,0.141267391
22,Hong,Darazo,0.026577194,0.025693914,0.068696764,0.029674851
23,Lamurde,Alkaleri,0.37037037,0.347826087,0.307692308,0.3
24,Mayo-Belwa,Alkaleri,0.118463907,0.072751232,0.053568923,0.110290165
