,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use
1,Aba North,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
2,Aba South,Ngor-Okpala,0.121909614,0.134387514,0.024011331,0.090549679
3,Arochukwu,Ngor-Okpala,0.111111111,0.25,0.294117647,0.230769231
4,Bende,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
5,Ikwuano,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
6,Isiala-Ngwa North,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
7,Isiala-Ngwa South,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.063492063
8,Isuikwato,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
9,Obi Nwa,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
10,Ohafia,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
11,Osisioma Ngwa,Ngor-Okpala,0.037037037,0.153175235,0.07993431,0.057692308
12,Ugwunagbo,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
13,Ukwa East,Nsit Ubium,0.417515765,0.284899949,0.332743974,0.387919302
14,Ukwa West,Nsit Ubium,0.417515765,0.284899949,0.332743974,0.387919302
15,Umu-Neochi,Oru West,0.23050672,0.101406077,0.063511795,0.057971014
16,Umuahia North,Ngor-Okpala,0.294117647,0.153175235,0.07993431,0.096774194
17,Umuahia South,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
18,Demsa,Alkaleri,0.121212121,0.095238095,0.047619048,0.130434783
19,Gireri,Darazo,0.544744096,0.473466707,0.407730102,0.513049437
20,Gombi,Alkaleri,0.459826463,0.372836371,0.342199264,0.40870638
21,Guyuk,Alkaleri,0.044117647,0.372836371,0.027027027,0.014705882
22,Hong,Darazo,0.48,0.5,0.461538462,0.565217391
23,Lamurde,Alkaleri,0.459826463,0.372836371,0.342199264,0.40870638
24,Mayo-Belwa,Alkaleri,0.459826463,0.372836371,0.342199264,0.40870638
25,Numan,Alkaleri,0.538461538,0.5,0.461538462,0.470588235
26,Shelleng,Darazo,0.344827586,0.090909091,0.192307692,0.25862069
27,Itu,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
28,Song,Darazo,0.544744096,0.473466707,0.407730102,0.513049437
29,Yola North,Alkaleri,0.39051004,0.475701683,0.413878383,0.490213802
30,Yola South,Alkaleri,0.459826463,0.372836371,0.342199264,0.40870638
31,Abak,Nsit Ubium,0.417515765,0.284899949,0.332743974,0.387919302
32,Awka North,Uzo-Uwani,0.555555556,0.5,0.5,0.413793103
33,Eket,Nsit Ubium,0.263157895,0.272727273,0.086956522,0.352941176
34,Esit Eket,Nsit Ubium,0.375,0.181818182,0.428571429,0.377358491
35,Essien Udim,Ngor-Okpala,0.5,0.5,0.357142857,0.581395349
36,Etim Ekpo,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
37,Etinan,Nsit Ubium,0.417515765,0.284899949,0.332743974,0.387919302
38,Ibesikpo Asutan,Nsit Ubium,0.417515765,0.284899949,0.332743974,0.387919302
39,Ibiono Ibom,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
40,Ika,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
41,Ikono,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
42,Ikot Abasi,Nsit Ubium,0.417515765,0.284899949,0.332743974,0.387919302
43,Ikot Ekpene,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
44,Ini,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
45,Mkpat Enin,Nsit Ubium,0.417515765,0.284899949,0.332743974,0.387919302
46,Nsit Atai,Nsit Ubium,0.417515765,0.284899949,0.332743974,0.387919302
47,Nsit Ibom,Nsit Ubium,0.1,0.133333333,0.090909091,0.070175439
48,Nsit Ubium,Nsit Ubium,0.35,0.284899949,0.222222222,0.314814815
49,Awka South,Uzo-Uwani,0.276727497,0.333333333,0.274070736,0.316835944
50,Obot Akara,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
51,Okobo,Nsit Ubium,0.417515765,0.284899949,0.332743974,0.387919302
52,Onna,Nsit Ubium,0.333333333,0.75,0.47826087,0.714285714
53,Oruk Anam,Nsit Ubium,0.417515765,0.284899949,0.332743974,0.387919302
54,Ukanafun,Nsit Ubium,0.417515765,0.284899949,0.332743974,0.387919302
55,Uruan,Nsit Ubium,0.417515765,0.284899949,0.332743974,0.387919302
56,Urue-Offong/Oruko,Nsit Ubium,0.417515765,0.284899949,0.332743974,0.387919302
57,Ayamelum,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
58,Uyo,Nsit Ubium,0.4,0.25,0.083333333,0.197802198
59,Aguata,Oru West,0.28125,0.071428571,0.063511795,0.191176471
60,Anambra East,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
61,Anambra West,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
62,Anaocha,Oru West,0.23050672,0.101406077,0.063511795,0.233333333
63,Dunukofia,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
64,Ekwusigo,Oru West,0.23050672,0.101406077,0.063511795,0.134699838
65,Idemili North,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
66,Idemili South,Oru West,0.388888889,0.1,0.063511795,0.125
67,Ihiala,Oru West,0.23050672,0.101406077,0.333333333,0.173913043
68,Njikoka,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
69,Nnewi North,Oru West,0.23050672,0.101406077,0.063511795,0.134699838
70,Nnewi South,Oru West,0.23050672,0.101406077,0.063511795,0.134699838
71,Ogbaru,Ahoada West,0.269348044,0.286616517,0.172620424,0.251351279
72,Onitsha North,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
73,Onitsha South,Uzo-Uwani,0.142857143,0.230769231,0.391304348,0.276595745
74,Orumba North,Oru West,0.23050672,0.101406077,0.063511795,0.134699838
75,Orumba South,Oru West,0.23050672,0.101406077,0.063511795,0.134699838
76,Oyi,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
77,Alkaleri,Alkaleri,0.459826463,0.372836371,0.342199264,0.40870638
78,Bauchi,Alkaleri,0.670660335,0.640074216,0.520475415,0.625065091
79,Bogoro,Alkaleri,0.459826463,0.372836371,0.342199264,0.40870638
80,Damban,Darazo,0.544744096,0.473466707,0.407730102,0.513049437
81,Darazo,Darazo,0.544744096,0.473466707,0.407730102,0.513049437
82,Dass,Alkaleri,0.459826463,0.372836371,0.342199264,0.40870638
83,Gamawa,Gwarzo,0.726027397,0.526315789,0.459016393,0.740384615
84,Jama'are,Taura,0.75,0.529411765,0.791666667,0.75
85,Ganjuwa,Darazo,0.576271186,0.604651163,0.360655738,0.619565217
86,Giade,Darazo,0.544744096,0.473466707,0.407730102,0.513049437
87,Itas/Gadau,Taura,0.662736395,0.562919518,0.547008309,0.677597534
88,Katagum,Gwarzo,0.768688329,0.578433589,0.500204141,0.5987864
89,Kirfi,Alkaleri,0.459826463,0.372836371,0.342199264,0.40870638
90,Misau,Darazo,0.544744096,0.473466707,0.407730102,0.513049437
91,Ningi,Takali,0.478910289,0.359165368,0.355340039,0.45642551
92,Ukum,Keana,0.309313514,0.21918585,0.191727738,0.236355355
93,Shira,Takali,0.384615385,0.25,0.341463415,0.403508772
94,Tafawa-Balewa,Alkaleri,0.459826463,0.372836371,0.342199264,0.40870638
95,Toro,Giwa,0.607843137,0.5,0.464285714,0.707692308
96,Warji,Takali,0.478910289,0.359165368,0.355340039,0.45642551
97,Zaki,Taura,0.80952381,0.4,0.617647059,0.837209302
98,Kolokuma/Opokuma,Ahoada West,0.029411765,0.286616517,0.172620424,0.055555556
99,Nembe,Ahoada West,0.419354839,0.4,0.32,0.285714286
100,Ogbia,Ahoada West,0.097560976,0.153846154,0.107142857,0.127659574
101,Sagbama,Ahoada West,0.103448276,0.333333333,0.071428571,0.212765957
102,Yenegoa,Isoko South,0.279761103,0.330397646,0.262099594,0.214052361
103,Ado,Akinyele,0.294732553,0.277212618,0.254980016,0.270770265
104,Agatu,Keana,0.309313514,0.21918585,0.191727738,0.236355355
105,Apa,Keana,0.309313514,0.21918585,0.191727738,0.236355355
106,Buruku,Keana,0.309313514,0.21918585,0.191727738,0.236355355
107,Gboko,Keana,0.538461538,0.5,0.333333333,0.361702128
108,Guma,Keana,0.309313514,0.21918585,0.191727738,0.236355355
109,Gwer East,Oke-Ero,0.466358487,0.289228156,0.125957437,0.296192604
110,Gwer West,Keana,0.309313514,0.21918585,0.191727738,0.236355355
111,Katsina-Ala,Keana,0.309313514,0.21918585,0.191727738,0.236355355
112,Konshisha,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
113,Logo,Keana,0.309313514,0.21918585,0.191727738,0.236355355
114,Makurdi,Keana,0.692307692,0.181818182,0.304347826,0.37254902
115,Obi1,Keana,0.357142857,0.333333333,0.191727738,0.159090909
116,Ogbadibo,Owan East,0.235294118,0.266666667,0.0625,0.125
117,Ohimini,Akinyele,0.294732553,0.277212618,0.254980016,0.270770265
118,Oju,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
119,Okpokwu,Akinyele,0.391304348,0.315789474,0.269230769,0.203389831
120,Oturkpo,Owan East,0.333919199,0.25506528,0.170712441,0.225308772
121,Tarka,Keana,0.309313514,0.21918585,0.191727738,0.236355355
122,Ushongo,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
123,Vandeikya,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
124,Askira/Uba,Darazo,0.544744096,0.473466707,0.407730102,0.513049437
125,Enugu East,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
126,Bayo,Alkaleri,0.459826463,0.372836371,0.342199264,0.40870638
127,Biu,Darazo,0.544744096,0.473466707,0.407730102,0.513049437
128,Chibok,Darazo,0.544744096,0.473466707,0.407730102,0.513049437
129,Damboa,Darazo,0.544744096,0.473466707,0.407730102,0.513049437
130,Biase,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
131,Dikwa,Darazo,0.544744096,0.473466707,0.407730102,0.513049437
132,Gubio,Gawabawa,0.67817511,0.564724153,0.549955194,0.513189135
133,Jere,Gawabawa,0.606060606,0.545454545,0.457142857,0.526315789
134,Guzamala,Babura,0.724492218,0.689711847,0.730814444,0.700536218
135,Hawul,Darazo,0.544744096,0.473466707,0.407730102,0.513049437
136,Kwaya Kusar,Alkaleri,0.459826463,0.372836371,0.342199264,0.40870638
137,Enugu North,Uzo-Uwani,0.15,0.076923077,0.179736564,0.06
138,Kaga,Darazo,0.544744096,0.473466707,0.407730102,0.513049437
139,Mafa,Darazo,0.544744096,0.473466707,0.407730102,0.513049437
140,Obudu,Obubra,0.580069762,0.615237824,0.60750627,0.6128093
141,Konduga,Darazo,0.544744096,0.473466707,0.407730102,0.513049437
142,Bomadi,Isoko South,0.160763356,0.13719583,0.143320951,0.133082336
143,Magumeri,Gawabawa,0.67817511,0.564724153,0.549955194,0.513189135
144,Maiduguri,Darazo,0.593059937,0.63141994,0.594847775,0.565420561
145,Shani,Alkaleri,0.459826463,0.372836371,0.342199264,0.40870638
146,Abi,Obubra,0.447368421,0.25,0.4,0.52
147,Marte,Babura,0.724492218,0.689711847,0.730814444,0.700536218
148,Nganzai,Gawabawa,0.67817511,0.564724153,0.549955194,0.513189135
149,Bekwara,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
150,Calabar-Municipal,Nsit Ubium,0.055555556,0.2,0.076923077,0.139534884
151,Ikom,Obubra,0.64516129,0.652173913,0.538461538,0.560747664
152,Obubra,Obubra,0.5,0.583333333,0.8,0.637931034
153,Enugu South,Uzo-Uwani,0.153846154,0.176470588,0.3125,0.06557377
154,Odukpani,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
155,Ogoja,Obubra,0.580069762,0.615237824,0.60750627,0.6128093
156,Yakurr,Obubra,0.5,0.7,0.529411765,0.638297872
157,Ogbomosho North,Akinyele,0.294732553,0.277212618,0.254980016,0.270770265
158,Yala,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
159,Aniocha North,Uzo-Uwani,0.090909091,0.151286014,0.179736564,0.103448276
160,Aniocha South,Uzo-Uwani,0.384615385,0.2,0.4,0.195121951
161,Ibadan South West,Owan East,0.333919199,0.25506528,0.170712441,0.225308772
162,Ethiope East,Isoko South,0.160763356,0.13719583,0.143320951,0.133082336
163,Ethiope West,Isoko South,0.083333333,0.13719583,0.352941176,0.159090909
164,Ika North East,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
165,Ika South,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
166,Isoko North,Isoko South,0.16,0.3,0.375,0.204545455
167,Ogbomosho South,Akinyele,0.294732553,0.277212618,0.254980016,0.270770265
168,Isoko South,Isoko South,0.160763356,0.13719583,0.143320951,0.133082336
169,Ndokwa East,Ahoada West,0.269348044,0.286616517,0.172620424,0.251351279
170,Ndokwa West,Isoko South,0.160763356,0.13719583,0.143320951,0.133082336
171,Okpe,Isoko South,0.160763356,0.13719583,0.143320951,0.133082336
172,Oshimili North,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
173,Oshimili South,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
174,Patani,Isoko South,0.160763356,0.13719583,0.143320951,0.133082336
175,Sapele,Isoko South,0.160763356,0.13719583,0.143320951,0.133082336
176,Udu,Isoko South,0.103448276,0.142857143,0.143320951,0.132075472
177,Ughelli North,Isoko South,0.160763356,0.13719583,0.143320951,0.133082336
178,Ughelli South,Isoko South,0.160763356,0.13719583,0.143320951,0.133082336
179,Ukwuani,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
180,Uvwie,Isoko South,0.428571429,0.166666667,0.105263158,0.232142857
181,Warri South,Isoko South,0.160763356,0.13719583,0.143320951,0.133082336
182,Ohaozara,Obubra,0.8,0.875,0.84375,0.726190476
183,Abakaliki,Owan East,0.15625,0.111111111,0.333333333,0.155172414
184,Afikpo North,Oru West,0.23050672,0.101406077,0.063511795,0.134699838
185,Afikpo South,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
186,Ebonyi,Owan East,0.434782609,0.285714286,0.105263158,0.108695652
187,Ezza North,Owan East,0.333919199,0.25506528,0.170712441,0.225308772
188,Ezza South,Obubra,0.580069762,0.615237824,0.60750627,0.6128093
189,Ikwo,Obubra,0.775,0.724137931,0.773584906,0.839285714
190,Ishielu,Owan East,0.333919199,0.25506528,0.170712441,0.225308772
191,Ivo,Ngor-Okpala,0.307692308,0.222222222,0.428571429,0.4
192,Izzi,Owan East,0.507042254,0.342857143,0.298507463,0.391752577
193,Ohaukwu,Owan East,0.815789474,0.916666667,0.666666667,0.840909091
194,Onicha,Obubra,0.580069762,0.615237824,0.60750627,0.6128093
195,Akoko-Edo,Owan East,0.333919199,0.25506528,0.170712441,0.225308772
196,Egor,Uzo-Uwani,0.3,0.5,0.2,0.196078431
197,Esan North East,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
198,Esan Central,Owan East,0.388888889,0.111111111,0.172413793,0.211538462
199,Esan South East,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
200,Esan West,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
201,Etsako Central,Owan East,0.333919199,0.25506528,0.170712441,0.225308772
202,Etsako East,Owan East,0.333919199,0.25506528,0.170712441,0.225308772
203,Etsako West,Owan East,0.045454545,0.25506528,0.170712441,0.043478261
204,Igueben,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
205,Ikpoba-Okha,Uzo-Uwani,0.166666667,0.151286014,0.024811967,0.084664907
206,Aninri,Oru West,0.23050672,0.101406077,0.063511795,0.134699838
207,Oredo,Uzo-Uwani,0.222222222,0.151286014,0.166666667,0.065217391
208,Orhionmwon,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
209,Ovia North East,Owan East,0.333919199,0.25506528,0.170712441,0.225308772
210,Ovia South West,Akinyele,0.294732553,0.277212618,0.254980016,0.270770265
211,Owan East,Owan East,0.090909091,0.058823529,0.170712441,0.02173913
212,Owan West,Owan East,0.285714286,0.083333333,0.170712441,0.083333333
213,Uhunmwonde,Owan East,0.333919199,0.133333333,0.034482759,0.225308772
214,Ado Ekiti,Owan East,0.571428571,0.2,0.333333333,0.365853659
215,Efon-Alayee,Oke-Ero,0.25800779,0.338107951,0.361780165,0.288055968
216,Ekiti East,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
217,Ekiti South West,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
218,Awgu,Oru West,0.23050672,0.101406077,0.063511795,0.134699838
219,Ekiti West,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
220,Emure,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
221,Gboyin,Obubra,0.473684211,0.428571429,0.166666667,0.384615385
222,Idosi-Osi,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
223,Ijero,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
224,Ikere,Owan East,0.333333333,0.333333333,0.076923077,0.324324324
225,Ikole,Oke-Ero,0.14220448,0.151947364,0.275460737,0.21321114
226,Ilemeji,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
227,Irepodun/Ifelodun,Oke-Ero,0.4375,0.25,0.176470588,0.270833333
228,Ise/Orun,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
229,Moba,Oke-Ero,0.279325674,0.264216703,0.24344888,0.297089767
230,Oye,Oke-Ero,0.279325674,0.285714286,0.181818182,0.075
231,Ezeagu,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
232,Igbo-Etiti,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
233,Igbo-Eze North,Uzo-Uwani,0.099744948,0.129186407,0.266614658,0.126262502
234,Igbo-Eze South,Uzo-Uwani,0.13524175,0.091280632,0.179736564,0.068223194
235,Isi-Uzo,Owan East,0.333919199,0.25506528,0.170712441,0.225308772
236,Nkanu East,Owan East,0.333919199,0.25506528,0.170712441,0.225308772
237,Nkanu West,Uzo-Uwani,0.375,0.151286014,0.179736564,0.071428571
238,Nsukka,Uzo-Uwani,0.375,0.12,0.09375,0.242718447
239,Oji-River,Oru West,0.23050672,0.101406077,0.063511795,0.134699838
240,Udenu,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
241,Udi,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
242,Uzo-Uwani,Uzo-Uwani,0.194998396,0.151286014,0.179736564,0.163855044
243,Ahiazu-Mbaise,Ngor-Okpala,0.138695166,0.153175235,0.07993431,0.122910817
244,Abaji,Keana,0.181818182,0.21918585,0.191727738,0.236355355
245,Bwari,Giwa,0.668094454,0.548522993,0.476187241,0.566872238
246,Gwagwalada,Keana,0.309313514,0.21918585,0.191727738,0.236355355
247,Kuje,Keana,0.309313514,0.21918585,0.191727738,0.236355355
248,Kwali,Keana,0.226437979,0.384915042,0.376625301,0.35595211
249,Bunkure,Gwarzo,0.768688329,0.578433589,0.500204141,0.5987864
250,Abuja Municipal,Keana,0.118637701,0.21918585,0.036632567,0.055107359
251,Akko,Alkaleri,0.459826463,0.372836371,0.342199264,0.40870638
252,Balanga,Alkaleri,0.55,0.565217391,0.65,0.456140351
253,Billiri,Alkaleri,0.380952381,0.222222222,0.416666667,0.295081967
254,Dukku,Darazo,0.263157895,0.230769231,0.272727273,0.328125
255,Funakaye,Alkaleri,0.325731368,0.306678372,0.305207947,0.191931721
256,Gombe,Alkaleri,0.272727273,0.227272727,0.134615385,0.215053763
257,Kaltungo,Alkaleri,0.459826463,0.372836371,0.342199264,0.40870638
258,Kwami,Alkaleri,0.378378378,0.222222222,0.228571429,0.323076923
259,Dala,Alkaleri,0.459826463,0.372836371,0.342199264,0.40870638
260,Nafada,Alkaleri,0.5,0.35,0.333333333,0.442307692
