LGA,pop,anc_total,preg_llin,coverage,block_initial,kill_rate,simday,duration,year,type
Aba North,147980.78,6209,65,0.010469,0.53,0.393201897,2920,-1,2018,antenatal
Aba South,583525.12,19333,62,0.003207,0.53,0.38693958,2920,-1,2018,antenatal
Abadam,149633.04,0,0,0,0.53,0.643492642,2920,-1,2018,antenatal
Abaji,169895.5,10152,38,0.003743,0.53,0.520406247,2920,-1,2018,antenatal
Abak,207750.64,7440,1541,0.207124,0.53,0.425644469,2920,-1,2018,antenatal
Abakaliki,211333.72,32825,4466,0.136055,0.53,0.473491294,2920,-1,2018,antenatal
Abeokuta North,297242.01,20448,1464,0.071596,0.53,0.483229857,2920,-1,2018,antenatal
Abeokuta South,369510.29,50876,4173,0.082023,0.53,0.494533241,2920,-1,2018,antenatal
Abi,204060.55,8731,2665,0.305234,0.53,0.46000802,2920,-1,2018,antenatal
Aboh-Mbaise,285522.71,8026,954,0.118864,0.53,0.432717137,2920,-1,2018,antenatal
Abua-Odual,422682.71,3613,2041,0.564905,0.53,0.341818833,2920,-1,2018,antenatal
Abuja Municipal,660512.21,146706,2776,0.018922,0.53,0.538963989,2920,-1,2018,antenatal
Adavi,288280.3,10835,1488,0.137333,0.53,0.384675567,2920,-1,2018,antenatal
Ado,255042.96,5086,1413,0.277821,0.53,0.425122422,2920,-1,2018,antenatal
Ado Ekiti,445173.66,21680,1984,0.091513,0.53,0.424809523,2920,-1,2018,antenatal
Ado-Odo-Ota,777420.25,74744,3503,0.046867,0.53,0.46396913,2920,-1,2018,antenatal
Afijio,200406.4,8928,1485,0.166331,0.53,0.510953009,2920,-1,2018,antenatal
Afikpo North,218142.17,18306,2601,0.142085,0.53,0.482537052,2920,-1,2018,antenatal
Afikpo South,218784.3,6604,2026,0.306784,0.53,0.497764649,2920,-1,2018,antenatal
Agaie,198515.45,14721,6767,0.459683,0.53,0.514957552,2920,-1,2018,antenatal
Agatu,164712.45,7701,2325,0.301909,0.53,0.492360644,2920,-1,2018,antenatal
Agege,671207.2,65624,652,0.009935,0.53,0.49666464,2920,-1,2018,antenatal
Aguata,515609.54,8916,1080,0.121131,0.53,0.503044714,2920,-1,2018,antenatal
Agwara,85754.458,10358,3976,0.383858,0.53,0.548162892,2920,-1,2018,antenatal
Ahiazu-Mbaise,249404.06,6877,732,0.106442,0.53,0.500049325,2920,-1,2018,antenatal
Ahoada East,249060.29,3846,190,0.049402,0.53,0.307284555,2920,-1,2018,antenatal
Ahoada West,372551.61,3623,1574,0.434447,0.53,0.30780961,2920,-1,2018,antenatal
Aiyedade,219473,7524,1559,0.207204,0.53,0.460915111,2920,-1,2018,antenatal
Aiyedire,110685.07,3845,1148,0.29857,0.53,0.492615926,2920,-1,2018,antenatal
Ajaokuta,174400.5,7664,1284,0.167537,0.53,0.394962504,2920,-1,2018,antenatal
Ajeromi-Ifelodun,998341.52,60065,1928,0.032099,0.53,0.493901179,2920,-1,2018,antenatal
Ajingi,257095.76,27176,5163,0.189984,0.53,0.699793659,2920,-1,2018,antenatal
Akamkpa,212971.17,8644,3376,0.39056,0.53,0.518082922,2920,-1,2018,antenatal
Akinyele,315694.64,28854,2295,0.079538,0.53,0.421435221,2920,-1,2018,antenatal
