LGA,LGA_old,repDS,simday,duration,year,mortality_rate,kill_rate,block_initial,U5_ITN_use_m,U5201.repDS,U5_ITN_use_l,U5_ITN_use,six_nine_ITN_use_m,six_nine_ITN_use_l,six_nine_ITN_use,six_n.year,ten_eighteen_ITN_use_m,ten_eighteen_ITN_use_l,ten_eighteen_ITN_use,ten_e.year,over_eighteen_ITN_use_m,over_eighteen_ITN_use_l,over_eighteen_ITN_use,over_.year
Aba North,Aba North,Ngor-Okpala,0,1095,2010,0.319067389,0.393201897,0.53,0.111873819,Ngor-Okpala,0.034274669,0.18947297,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.08256596,0.024678985,0.140452934,2010
Aba South,Aba South,Ngor-Okpala,0,1095,2010,0.311454386,0.38693958,0.53,0.041666667,Ngor-Okpala,0,0.119265817,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.08256596,0.024678985,0.140452934,2010
Arochukwu,Arochukwu,Ngor-Okpala,0,1095,2010,0.431823298,0.485441926,0.53,0.111873819,Ngor-Okpala,0.034274669,0.18947297,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.08256596,0.024678985,0.140452934,2010
Bende,Bende,Ngor-Okpala,0,1095,2010,0.451630723,0.501154968,0.53,0.157894737,Ngor-Okpala,0.080295586,0.235493888,0.142857143,0.068738087,0.216976199,2010,0.070636395,0.01502996,0.126242831,2010,0.071428571,0.013541597,0.129315546,2010
Ikwuano,Ikwuano,Ngor-Okpala,0,1095,2010,0.469780688,0.51532143,0.53,0.111873819,Ngor-Okpala,0.034274669,0.18947297,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.08256596,0.024678985,0.140452934,2010
Isiala-Ngwa North,Isiala-Ngwa North,Ngor-Okpala,0,1095,2010,0.347639146,0.416760484,0.53,0.111873819,Ngor-Okpala,0.034274669,0.18947297,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.03125,0,0.089136974,2010
Isiala-Ngwa South,Isiala-Ngwa South,Ngor-Okpala,0,1095,2010,0.381316588,0.444481729,0.53,0.111873819,Ngor-Okpala,0.034274669,0.18947297,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.08256596,0.024678985,0.140452934,2010
Isuikwato,Isuikwato,Ngor-Okpala,0,1095,2010,0.414408176,0.471442169,0.53,0.111873819,Ngor-Okpala,0.034274669,0.18947297,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.08256596,0.024678985,0.140452934,2010
Obi Nwa,Obi Nwa,Ngor-Okpala,0,1095,2010,0.339144556,0.409752288,0.53,0.166666667,Ngor-Okpala,0.089067516,0.244265817,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.112903226,0.055016252,0.1707902,2010
Ohafia,Ohafia,Ngor-Okpala,0,1095,2010,0.433165676,0.486514324,0.53,0.111873819,Ngor-Okpala,0.034274669,0.18947297,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.08256596,0.024678985,0.140452934,2010
Osisioma Ngwa,Osisioma Ngwa,Ngor-Okpala,0,1095,2010,0.3223721,0.395923243,0.53,0.045454545,Ngor-Okpala,0,0.123053696,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.05,0,0.107886974,2010
Ugwunagbo,Ugwunagbo,Ngor-Okpala,0,1095,2010,0.311296946,0.386810187,0.53,0.111873819,Ngor-Okpala,0.034274669,0.18947297,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.08256596,0.024678985,0.140452934,2010
Ukwa East,Ukwa East,Nsit Ubium,0,1095,2010,0.30363416,0.380519132,0.53,0.359615859,Nsit Ubium,0.277243042,0.441988676,0.270466267,0.193114253,0.347818281,2010,0.25654695,0.194166606,0.318927295,2010,0.332230027,0.237298887,0.427161168,2010
