LGA,LGA_old,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use_u,over_eighteen_ITN_use_u,simday,duration,year,mortality_rate,kill_rate,block_initial
Aba North,Aba North,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.319067389,0.393201897,0.53
Aba South,Aba South,Ngor-Okpala,0.119265817,0.178815297,0.126242831,0.140452934,0,1095,2010,0.311454386,0.38693958,0.53
Arochukwu,Arochukwu,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.431823298,0.485441926,0.53
Bende,Bende,Ngor-Okpala,0.235493888,0.216976199,0.126242831,0.129315546,0,1095,2010,0.451630723,0.501154968,0.53
Ikwuano,Ikwuano,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.469780688,0.51532143,0.53
Isiala-Ngwa North,Isiala-Ngwa North,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.089136974,0,1095,2010,0.347639146,0.416760484,0.53
Isiala-Ngwa South,Isiala-Ngwa South,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.381316588,0.444481729,0.53
Isuikwato,Isuikwato,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.414408176,0.471442169,0.53
Obi Nwa,Obi Nwa,Ngor-Okpala,0.244265817,0.178815297,0.126242831,0.1707902,0,1095,2010,0.339144556,0.409752288,0.53
Ohafia,Ohafia,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.433165676,0.486514324,0.53
Osisioma Ngwa,Osisioma Ngwa,Ngor-Okpala,0.123053696,0.178815297,0.126242831,0.107886974,0,1095,2010,0.3223721,0.395923243,0.53
Ugwunagbo,Ugwunagbo,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.311296946,0.386810187,0.53
Ukwa East,Ukwa East,Nsit Ubium,0.441988676,0.347818281,0.318927295,0.427161168,0,1095,2010,0.30363416,0.380519132,0.53
Ukwa West,Ukwa West,Nsit Ubium,0.441988676,0.347818281,0.318927295,0.427161168,0,1095,2010,0.294680951,0.373187786,0.53
Umu-Neochi,Umu-Neochi,Oru West,0.472504313,0.395468655,0.309498345,0.42194626,0,1095,2010,0.436597759,0.489251418,0.53
Umuahia North,Umuahia North,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.451576154,0.501112024,0.53
Umuahia South,Umuahia South,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.48752647,0.528927156,0.53
Demsa,Demsa,Alkaleri,0.639862739,0.468941846,0.39915577,0.559991805,0,1095,2010,0.495212973,0.534738199,0.53
Gireri,Gireri,Darazo,0.59959732,0.415546958,0.312574825,0.608220782,0,1095,2010,0.658506137,0.643299625,0.789677498
Gombi,Gombi,Alkaleri,0.639862739,0.468941846,0.39915577,0.559991805,0,1095,2010,0.515567645,0.54986676,0.568706617
Guyuk,Guyuk,Alkaleri,0.639862739,0.468941846,0.39915577,0.559991805,0,1095,2010,0.571995521,0.58959986,0.675592018
Hong,Hong,Darazo,0.59959732,0.415546958,0.312574825,0.608220782,0,1095,2010,0.634881453,0.629555395,0.763450658
Lamurde,Lamurde,Alkaleri,0.935972841,0.931651073,0.826728512,0.916263335,0,1095,2010,0.429924862,0.483923569,0.53
Mayo-Belwa,Mayo-Belwa,Alkaleri,0.639862739,0.468941846,0.39915577,0.559991805,0,1095,2010,0.615915722,0.618014343,0.739910945
Numan,Numan,Alkaleri,0.639862739,0.468941846,0.39915577,0.559991805,0,1095,2010,0.518273564,0.55184819,0.57454826
Shelleng,Shelleng,Darazo,0.59959732,0.415546958,0.312574825,0.608220782,0,1095,2010,0.58914423,0.600969346,0.702457608
Itu,Itu,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.415010863,0.471929182,0.53
Song,Song,Darazo,0.731721,0.734904537,0.419319821,0.711322966,0,1095,2010,0.551949619,0.575879905,0.641046694
Yola North,Yola North,Alkaleri,0.639862739,0.468941846,0.39915577,0.559991805,0,1095,2010,0.581884889,0.596198663,0.691373749
Yola South,Yola South,Alkaleri,0.476376881,0.379811608,0.242517985,0.495750515,0,1095,2010,0.57254926,0.589972357,0.676497023
Abak,Abak,Nsit Ubium,0.340437333,0.202352014,0.318927295,0.331042252,0,1095,2010,0.358412263,0.425644469,0.53
Awka North,Awka North,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.388205397,0.450124783,0.53
Eket,Eket,Nsit Ubium,0.441988676,0.347818281,0.318927295,0.427161168,0,1095,2010,0.238612216,0.328021397,0.53
Esit Eket,Esit Eket,Nsit Ubium,0.441988676,0.347818281,0.318927295,0.427161168,0,1095,2010,0.262279676,0.346897657,0.53
Essien Udim,Essien Udim,Ngor-Okpala,0.665834445,0.645547628,0.328333708,0.476068792,0,1095,2010,0.369824263,0.435041855,0.53
Etim Ekpo,Etim Ekpo,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.326319464,0.399175674,0.53
Etinan,Etinan,Nsit Ubium,0.441988676,0.347818281,0.318927295,0.427161168,0,1095,2010,0.271254927,0.35413511,0.53
Ibesikpo Asutan,Ibesikpo Asutan,Nsit Ubium,0.627827362,0.494018681,0.205237487,0.463352193,0,1095,2010,0.364757188,0.430871605,0.53
Ibiono Ibom,Ibiono Ibom,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.383194312,0.446021174,0.53
Ika,Ika,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.281330517,0.36230356,0.53
Ikono,Ikono,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.3504186,0.419053252,0.53
Ikot Abasi,Ikot Abasi,Nsit Ubium,0.376490464,0.315447252,0.330673027,0.508724244,0,1095,2010,0.194063012,0.293529351,0.53
Ikot Ekpene,Ikot Ekpene,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.356519334,0.424084125,0.53
Ini,Ini,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.395911217,0.45642023,0.53
Mkpat Enin,Mkpat Enin,Nsit Ubium,0.441988676,0.347818281,0.318927295,0.427161168,0,1095,2010,0.225930858,0.318051677,0.53
Nsit Atai,Nsit Atai,Nsit Ubium,0.441988676,0.347818281,0.318927295,0.427161168,0,1095,2010,0.243345201,0.331769618,0.53
Nsit Ibom,Nsit Ibom,Nsit Ubium,0.441988676,0.347818281,0.318927295,0.427161168,0,1095,2010,0.357951303,0.425264532,0.53
Nsit Ubium,Nsit Ubium,Nsit Ubium,0.441988676,0.347818281,0.318927295,0.427161168,0,1095,2010,0.247213687,0.334843575,0.53
Awka South,Awka South,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.431794981,0.485419293,0.53
Obot Akara,Obot Akara,Ngor-Okpala,0.401128562,0.619573602,0.455606435,0.46860126,0,1095,2010,0.376065149,0.440171735,0.53
Okobo,Okobo,Nsit Ubium,0.441988676,0.347818281,0.318927295,0.427161168,0,1095,2010,0.269257198,0.352520839,0.53
Onna,Onna,Nsit Ubium,0.441988676,0.347818281,0.318927295,0.427161168,0,1095,2010,0.191877243,0.291878138,0.53
Oruk Anam,Oruk Anam,Nsit Ubium,0.519872817,0.312646132,0.419523202,0.594931141,0,1095,2010,0.312496984,0.387796568,0.53
Ukanafun,Ukanafun,Nsit Ubium,0.441988676,0.347818281,0.318927295,0.427161168,0,1095,2010,0.340679142,0.41101835,0.53
Uruan,Uruan,Nsit Ubium,0.441988676,0.347818281,0.318927295,0.427161168,0,1095,2010,0.401030149,0.460591042,0.53
Urue-Offong-Oruko,Urue-Offong/Oruko,Nsit Ubium,0.441988676,0.347818281,0.318927295,0.427161168,0,1095,2010,0.204236897,0.30126919,0.53
Ayamelum,Ayamelum,Uzo-Uwani,0.860306351,0.792283622,0.763248819,0.695043291,0,1095,2010,0.436497382,0.489171465,0.53
Uyo,Uyo,Nsit Ubium,0.441988676,0.188463125,0.318927295,0.131294777,0,1095,2010,0.399966547,0.459725229,0.53
Aguata,Aguata,Oru West,0.472504313,0.395468655,0.309498345,0.42194626,0,1095,2010,0.454034567,0.503044714,0.53
Anambra East,Anambra East,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.375672105,0.439848897,0.53
Anambra West,Anambra West,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.39176502,0.453035277,0.53
Anaocha,Anaocha,Oru West,0.519283887,0.45963001,0.327271748,0.425741052,0,1095,2010,0.420247823,0.476153753,0.53
Dunukofia,Dunukofia,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.421451191,0.477122595,0.53
Ekwusigo,Ekwusigo,Oru West,0.472504313,0.395468655,0.309498345,0.42194626,0,1095,2010,0.255572543,0.341515837,0.53
Idemili North,Idemili North,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.422797782,0.478205882,0.53
Idemili South,Idemili South,Oru West,0.472504313,0.395468655,0.309498345,0.42194626,0,1095,2010,0.377378695,0.441250403,0.53
Ihiala,Ihiala,Oru West,0.598456791,0.496763748,0.42528524,0.618469553,0,1095,2010,0.199598953,0.297729955,0.53
Njikoka,Njikoka,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.436915256,0.489504274,0.53
Nnewi North,Nnewi North,Oru West,0.510358102,0.543926823,0.300025024,0.344509363,0,1095,2010,0.308642745,0.38462961,0.53
Nnewi South,Nnewi South,Oru West,0.472504313,0.395468655,0.309498345,0.42194626,0,1095,2010,0.303374646,0.380306319,0.53
Ogbaru,Ogbaru,Ahoada West,0.458117013,0.467072881,0.158239037,0.345423745,0,1095,2010,0.230996863,0.322021221,0.53
Onitsha North,Onitsha North,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.382531956,0.445478249,0.53
Onitsha South,Onitsha South,Uzo-Uwani,0.511647347,0.325616956,0.202137708,0.200400434,0,1095,2010,0.368656397,0.434081069,0.53
Orumba North,Orumba North,Oru West,0.472504313,0.395468655,0.309498345,0.42194626,0,1095,2010,0.403508225,0.462606614,0.53
Orumba South,Orumba South,Oru West,0.472504313,0.395468655,0.309498345,0.42194626,0,1095,2010,0.438379079,0.490669288,0.53
Oyi,Oyi,Uzo-Uwani,0.483869569,0.240768471,0.277534533,0.261246995,0,1095,2010,0.387377598,0.449447388,0.53
Alkaleri,Alkaleri,Alkaleri,0.639862739,0.468941846,0.39915577,0.559991805,0,1095,2010,0.570092852,0.588317246,0.672462749
Bauchi,Bauchi,Alkaleri,0.508794734,0.184168332,0.214758185,0.311090245,0,1095,2010,0.627087591,0.624866967,0.754059265
Bogoro,Bogoro,Alkaleri,0.639862739,0.468941846,0.39915577,0.559991805,0,1095,2010,0.578959907,0.594258836,0.686789221
Damban,Damban,Darazo,0.840054333,0.494428347,0.427449902,0.803915558,0,1095,2010,0.81015375,0.714922519,0.898587768
Darazo,Darazo,Darazo,0.59959732,0.415546958,0.312574825,0.608220782,0,1095,2010,0.786253294,0.705476275,0.886610487
Dass,Dass,Alkaleri,0.639862739,0.468941846,0.39915577,0.559991805,0,1095,2010,0.466190501,0.512538393,0.53
Gamawa,Gamawa,Gwarzo,0.857039168,0.605691364,0.4217264,0.873833241,0,1095,2010,0.770682387,0.698966685,0.877968696
Jama'are,Jama'are,Taura,0.66973188,0.559237868,0.469649871,0.68684866,0,1095,2010,0.749263424,0.689541118,0.8648732
Ganjuwa,Ganjuwa,Darazo,0.59959732,0.415546958,0.312574825,0.608220782,0,1095,2010,0.647484501,0.636975276,0.777846808
Giade,Giade,Darazo,0.291721,0.415546958,0.312574825,0.485074979,0,1095,2010,0.730326034,0.680743195,0.852004738
Itas-Gadau,Itas/Gadau,Taura,0.66973188,0.559237868,0.469649871,0.68684866,0,1095,2010,0.742973977,0.686667971,0.860740455
Katagum,Katagum,Gwarzo,0.264731476,0.22266859,0.255059734,0.235656603,0,1095,2010,0.74547039,0.687814164,0.862397166
Kirfi,Kirfi,Alkaleri,0.639862739,0.468941846,0.39915577,0.559991805,0,1095,2010,0.704749265,0.668154735,0.832458934
Misau,Misau,Darazo,0.736984158,0.625380728,0.449622851,0.659976164,0,1095,2010,0.803277912,0.712271562,0.895292482
Ningi,Ningi,Takali,0.785359242,0.548608264,0.590315866,0.711944963,0,1095,2010,0.6738636,0.651854983,0.805057422
Ukum,Ukum,Keana,0.069333985,0.074096451,0.058888757,0.056720278,0,1095,2010,0.383970395,0.446657171,0.53
Shira,Shira,Takali,0.478206367,0.326386042,0.436612162,0.593345172,0,1095,2010,0.742991291,0.686675947,0.86075202
Tafawa-Balewa,Tafawa-Balewa,Alkaleri,0.639862739,0.468941846,0.39915577,0.559991805,0,1095,2010,0.531148459,0.561175608,0.601298661
Toro,Toro,Giwa,0.336964622,0.195834853,0.154991341,0.375596048,0,1095,2010,0.625332185,0.623800515,0.751890584
Warji,Warji,Takali,0.620783978,0.461906189,0.35793053,0.633764175,0,1095,2010,0.680001753,0.655190649,0.810864418
Zaki,Zaki,Taura,0.66973188,0.559237868,0.469649871,0.68684866,0,1095,2010,0.753604356,0.69149605,0.867647129
Kolokuma-Opokuma,Kolokuma/Opokuma,Ahoada West,0.458117013,0.467072881,0.158239037,0.345423745,0,1095,2010,0.224180225,0.31668418,0.53
Nembe,Nembe,Ahoada West,0.458117013,0.467072881,0.158239037,0.345423745,0,1095,2010,0.273335383,0.35581817,0.53
Ogbia,Ogbia,Ahoada West,0.187686176,0.467072881,0.158239037,0.142873669,0,1095,2010,0.381331283,0.44449378,0.53
Sagbama,Sagbama,Ahoada West,0.458117013,0.467072881,0.158239037,0.345423745,0,1095,2010,0.219154854,0.312771086,0.53
Yenegoa,Yenegoa,Isoko South,0.140537501,0.19814779,0.055379825,0.115981612,0,1095,2010,0.260617689,0.34556186,0.53
Ado,Ado,Akinyele,0.136267943,0.05645582,0.011728893,0.069697745,0,1095,2010,0.357778894,0.425122422,0.53
Agatu,Agatu,Keana,0.136258672,0.074096451,0.058888757,0.126004947,0,1095,2010,0.440507142,0.492360644,0.53
Apa,Apa,Keana,0.136258672,0.074096451,0.058888757,0.126004947,0,1095,2010,0.437711079,0.490137805,0.53
Buruku,Buruku,Keana,0.136258672,0.074096451,0.058888757,0.126004947,0,1095,2010,0.37690999,0.440865552,0.53
