LGA,adm1,year,round,simday,coverage_high_access,coverage_low_access,max_age
Gwoza,Borno ,2019,1,3474,0.6,0.2,5
Gwoza,Borno ,2019,2,3540,0.6,0.2,5
Gwoza,Borno ,2019,3,3509,0.6,0.2,5
Gwoza,Borno ,2019,4,3624,0.6,0.2,5
Ngala,Borno ,2019,1,3474,0.6,0.2,5
Ngala,Borno ,2019,2,3540,0.6,0.2,5
Ngala,Borno ,2019,3,3509,0.6,0.2,5
Ngala,Borno ,2019,4,3624,0.6,0.2,5
Kala-Balge,Borno,2019,1,3474,0.6,0.2,5
Kala-Balge,Borno,2019,2,3540,0.6,0.2,5
Kala-Balge,Borno,2019,3,3509,0.6,0.2,5
Kala-Balge,Borno,2019,4,3624,0.6,0.2,5
Bama,Borno ,2019,1,3474,0.6,0.2,5
Bama,Borno ,2019,2,3540,0.6,0.2,5
Bama,Borno ,2019,3,3509,0.6,0.2,5
Bama,Borno ,2019,4,3624,0.6,0.2,5
Bama,Borno ,2019,4,3624,0.6,0.2,5
Yusufari,Yobe ,2019,1,3502,0.8,0.2,5
Yusufari,Yobe ,2019,2,3530,0.8,0.2,5
Yusufari,Yobe ,2019,3,3558,0.8,0.2,5
Yusufari,Yobe ,2019,4,3586,0.8,0.2,5
Tarmuwa,Yobe ,2019,1,3502,0.8,0.2,5
Tarmuwa,Yobe ,2019,2,3530,0.8,0.2,5
Tarmuwa,Yobe ,2019,3,3558,0.8,0.2,5
Tarmuwa,Yobe ,2019,4,3586,0.8,0.2,5
Bade,Yobe ,2019,1,3502,0.8,0.2,5
Bade,Yobe ,2019,2,3530,0.8,0.2,5
Bade,Yobe ,2019,3,3558,0.8,0.2,5
Bade,Yobe ,2019,4,3586,0.8,0.2,5
Machina,Yobe ,2019,1,3502,0.8,0.2,5
Machina,Yobe ,2019,2,3530,0.8,0.2,5
Machina,Yobe ,2019,3,3558,0.8,0.2,5
Machina,Yobe ,2019,4,3586,0.8,0.2,5
Nguru,Yobe ,2019,1,3502,0.8,0.2,5
Nguru,Yobe ,2019,2,3530,0.8,0.2,5
Nguru,Yobe ,2019,3,3558,0.8,0.2,5
Nguru,Yobe ,2019,4,3586,0.8,0.2,5
Karasuwa,Yobe ,2019,1,3502,0.8,0.2,5
Karasuwa,Yobe ,2019,2,3530,0.8,0.2,5
Karasuwa,Yobe ,2019,3,3558,0.8,0.2,5
Karasuwa,Yobe ,2019,4,3586,0.8,0.2,5
Baure,Katsina,2013,1,1308,1,0.6,5
Baure,Katsina,2013,2,1339,1,0.6,5
Baure,Katsina,2013,3,1369,1,0.6,5
Mashi,Katsina,2013,1,1308,1,0.6,5
Mashi,Katsina,2013,2,1339,1,0.6,5
Mashi,Katsina,2013,3,1369,1,0.6,5
Madobi,Kano,2014,1,1673,0.8,0.2,5
Madobi,Kano,2014,2,1704,0.8,0.2,5
Madobi,Kano,2014,3,1734,0.8,0.2,5
Madobi,Kano,2014,4,1765,0.8,0.2,5
Baure,Katsina,2014,1,1673,1,0.6,5
Baure,Katsina,2014,2,1704,1,0.6,5
Baure,Katsina,2014,3,1734,1,0.6,5
Baure,Katsina,2014,4,1765,1,0.6,5
Dutsi,Katsina,2014,1,1673,1,0.6,5
Dutsi,Katsina,2014,2,1704,1,0.6,5
Dutsi,Katsina,2014,3,1734,1,0.6,5
Dutsi,Katsina,2014,4,1765,1,0.6,5
Mai'Adua,Katsina,2014,1,1673,1,0.6,5
Mai'Adua,Katsina,2014,2,1704,1,0.6,5
Mai'Adua,Katsina,2014,3,1734,1,0.6,5
Mai'Adua,Katsina,2014,4,1765,1,0.6,5
Mashi,Katsina,2014,1,1673,1,0.6,5
Mashi,Katsina,2014,2,1704,1,0.6,5
Mashi,Katsina,2014,3,1734,1,0.6,5
Mashi,Katsina,2014,4,1765,1,0.6,5
Kazaure,Jigawa,2015,1,2038,0.8,0.2,5
Kazaure,Jigawa,2015,2,2069,0.8,0.2,5
Kazaure,Jigawa,2015,3,2099,0.8,0.2,5
Kazaure,Jigawa,2015,4,2130,0.8,0.2,5
Baure,Katsina,2015,1,2038,1,0.6,5
Baure,Katsina,2015,2,2069,1,0.6,5
Baure,Katsina,2015,3,2099,1,0.6,5
Baure,Katsina,2015,4,2130,1,0.6,5
Gada,Sokoto,2015,1,2038,0.8,0.2,5
Gada,Sokoto,2015,2,2069,0.8,0.2,5
Gada,Sokoto,2015,3,2099,0.8,0.2,5
Gada,Sokoto,2015,4,2130,0.8,0.2,5
Gawabawa,Sokoto,2015,1,2038,0.8,0.2,5
Gawabawa,Sokoto,2015,2,2069,0.8,0.2,5
Gawabawa,Sokoto,2015,3,2099,0.8,0.2,5
Gawabawa,Sokoto,2015,4,2130,0.8,0.2,5
Goronyo,Sokoto,2015,1,2038,0.8,0.2,5
Goronyo,Sokoto,2015,2,2069,0.8,0.2,5
Goronyo,Sokoto,2015,3,2099,0.8,0.2,5
Goronyo,Sokoto,2015,4,2130,0.8,0.2,5
Gudu,Sokoto,2015,1,2038,0.8,0.2,5
Gudu,Sokoto,2015,2,2069,0.8,0.2,5
Gudu,Sokoto,2015,3,2099,0.8,0.2,5
Gudu,Sokoto,2015,4,2130,0.8,0.2,5
Illela,Sokoto,2015,1,2038,0.8,0.2,5
Illela,Sokoto,2015,2,2069,0.8,0.2,5
Illela,Sokoto,2015,3,2099,0.8,0.2,5
Illela,Sokoto,2015,4,2130,0.8,0.2,5
Isa,Sokoto,2015,1,2038,0.8,0.2,5
Isa,Sokoto,2015,2,2069,0.8,0.2,5
Isa,Sokoto,2015,3,2099,0.8,0.2,5
Isa,Sokoto,2015,4,2130,0.8,0.2,5
Sabon Birni,Sokoto,2015,1,2038,0.8,0.2,5
Sabon Birni,Sokoto,2015,2,2069,0.8,0.2,5
Sabon Birni,Sokoto,2015,3,2099,0.8,0.2,5
Sabon Birni,Sokoto,2015,4,2130,0.8,0.2,5
Tangaza,Sokoto,2015,1,2038,0.8,0.2,5
Tangaza,Sokoto,2015,2,2069,0.8,0.2,5
Tangaza,Sokoto,2015,3,2099,0.8,0.2,5
Tangaza,Sokoto,2015,4,2130,0.8,0.2,5
Wamako,Sokoto,2015,1,2038,0.8,0.2,5
Wamako,Sokoto,2015,2,2069,0.8,0.2,5
Wamako,Sokoto,2015,3,2099,0.8,0.2,5
Wamako,Sokoto,2015,4,2130,0.8,0.2,5
Wurno,Sokoto,2015,1,2038,0.8,0.2,5
Wurno,Sokoto,2015,2,2069,0.8,0.2,5
Wurno,Sokoto,2015,3,2099,0.8,0.2,5
Wurno,Sokoto,2015,4,2130,0.8,0.2,5
Bakura,Zamfara,2015,1,2038,1,0.6,5
Bakura,Zamfara,2015,2,2069,1,0.6,5
Bakura,Zamfara,2015,3,2099,1,0.6,5
Bakura,Zamfara,2015,4,2130,1,0.6,5
Birnin Magaji,Zamfara,2015,1,2038,1,0.6,5
Birnin Magaji,Zamfara,2015,2,2069,1,0.6,5
Birnin Magaji,Zamfara,2015,3,2099,1,0.6,5
Birnin Magaji,Zamfara,2015,4,2130,1,0.6,5
Bungudu,Zamfara,2015,1,2038,1,0.6,5
Bungudu,Zamfara,2015,2,2069,1,0.6,5
Bungudu,Zamfara,2015,3,2099,1,0.6,5
Bungudu,Zamfara,2015,4,2130,1,0.6,5
Kaura Namoda,Zamfara,2015,1,2038,1,0.6,5
Kaura Namoda,Zamfara,2015,2,2069,1,0.6,5
Kaura Namoda,Zamfara,2015,3,2099,1,0.6,5
Kaura Namoda,Zamfara,2015,4,2130,1,0.6,5
Shinkafi,Zamfara,2015,1,2038,1,0.6,5
Shinkafi,Zamfara,2015,2,2069,1,0.6,5
Shinkafi,Zamfara,2015,3,2099,1,0.6,5
Shinkafi,Zamfara,2015,4,2130,1,0.6,5
Talata Mafara,Zamfara,2015,1,2038,1,0.6,5
Talata Mafara,Zamfara,2015,2,2069,1,0.6,5
Talata Mafara,Zamfara,2015,3,2099,1,0.6,5
Talata Mafara,Zamfara,2015,4,2130,1,0.6,5
Zurmi,Zamfara,2015,1,2038,1,0.6,5
Zurmi,Zamfara,2015,2,2069,1,0.6,5
Zurmi,Zamfara,2015,3,2099,1,0.6,5
Zurmi,Zamfara,2015,4,2130,1,0.6,5
Binji,Sokoto,2016,1,2404,0.8,0.2,5
Binji,Sokoto,2016,2,2435,0.8,0.2,5
Binji,Sokoto,2016,3,2465,0.8,0.2,5
Binji,Sokoto,2016,4,2496,0.8,0.2,5
Bodinga,Sokoto,2016,1,2404,0.8,0.2,5
Bodinga,Sokoto,2016,2,2435,0.8,0.2,5
Bodinga,Sokoto,2016,3,2465,0.8,0.2,5
Bodinga,Sokoto,2016,4,2496,0.8,0.2,5
Dange-Shnsi,Sokoto,2016,1,2404,0.8,0.2,5
Dange-Shnsi,Sokoto,2016,2,2435,0.8,0.2,5
Dange-Shnsi,Sokoto,2016,3,2465,0.8,0.2,5
Dange-Shnsi,Sokoto,2016,4,2496,0.8,0.2,5
Gada,Sokoto,2016,1,2404,0.8,0.2,5
Gada,Sokoto,2016,2,2435,0.8,0.2,5
Gada,Sokoto,2016,3,2465,0.8,0.2,5
Gada,Sokoto,2016,4,2496,0.8,0.2,5
Gawabawa,Sokoto,2016,1,2404,0.8,0.2,5
Gawabawa,Sokoto,2016,2,2435,0.8,0.2,5
Gawabawa,Sokoto,2016,3,2465,0.8,0.2,5
Gawabawa,Sokoto,2016,4,2496,0.8,0.2,5
Goronyo,Sokoto,2016,1,2404,0.8,0.2,5
Goronyo,Sokoto,2016,2,2435,0.8,0.2,5
Goronyo,Sokoto,2016,3,2465,0.8,0.2,5
Goronyo,Sokoto,2016,4,2496,0.8,0.2,5
Gudu,Sokoto,2016,1,2404,0.8,0.2,5
Gudu,Sokoto,2016,2,2435,0.8,0.2,5
Gudu,Sokoto,2016,3,2465,0.8,0.2,5
Gudu,Sokoto,2016,4,2496,0.8,0.2,5
Illela,Sokoto,2016,1,2404,0.8,0.2,5
Illela,Sokoto,2016,2,2435,0.8,0.2,5
Illela,Sokoto,2016,3,2465,0.8,0.2,5
Illela,Sokoto,2016,4,2496,0.8,0.2,5
Isa,Sokoto,2016,1,2404,0.8,0.2,5
Isa,Sokoto,2016,2,2435,0.8,0.2,5
Isa,Sokoto,2016,3,2465,0.8,0.2,5
Isa,Sokoto,2016,4,2496,0.8,0.2,5
Kebbe,Sokoto,2016,1,2404,0.8,0.2,5
Kebbe,Sokoto,2016,2,2435,0.8,0.2,5
Kebbe,Sokoto,2016,3,2465,0.8,0.2,5
Kebbe,Sokoto,2016,4,2496,0.8,0.2,5
Kware,Sokoto,2016,1,2404,0.8,0.2,5
Kware,Sokoto,2016,2,2435,0.8,0.2,5
Kware,Sokoto,2016,3,2465,0.8,0.2,5
Kware,Sokoto,2016,4,2496,0.8,0.2,5
Rabah,Sokoto,2016,1,2404,0.8,0.2,5
Rabah,Sokoto,2016,2,2435,0.8,0.2,5
Rabah,Sokoto,2016,3,2465,0.8,0.2,5
Rabah,Sokoto,2016,4,2496,0.8,0.2,5
Sabon Birni,Sokoto,2016,1,2404,0.8,0.2,5
Sabon Birni,Sokoto,2016,2,2435,0.8,0.2,5
Sabon Birni,Sokoto,2016,3,2465,0.8,0.2,5
Sabon Birni,Sokoto,2016,4,2496,0.8,0.2,5
Shagari,Sokoto,2016,1,2404,0.8,0.2,5
Shagari,Sokoto,2016,2,2435,0.8,0.2,5
Shagari,Sokoto,2016,3,2465,0.8,0.2,5
Shagari,Sokoto,2016,4,2496,0.8,0.2,5
Silame,Sokoto,2016,1,2404,0.8,0.2,5
Silame,Sokoto,2016,2,2435,0.8,0.2,5
Silame,Sokoto,2016,3,2465,0.8,0.2,5
Silame,Sokoto,2016,4,2496,0.8,0.2,5
Sokoto North,Sokoto,2016,1,2404,0.8,0.2,5
Sokoto North,Sokoto,2016,2,2435,0.8,0.2,5
Sokoto North,Sokoto,2016,3,2465,0.8,0.2,5
Sokoto North,Sokoto,2016,4,2496,0.8,0.2,5
Sokoto South,Sokoto,2016,1,2404,0.8,0.2,5
Sokoto South,Sokoto,2016,2,2435,0.8,0.2,5
Sokoto South,Sokoto,2016,3,2465,0.8,0.2,5
Sokoto South,Sokoto,2016,4,2496,0.8,0.2,5
Tambuwal,Sokoto,2016,1,2404,0.8,0.2,5
Tambuwal,Sokoto,2016,2,2435,0.8,0.2,5
