LGA,adm1,year,round,simday,max_age,coverage_high_access,coverage_low_access
Gwoza,Borno ,2019,1,3474,5,0.4,0
Gwoza,Borno ,2019,2,3540,5,0.4,0
Gwoza,Borno ,2019,3,3509,5,0.4,0
Gwoza,Borno ,2019,4,3624,5,0.4,0
Ngala,Borno ,2019,1,3474,5,0.4,0
Ngala,Borno ,2019,2,3540,5,0.4,0
Ngala,Borno ,2019,3,3509,5,0.4,0
Ngala,Borno ,2019,4,3624,5,0.4,0
Kala-Balge,Borno,2019,1,3474,5,0.4,0
Kala-Balge,Borno,2019,2,3540,5,0.4,0
Kala-Balge,Borno,2019,3,3509,5,0.4,0
Kala-Balge,Borno,2019,4,3624,5,0.4,0
Bama,Borno ,2019,1,3474,5,0.4,0
Bama,Borno ,2019,2,3540,5,0.4,0
Bama,Borno ,2019,3,3509,5,0.4,0
Bama,Borno ,2019,4,3624,5,0.4,0
Bama,Borno ,2019,4,3624,5,0.4,0
Yusufari,Yobe ,2019,1,3502,5,0.6,0
Yusufari,Yobe ,2019,2,3530,5,0.6,0
Yusufari,Yobe ,2019,3,3558,5,0.6,0
Yusufari,Yobe ,2019,4,3586,5,0.6,0
Tarmuwa,Yobe ,2019,1,3502,5,0.6,0
Tarmuwa,Yobe ,2019,2,3530,5,0.6,0
Tarmuwa,Yobe ,2019,3,3558,5,0.6,0
Tarmuwa,Yobe ,2019,4,3586,5,0.6,0
Bade,Yobe ,2019,1,3502,5,0.6,0
Bade,Yobe ,2019,2,3530,5,0.6,0
Bade,Yobe ,2019,3,3558,5,0.6,0
Bade,Yobe ,2019,4,3586,5,0.6,0
Machina,Yobe ,2019,1,3502,5,0.6,0
Machina,Yobe ,2019,2,3530,5,0.6,0
Machina,Yobe ,2019,3,3558,5,0.6,0
Machina,Yobe ,2019,4,3586,5,0.6,0
Nguru,Yobe ,2019,1,3502,5,0.6,0
Nguru,Yobe ,2019,2,3530,5,0.6,0
Nguru,Yobe ,2019,3,3558,5,0.6,0
Nguru,Yobe ,2019,4,3586,5,0.6,0
Karasuwa,Yobe ,2019,1,3502,5,0.6,0
Karasuwa,Yobe ,2019,2,3530,5,0.6,0
Karasuwa,Yobe ,2019,3,3558,5,0.6,0
Karasuwa,Yobe ,2019,4,3586,5,0.6,0
Baure,Katsina,2013,1,1308,5,0.8,0.4
Baure,Katsina,2013,2,1339,5,0.8,0.4
Baure,Katsina,2013,3,1369,5,0.8,0.4
Mashi,Katsina,2013,1,1308,5,0.8,0.4
Mashi,Katsina,2013,2,1339,5,0.8,0.4
Mashi,Katsina,2013,3,1369,5,0.8,0.4
Madobi,Kano,2014,1,1673,5,0.6,0
Madobi,Kano,2014,2,1704,5,0.6,0
Madobi,Kano,2014,3,1734,5,0.6,0
Madobi,Kano,2014,4,1765,5,0.6,0
Baure,Katsina,2014,1,1673,5,0.8,0.4
Baure,Katsina,2014,2,1704,5,0.8,0.4
Baure,Katsina,2014,3,1734,5,0.8,0.4
Baure,Katsina,2014,4,1765,5,0.8,0.4
Dutsi,Katsina,2014,1,1673,5,0.8,0.4
Dutsi,Katsina,2014,2,1704,5,0.8,0.4
Dutsi,Katsina,2014,3,1734,5,0.8,0.4
Dutsi,Katsina,2014,4,1765,5,0.8,0.4
Mai'Adua,Katsina,2014,1,1673,5,0.8,0.4
Mai'Adua,Katsina,2014,2,1704,5,0.8,0.4
Mai'Adua,Katsina,2014,3,1734,5,0.8,0.4
Mai'Adua,Katsina,2014,4,1765,5,0.8,0.4
Mashi,Katsina,2014,1,1673,5,0.8,0.4
Mashi,Katsina,2014,2,1704,5,0.8,0.4
Mashi,Katsina,2014,3,1734,5,0.8,0.4
Mashi,Katsina,2014,4,1765,5,0.8,0.4
Kazaure,Jigawa,2015,1,2038,5,0.6,0
Kazaure,Jigawa,2015,2,2069,5,0.6,0
Kazaure,Jigawa,2015,3,2099,5,0.6,0
Kazaure,Jigawa,2015,4,2130,5,0.6,0
Baure,Katsina,2015,1,2038,5,0.8,0.4
Baure,Katsina,2015,2,2069,5,0.8,0.4
Baure,Katsina,2015,3,2099,5,0.8,0.4
Baure,Katsina,2015,4,2130,5,0.8,0.4
Gada,Sokoto,2015,1,2038,5,0.6,0
Gada,Sokoto,2015,2,2069,5,0.6,0
Gada,Sokoto,2015,3,2099,5,0.6,0
Gada,Sokoto,2015,4,2130,5,0.6,0
Gawabawa,Sokoto,2015,1,2038,5,0.6,0
Gawabawa,Sokoto,2015,2,2069,5,0.6,0
Gawabawa,Sokoto,2015,3,2099,5,0.6,0
Gawabawa,Sokoto,2015,4,2130,5,0.6,0
Goronyo,Sokoto,2015,1,2038,5,0.6,0
Goronyo,Sokoto,2015,2,2069,5,0.6,0
Goronyo,Sokoto,2015,3,2099,5,0.6,0
Goronyo,Sokoto,2015,4,2130,5,0.6,0
Gudu,Sokoto,2015,1,2038,5,0.6,0
Gudu,Sokoto,2015,2,2069,5,0.6,0
Gudu,Sokoto,2015,3,2099,5,0.6,0
Gudu,Sokoto,2015,4,2130,5,0.6,0
Illela,Sokoto,2015,1,2038,5,0.6,0
Illela,Sokoto,2015,2,2069,5,0.6,0
Illela,Sokoto,2015,3,2099,5,0.6,0
Illela,Sokoto,2015,4,2130,5,0.6,0
Isa,Sokoto,2015,1,2038,5,0.6,0
Isa,Sokoto,2015,2,2069,5,0.6,0
Isa,Sokoto,2015,3,2099,5,0.6,0
Isa,Sokoto,2015,4,2130,5,0.6,0
Sabon Birni,Sokoto,2015,1,2038,5,0.6,0
Sabon Birni,Sokoto,2015,2,2069,5,0.6,0
Sabon Birni,Sokoto,2015,3,2099,5,0.6,0
Sabon Birni,Sokoto,2015,4,2130,5,0.6,0
Tangaza,Sokoto,2015,1,2038,5,0.6,0
Tangaza,Sokoto,2015,2,2069,5,0.6,0
Tangaza,Sokoto,2015,3,2099,5,0.6,0
Tangaza,Sokoto,2015,4,2130,5,0.6,0
Wamako,Sokoto,2015,1,2038,5,0.6,0
Wamako,Sokoto,2015,2,2069,5,0.6,0
Wamako,Sokoto,2015,3,2099,5,0.6,0
Wamako,Sokoto,2015,4,2130,5,0.6,0
Wurno,Sokoto,2015,1,2038,5,0.6,0
Wurno,Sokoto,2015,2,2069,5,0.6,0
