,LGA,adm1,year,round,simday,coverage_high_access,coverage_low_access,max_age
1,Baure,Katsina,2013,1,1307,1,0.6,5
2,Baure,Katsina,2013,2,1335,1,0.6,5
3,Baure,Katsina,2013,3,1367,1,0.6,5
4,Mashi,Katsina,2013,1,1307,1,0.6,5
5,Mashi,Katsina,2013,2,1335,1,0.6,5
6,Mashi,Katsina,2013,3,1367,1,0.6,5
7,Madobi,Kano,2014,1,1671,0.8,0.2,5
8,Madobi,Kano,2014,2,1699,0.8,0.2,5
9,Madobi,Kano,2014,3,1731,0.8,0.2,5
10,Madobi,Kano,2014,4,1763,0.8,0.2,5
11,Baure,Katsina,2014,1,1672,1,0.6,5
12,Baure,Katsina,2014,2,1700,1,0.6,5
13,Baure,Katsina,2014,3,1732,1,0.6,5
14,Baure,Katsina,2014,4,1763,1,0.6,5
15,Dutsi,Katsina,2014,1,1672,1,0.6,5
16,Dutsi,Katsina,2014,2,1700,1,0.6,5
17,Dutsi,Katsina,2014,3,1732,1,0.6,5
18,Dutsi,Katsina,2014,4,1763,1,0.6,5
19,Mai'Adua,Katsina,2014,1,1672,1,0.6,5
20,Mai'Adua,Katsina,2014,2,1700,1,0.6,5
21,Mai'Adua,Katsina,2014,3,1732,1,0.6,5
22,Mai'Adua,Katsina,2014,4,1763,1,0.6,5
23,Mashi,Katsina,2014,1,1672,1,0.6,5
24,Mashi,Katsina,2014,2,1700,1,0.6,5
25,Mashi,Katsina,2014,3,1732,1,0.6,5
26,Mashi,Katsina,2014,4,1763,1,0.6,5
27,Kazaure,Jigawa,2015,1,2036,0.8,0.2,5
28,Kazaure,Jigawa,2015,2,2064,0.8,0.2,5
29,Kazaure,Jigawa,2015,3,2096,0.8,0.2,5
30,Kazaure,Jigawa,2015,4,2128,0.8,0.2,5
31,Baure,Katsina,2015,1,2037,1,0.6,5
32,Baure,Katsina,2015,2,2065,1,0.6,5
33,Baure,Katsina,2015,3,2097,1,0.6,5
34,Baure,Katsina,2015,4,2128,1,0.6,5
35,Gada,Sokoto,2015,1,2064,0.8,0.2,5
36,Gada,Sokoto,2015,2,2096,0.8,0.2,5
37,Gada,Sokoto,2015,3,2122,0.8,0.2,5
38,Gada,Sokoto,2015,4,2150,0.8,0.2,5
39,Gawabawa,Sokoto,2015,1,2064,0.8,0.2,5
40,Gawabawa,Sokoto,2015,2,2096,0.8,0.2,5
41,Gawabawa,Sokoto,2015,3,2122,0.8,0.2,5
42,Gawabawa,Sokoto,2015,4,2150,0.8,0.2,5
43,Goronyo,Sokoto,2015,1,2064,0.8,0.2,5
44,Goronyo,Sokoto,2015,2,2096,0.8,0.2,5
45,Goronyo,Sokoto,2015,3,2122,0.8,0.2,5
46,Goronyo,Sokoto,2015,4,2150,0.8,0.2,5
47,Gudu,Sokoto,2015,1,2064,0.8,0.2,5
48,Gudu,Sokoto,2015,2,2096,0.8,0.2,5
49,Gudu,Sokoto,2015,3,2122,0.8,0.2,5
50,Gudu,Sokoto,2015,4,2150,0.8,0.2,5
51,Illela,Sokoto,2015,1,2064,0.8,0.2,5
52,Illela,Sokoto,2015,2,2096,0.8,0.2,5
53,Illela,Sokoto,2015,3,2122,0.8,0.2,5
54,Illela,Sokoto,2015,4,2150,0.8,0.2,5
55,Isa,Sokoto,2015,1,2064,0.8,0.2,5
56,Isa,Sokoto,2015,2,2096,0.8,0.2,5
57,Isa,Sokoto,2015,3,2122,0.8,0.2,5
58,Isa,Sokoto,2015,4,2150,0.8,0.2,5
59,Sabon Birni,Sokoto,2015,1,2064,0.8,0.2,5
60,Sabon Birni,Sokoto,2015,2,2096,0.8,0.2,5
61,Sabon Birni,Sokoto,2015,3,2122,0.8,0.2,5
62,Sabon Birni,Sokoto,2015,4,2150,0.8,0.2,5
63,Tangaza,Sokoto,2015,1,2064,0.8,0.2,5
64,Tangaza,Sokoto,2015,2,2096,0.8,0.2,5
65,Tangaza,Sokoto,2015,3,2122,0.8,0.2,5
66,Tangaza,Sokoto,2015,4,2150,0.8,0.2,5
67,Wamako,Sokoto,2015,1,2064,0.8,0.2,5
68,Wamako,Sokoto,2015,2,2096,0.8,0.2,5
69,Wamako,Sokoto,2015,3,2122,0.8,0.2,5
70,Wamako,Sokoto,2015,4,2150,0.8,0.2,5
71,Wurno,Sokoto,2015,1,2064,0.8,0.2,5
72,Wurno,Sokoto,2015,2,2096,0.8,0.2,5
73,Wurno,Sokoto,2015,3,2122,0.8,0.2,5
74,Wurno,Sokoto,2015,4,2150,0.8,0.2,5
75,Bakura,Zamfara,2015,1,2064,1,0.6,5
76,Bakura,Zamfara,2015,2,2096,1,0.6,5
77,Bakura,Zamfara,2015,3,2122,1,0.6,5
78,Bakura,Zamfara,2015,4,2156,1,0.6,5
79,Birnin Magaji,Zamfara,2015,1,2064,1,0.6,5
80,Birnin Magaji,Zamfara,2015,2,2096,1,0.6,5
81,Birnin Magaji,Zamfara,2015,3,2122,1,0.6,5
82,Birnin Magaji,Zamfara,2015,4,2156,1,0.6,5
