,repDS,time2,PfPr_microscopy,ci_l,ci_u,PfPr_RDT,ci_l,ci_u,Number of Kids
1,Alkaleri,Oct-10,0.446927365,0.383893469,0.509961262,0.372097771,0.164149677,0.580045866,30
2,Alkaleri,Nov-10,0.300175489,0.148015088,0.45233589,0.260378871,0.104453212,0.416304529,70
3,Alkaleri,Dec-10,0.247141504,0.179366134,0.314916875,0.310426673,0.140912493,0.479940853,107
4,Aniocha South,Oct-10,0.155185416,0.003202018,0.307168814,0.176428206,0.10484317,0.248013241,89
5,Aniocha South,Nov-10,0.271327459,0.191650667,0.351004252,0.395849026,0.28401084,0.507687212,287
6,Aniocha South,Dec-10,0,0,0,0,0,0,4
7,Bakura,Oct-10,0.527777778,0.527777778,0.527777778,0.75,0.75,0.75,24
8,Bakura,Nov-10,0.624546991,0.397567247,0.851526734,0.730077699,0.632578879,0.827576519,161
9,Bakura,Dec-10,0.56,0.56,0.56,0.72,0.72,0.72,39
10,Dandume,Oct-10,0.678918525,0.48697491,0.870862139,0.694403602,0.53791215,0.850895055,339
11,Dandume,Dec-10,0.250952142,0.144501305,0.357402979,0.70189043,0.436786903,0.966993957,60
12,Degema,Oct-10,0.448982099,0.394243317,0.50372088,0.406964948,0.359739333,0.454190563,37
13,Degema,Nov-10,0.156521425,0.085946158,0.227096693,0.610325075,0.341940695,0.878709454,124
14,Emohua,Oct-10,0.15518677,-0.007526217,0.317899757,0.204964401,-0.01756927,0.427498073,101
15,Emohua,Nov-10,0.206307338,0.047873639,0.364741037,0.705535445,0.57228277,0.83878812,111
16,Geidam,Oct-10,0.288697705,0.081662601,0.495732808,0.788928134,0.698772573,0.879083696,95
17,Geidam,Nov-10,0.491412669,0.473006369,0.509818969,0.944429167,0.858352,1.030506333,71
18,Gujba,Oct-10,0.451562246,0.239874165,0.663250328,0.388988998,0.24789546,0.530082536,166
19,Gujba,Nov-10,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,30
20,Ikom,Oct-10,0.50557239,0.44457022,0.566574561,0.60380053,0.455780122,0.751820937,90
21,Ikom,Nov-10,0.107142857,0.107142857,0.107142857,0.571428571,0.571428571,0.571428571,18
22,Ikom,Dec-10,0.309420706,0.246870701,0.37197071,0.422795041,0.389242563,0.456347519,41
23,Katagum,Oct-10,0.52405424,0.395878201,0.652230278,0.466397131,0.296295432,0.63649883,152
24,Katagum,Nov-10,0.379668555,0.240579756,0.518757355,0.396266882,0.274802126,0.517731638,298
25,Kogi,Oct-10,0.459821143,0.367337525,0.552304761,0.361611927,0.324553266,0.398670587,117
26,Kogi,Nov-10,0.375274488,0.292935715,0.457613261,0.442154885,0.300358811,0.58395096,220
27,Kogi,Dec-10,0.297447585,-0.044335802,0.639230972,0.224342485,0.085079724,0.363605245,81
28,Konshisha,Oct-10,0.633809878,0.562899487,0.704720269,0.638321212,0.516148314,0.76049411,200
29,Konshisha,Nov-10,0.648907957,0.564803231,0.733012683,0.568858222,0.467811287,0.669905157,155
30,Konshisha,Dec-10,0.682972032,0.468928554,0.89701551,0.63496741,0.383128685,0.886806136,196
31,Maiduguri,Oct-10,0.333333333,0.333333333,0.333333333,0.805555556,0.805555556,0.805555556,19
32,Maiduguri,Nov-10,0.175523702,0.067833514,0.28321389,0.344858966,-0.217872042,0.907589974,37
33,Maiduguri,Dec-10,0.076780696,0.032136637,0.121424755,0.011528216,-0.013803048,0.03685948,83
34,Ngor-Okpala,Oct-10,0.209025375,0.184534322,0.233516427,0.204083756,0.137468278,0.270699234,55
35,Ngor-Okpala,Nov-10,0.4127814,0.293860876,0.531701924,0.537962724,0.419312741,0.656612707,123
36,Ngor-Okpala,Dec-10,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333,7
37,Owo,Oct-10,0.514898262,0.239630392,0.790166133,0.581719375,0.343043102,0.820395648,275
38,Owo,Nov-10,0.542643258,0.455232957,0.630053559,0.711400541,0.522934223,0.89986686,206
39,Owo,Dec-10,0.5,0.5,0.5,0.6,0.6,0.6,23
40,Rimi,Oct-10,0.590404442,0.429015128,0.751793755,0.673125078,0.591278845,0.754971311,214
41,Sabon-Gari,Oct-10,0.250057032,-0.072295038,0.572409102,0.327525677,-0.007333901,0.662385255,61
42,Sabon-Gari,Nov-10,0.16073291,0.011415593,0.310050226,0.084385287,0.065188862,0.103581712,83
43,Tafa,Oct-10,0.161498388,0.113079949,0.209916828,0.217110868,0.151851232,0.282370504,16
44,Tafa,Nov-10,0.403249467,0.195245165,0.611253769,0.294579948,0.068058654,0.521101242,107
45,Tafa,Dec-10,0.254520542,0.207279498,0.301761586,0.211351372,0.142556409,0.280146335,39
46,Taura,Oct-10,0.239287744,0.11263184,0.365943648,0.676199435,0.462214926,0.890183943,229
47,Uruan,Oct-10,0.312433813,0.140591648,0.484275978,0.331430123,0.233967402,0.428892843,38
48,Uruan,Nov-10,0.294618415,0.166727935,0.422508896,0.548160222,0.395675899,0.700644544,78
