,seasonality,month,cases,population,incidence
0,Ahoada West,1,1432.6,1000,20.77725437415881
1,Ahoada West,2,1410.6000000000001,1000,20.45818443402794
2,Ahoada West,3,1367.4,1000,19.83164709704367
3,Ahoada West,4,1466.0,1000,21.26166055599387
4,Ahoada West,5,1753.4,1000,25.429874228430876
5,Ahoada West,6,1746.6000000000001,1000,25.331252610572243
6,Ahoada West,7,1536.8,1000,22.288485636051423
7,Ahoada West,8,1584.0,1000,22.97303568942312
8,Ahoada West,9,1230.8000000000002,1000,17.850512832412864
9,Ahoada West,10,1445.3999999999999,1000,20.9628950665986
10,Ahoada West,11,1669.4000000000003,1000,24.211607184294802
11,Ahoada West,12,1139.3999999999999,1000,16.52492226296004
12,Akinyele,1,4807.099999999999,1000,31.445384813640743
13,Akinyele,2,5679.900000000001,1000,37.154758836512265
14,Akinyele,3,5767.100000000001,1000,37.72517292312363
15,Akinyele,4,5702.999999999999,1000,37.30586623789669
16,Akinyele,5,6233.799999999999,1000,40.77806574676492
17,Akinyele,6,5685.999999999999,1000,37.194661656791254
18,Akinyele,7,4973.799999999999,1000,32.535843853068656
19,Akinyele,8,5585.200000000001,1000,36.53528390529557
20,Akinyele,9,5731.699999999997,1000,37.493605736586424
21,Akinyele,10,6309.399999999999,1000,41.272599060386696
22,Akinyele,11,6511.000000000001,1000,42.59135456337811
23,Akinyele,12,4624.600000000001,1000,30.25157092824427
24,Alkaleri,1,7101.799999999998,1000,27.563103119957905
25,Alkaleri,2,7237.4,1000,28.089386144411748
26,Alkaleri,3,7570.4,1000,29.381806846057245
27,Alkaleri,4,8281.800000000001,1000,32.142852152815834
28,Alkaleri,5,7683.600000000001,1000,29.821152261751756
29,Alkaleri,6,9243.999999999998,1000,35.87728818621911
30,Alkaleri,7,9504.600000000002,1000,36.88871411669605
31,Alkaleri,8,10524.4,1000,40.846704001194766
32,Alkaleri,9,9728.400000000001,1000,37.757313975639775
33,Alkaleri,10,10608.199999999999,1000,41.171943805392644
34,Alkaleri,11,9822.800000000001,1000,38.123693898268414
35,Alkaleri,12,7775.799999999997,1000,30.178993669234373
36,Babura,1,2107.4,1000,66.56512699933857
37,Babura,2,1654.0,1000,52.24386450455823
38,Babura,3,1957.6,1000,61.83348800128366
39,Babura,4,2098.0,1000,66.26821507289188
40,Babura,5,3017.1999999999994,1000,95.30241111436098
41,Babura,6,1632.9999999999998,1000,51.58055062632623
42,Babura,7,2050.4,1000,64.76470361556602
43,Babura,8,1754.5999999999997,1000,55.42145384504102
44,Babura,9,1595.4,1000,50.39290292053943
45,Babura,10,1672.2,1000,52.81873653235929
46,Babura,11,1355.1999999999998,1000,42.805855608571534
47,Babura,12,1149.8,1000,36.318014151959524
48,Birnin Kebbi,1,6219.8,1000,81.07876285993545
49,Birnin Kebbi,2,5798.200000000001,1000,75.58295810387436
50,Birnin Kebbi,3,5808.0,1000,75.71070688615471
51,Birnin Kebbi,4,5952.400000000001,1000,77.59304608628571
52,Birnin Kebbi,5,6068.2,1000,79.10256741159849
53,Birnin Kebbi,6,6189.8,1000,80.68769515907722
54,Birnin Kebbi,7,6479.0,1000,84.45758779535062
55,Birnin Kebbi,8,7083.2,1000,92.33369129063553
56,Birnin Kebbi,9,7036.600000000001,1000,91.72623279530241
57,Birnin Kebbi,10,7313.199999999999,1000,95.33187699721532
58,Birnin Kebbi,11,6920.000000000001,1000,90.20628299796671
59,Birnin Kebbi,12,5799.399999999999,1000,75.59860081190867
60,Darazo,1,3588.2000000000003,1000,24.480868053565633
61,Darazo,2,3506.4000000000005,1000,23.92277903768534
62,Darazo,3,3958.2000000000003,1000,27.00523157282857
63,Darazo,4,3660.9999999999995,1000,24.977553632490874
64,Darazo,5,3659.6000000000004,1000,24.96800198674232
65,Darazo,6,4019.7999999999997,1000,27.425503985765314
66,Darazo,7,4736.0,1000,32.31185304656564
67,Darazo,8,4921.799999999999,1000,33.57949288948199
68,Darazo,9,5077.600000000001,1000,34.64245460921489
69,Darazo,10,4809.4,1000,32.81263218795455
70,Darazo,11,4936.0,1000,33.67637386778885
71,Darazo,12,4526.999999999999,1000,30.88592878838738
72,Gawabawa,1,3539.2000000000003,1000,41.92820458385973
73,Gawabawa,2,3898.0000000000005,1000,46.17883744006703
74,Gawabawa,3,4208.999999999999,1000,49.86319312089329
75,Gawabawa,4,4151.4,1000,49.18081727775635
76,Gawabawa,5,4199.4,1000,49.74946381370381
77,Gawabawa,6,4288.0,1000,50.799090544640165
