,seasonality,month,cases,population,incidence
0,Ahoada West,1,1432.6,1000,35.815
1,Ahoada West,2,1410.6,1000,35.265
2,Ahoada West,3,1367.4,1000,34.185
3,Ahoada West,4,1466,1000,36.65
4,Ahoada West,5,1753.4,1000,43.835
5,Ahoada West,6,1746.6,1000,43.665
6,Ahoada West,7,1536.8,1000,38.42
7,Ahoada West,8,1584,1000,39.6
8,Ahoada West,9,1230.8,1000,30.77
9,Ahoada West,10,1445.4,1000,36.135
10,Ahoada West,11,1669.4,1000,41.735
11,Ahoada West,12,1139.4,1000,28.485
12,Akinyele,1,4807.1,1000,60.08875
13,Akinyele,2,5679.9,1000,70.99875
14,Akinyele,3,5767.1,1000,72.08875
15,Akinyele,4,5703,1000,71.2875
16,Akinyele,5,6233.8,1000,77.9225
17,Akinyele,6,5686,1000,71.075
18,Akinyele,7,4973.8,1000,62.1725
19,Akinyele,8,5585.2,1000,69.815
20,Akinyele,9,5731.7,1000,71.64625
21,Akinyele,10,6309.4,1000,78.8675
22,Akinyele,11,6511,1000,81.3875
23,Akinyele,12,4624.6,1000,57.8075
24,Alkaleri,1,7101.8,1000,59.18166667
25,Alkaleri,2,7237.4,1000,60.31166667
26,Alkaleri,3,7570.4,1000,63.08666667
27,Alkaleri,4,8281.8,1000,69.015
28,Alkaleri,5,7683.6,1000,64.03
29,Alkaleri,6,9244,1000,77.03333333
30,Alkaleri,7,9504.6,1000,79.205
31,Alkaleri,8,10524.4,1000,87.70333333
32,Alkaleri,9,9728.4,1000,81.07
33,Alkaleri,10,10608.2,1000,88.40166667
34,Alkaleri,11,9822.8,1000,81.85666667
35,Alkaleri,12,7775.8,1000,64.79833333
36,Babura,1,2107.4,1000,52.685
37,Babura,2,1654,1000,41.35
38,Babura,3,1957.6,1000,48.94
39,Babura,4,2098,1000,52.45
40,Babura,5,3017.2,1000,75.43
41,Babura,6,1633,1000,40.825
42,Babura,7,2050.4,1000,51.26
43,Babura,8,1754.6,1000,43.865
44,Babura,9,1595.4,1000,39.885
45,Babura,10,1672.2,1000,41.805
46,Babura,11,1355.2,1000,33.88
47,Babura,12,1149.8,1000,28.745
48,Birnin Kebbi,1,6219.8,1000,81.07876286
49,Birnin Kebbi,2,5798.2,1000,75.5829581
50,Birnin Kebbi,3,5808,1000,75.71070689
51,Birnin Kebbi,4,5952.4,1000,77.59304609
52,Birnin Kebbi,5,6068.2,1000,79.10256741
53,Birnin Kebbi,6,6189.8,1000,80.68769516
54,Birnin Kebbi,7,6479,1000,84.4575878
55,Birnin Kebbi,8,7083.2,1000,92.33369129
56,Birnin Kebbi,9,7036.6,1000,91.7262328
57,Birnin Kebbi,10,7313.2,1000,95.331877
