Scenario_no,status,ITN_filename,SMC_filename,ANC_filename,IRS_filename,CM_filename,notes 
1,done,itn_scen1,smc_scen1_core,,,cm_scen1,"done (skips), hold(skips), run, queued"
2,done,itn_scen1,smc_scen2_core,,,cm_scen1,*insecure_(check with Jaline)
3,done,itn_scen1,smc_scen3_core,,,cm_scen1,
4,done,itn_scen1,smc_scen4_core,,,cm_scen1,
5,done,itn_scen1,smc_scen5_all,,,cm_scen1,
6,done,itn_scen1,smc_scen6_all,,,cm_scen1,
7,done,itn_scen1,smc_scen7_all,,,cm_scen1,
8,done,itn_scen1,smc_scen1_core,,,cm_scen2,
9,done,itn_scen1,smc_scen2_core,,,cm_scen2,
10,done,itn_scen1,smc_scen3_core,,,cm_scen2,
11,done,itn_scen1,smc_scen4_core,,,cm_scen2,
12,done,itn_scen1,smc_scen5_all,,,cm_scen2,
13,done,itn_scen1,smc_scen6_all,,,cm_scen2,
14,queued,itn_scen1,smc_scen7_all,,,cm_scen2,
15,queued,itn_scen1,smc_scen1_core,,,cm_scen3,
16,queued,itn_scen1,smc_scen2_core,,,cm_scen3,
17,queued,itn_scen1,smc_scen3_core,,,cm_scen3,
18,queued,itn_scen1,smc_scen4_core,,,cm_scen3,
19,queued,itn_scen1,smc_scen5_all,,,cm_scen3,
20,queued,itn_scen1,smc_scen6_all,,,cm_scen3,
21,queued,itn_scen1,smc_scen7_all,,,cm_scen3,
22,run,itn_scen1,smc_scen1_core ,,,cm_scen4,
23,run,itn_scen1,smc_scen2_core,,,cm_scen4,
24,run,itn_scen1,smc_scen3_core,,,cm_scen4,
25,run,itn_scen1,smc_scen4_core,,,cm_scen4,
26,run,itn_scen1,smc_scen5_all,,,cm_scen4,
27,run,itn_scen1,smc_scen6_all,,,cm_scen4,
28,run,itn_scen1,smc_scen7_all,,,cm_scen4,
