Scenario_no,status,ITN_filename,SMC_filename,ANC_filename,IRS_filename,CM_filename,SMC_maxAge,SMC_LGAs,CM_multiplier,IPTp_relative_coverage,IPTp_string,IPTi_cov_muliplier,future_projection_flag,ScenarioName,notes 
1,queued,itn_scen1,smc_scen1_core,,,cm_scen1,5,core,1.0,1.0,trajectoryCoverage,1.0,True,NGA projection scenario 1 covid,"done (skips), hold(skips), run, queued"
2,queued,itn_scen1,smc_scen2_core,,,cm_scen1,10,core,1.0,1.0,trajectoryCoverage,1.0,True,NGA projection scenario 2 covid,*insecure_(check with Jaline)
3,queued,itn_scen1,smc_scen3_core,,,cm_scen1,15,core,1.0,1.0,trajectoryCoverage,1.0,True,NGA projection scenario 3 covid,
4,queued,itn_scen1,smc_scen4_core,,,cm_scen1,100,core,1.0,1.0,trajectoryCoverage,1.0,True,NGA projection scenario 4 covid,
5,queued,itn_scen1,smc_scen5_all,,,cm_scen1,10,all,1.0,1.0,trajectoryCoverage,1.0,True,NGA projection scenario 5 covid,
6,queued,itn_scen1,smc_scen6_all,,,cm_scen1,15,all,1.0,1.0,trajectoryCoverage,1.0,True,NGA projection scenario 6 covid,
7,queued,itn_scen1,smc_scen7_all,,,cm_scen1,100,all,1.0,1.0,trajectoryCoverage,1.0,True,NGA projection scenario 7 covid,
8,queued,itn_scen1,smc_scen1_core,,,cm_scen2,5,core,0.75,0.75,trajectoryCoverage_down25,0.75,True,NGA projection scenario 8 covid,
9,queued,itn_scen1,smc_scen2_core,,,cm_scen2,10,core,0.75,0.75,trajectoryCoverage_down25,0.75,True,NGA projection scenario 9 covid,
10,queued,itn_scen1,smc_scen3_core,,,cm_scen2,15,core,0.75,0.75,trajectoryCoverage_down25,0.75,True,NGA projection scenario 10 covid,
11,queued,itn_scen1,smc_scen4_core,,,cm_scen2,100,core,0.75,0.75,trajectoryCoverage_down25,0.75,True,NGA projection scenario 11 covid,
12,queued,itn_scen1,smc_scen5_all,,,cm_scen2,10,all,0.75,0.75,trajectoryCoverage_down25,0.75,True,NGA projection scenario 12 covid,
13,queued,itn_scen1,smc_scen6_all,,,cm_scen2,15,all,0.75,0.75,trajectoryCoverage_down25,0.75,True,NGA projection scenario 13 covid,
14,queued,itn_scen1,smc_scen7_all,,,cm_scen2,100,all,0.75,0.75,trajectoryCoverage_down25,0.75,True,NGA projection scenario 14 covid,
15,queued,itn_scen1,smc_scen1_core,,,cm_scen3,5,core,0.5,0.5,trajectoryCoverage_down50,0.5,True,NGA projection scenario 15 covid,
16,queued,itn_scen1,smc_scen2_core,,,cm_scen3,10,core,0.5,0.5,trajectoryCoverage_down50,0.5,True,NGA projection scenario 16 covid,
17,queued,itn_scen1,smc_scen3_core,,,cm_scen3,15,core,0.5,0.5,trajectoryCoverage_down50,0.5,True,NGA projection scenario 17 covid,
18,queued,itn_scen1,smc_scen4_core,,,cm_scen3,100,core,0.5,0.5,trajectoryCoverage_down50,0.5,True,NGA projection scenario 18 covid,
19,queued,itn_scen1,smc_scen5_all,,,cm_scen3,10,all,0.5,0.5,trajectoryCoverage_down50,0.5,True,NGA projection scenario 19 covid,
20,queued,itn_scen1,smc_scen6_all,,,cm_scen3,15,all,0.5,0.5,trajectoryCoverage_down50,0.5,True,NGA projection scenario 20 covid,
21,queued,itn_scen1,smc_scen7_all,,,cm_scen3,100,all,0.5,0.5,trajectoryCoverage_down50,0.5,True,NGA projection scenario 21 covid,
22,queued,itn_scen1,smc_scen1_core,,,cm_scen4,5,core,0.25,0.25,trajectoryCoverage_down75,0.25,True,NGA projection scenario 22 covid,
23,queued,itn_scen1,smc_scen2_core,,,cm_scen4,10,core,0.25,0.25,trajectoryCoverage_down75,0.25,True,NGA projection scenario 23 covid,
24,queued,itn_scen1,smc_scen3_core,,,cm_scen4,15,core,0.25,0.25,trajectoryCoverage_down75,0.25,True,NGA projection scenario 24 covid,
25,queued,itn_scen1,smc_scen4_core,,,cm_scen4,100,core,0.25,0.25,trajectoryCoverage_down75,0.25,True,NGA projection scenario 25 covid,
26,queued,itn_scen1,smc_scen5_all,,,cm_scen4,10,all,0.25,0.25,trajectoryCoverage_down75,0.25,True,NGA projection scenario 26 covid,
27,queued,itn_scen1,smc_scen6_all,,,cm_scen4,15,all,0.25,0.25,trajectoryCoverage_down75,0.25,True,NGA projection scenario 27 covid,
28,queued,itn_scen1,smc_scen7_all,,,cm_scen4,120,all,0.25,0.25,trajectoryCoverage_down75,0.25,True,NGA projection scenario 28 covid,
29,queued,itn_scen1,smc_scen1_core,,,cm_scen5,5,core,0.0,0.0,,0.0,True,,
30,queued,itn_scen1,smc_scen2_core,,,cm_scen5,10,core,0.0,0.0,,0.0,True,,
31,queued,itn_scen1,smc_scen3_core,,,cm_scen5,15,core,0.0,0.0,,0.0,True,,
32,queued,itn_scen1,smc_scen4_core,,,cm_scen5,100,core,0.0,0.0,,0.0,True,,
33,queued,itn_scen1,smc_scen5_all,,,cm_scen5,10,all,0.0,0.0,,0.0,True,,
34,queued,itn_scen1,smc_scen6_all,,,cm_scen5,15,all,0.0,0.0,,0.0,True,,
35,queued,itn_scen1,smc_scen7_all,,,cm_scen5,100,core,0.0,0.0,,0.0,True,,
