LGA,Rep_DS,U5_coverage,adult_coverage,simday,duration,year,round,severe_cases
Aba North,Ngor-Okpala,0.252370953,0.252370953,71,365,2020,1,0.407340901
Aba North,Ngor-Okpala,0.292211854,0.292211854,436,295,2021,2,0.447181802
Aba South,Ngor-Okpala,0.252370953,0.252370953,71,365,2020,1,0.407340901
Aba South,Ngor-Okpala,0.292211854,0.292211854,436,295,2021,2,0.447181802
Abadam,Babura,0.311171623,0.311171623,71,365,2020,1,0.416713604
Abadam,Babura,0.360385226,0.360385226,436,295,2021,2,0.465927206
Abaji,Keana,0.20201968,0.20201968,71,365,2020,1,0.384921548
Abaji,Keana,0.219441227,0.219441227,436,295,2021,2,0.402343095
Abak,Nsit Ubium,0.257595628,0.257595628,71,365,2020,1,0.401799807
Abak,Nsit Ubium,0.291895435,0.291895435,436,295,2021,2,0.436099614
Abakaliki,Owan East,0.296378442,0.296378442,71,365,2020,1,0.399316784
Abakaliki,Owan East,0.328195226,0.328195226,436,295,2021,2,0.431133567
Abeokuta North,Owan East,0.419172122,0.419172122,71,365,2020,1,0.399316784
Abeokuta North,Owan East,0.450988906,0.450988906,436,295,2021,2,0.431133567
Abeokuta South,Uzo-Uwani,0.647744677,0.647744677,71,365,2020,1,0.420162724
Abeokuta South,Uzo-Uwani,0.700407401,0.700407401,436,295,2021,2,0.472825448
Abi,Obubra,0.154162869,0.154162869,71,365,2020,1,0.412791899
Abi,Obubra,0.199454769,0.199454769,436,295,2021,2,0.458083799
Aboh-Mbaise,Ngor-Okpala,0.321090901,0.321090901,71,365,2020,1,0.407340901
Aboh-Mbaise,Ngor-Okpala,0.360931802,0.360931802,436,295,2021,2,0.447181802
Abua-Odual,Ahoada West,0.092265002,0.092265002,71,365,2020,1,0.381385565
Abua-Odual,Ahoada West,0.106150567,0.106150567,436,295,2021,2,0.395271129
Abuja Municipal,Keana,0.053514365,0.053514365,71,365,2020,1,0.384921548
Abuja Municipal,Keana,0.070935912,0.070935912,436,295,2021,2,0.402343095
Adavi,Owan East,0.241023868,0.241023868,71,365,2020,1,0.399316784
Adavi,Owan East,0.272840651,0.272840651,436,295,2021,2,0.431133567
Ado,Akinyele,0.149452687,0.149452687,71,365,2020,1,0.388480454
Ado,Akinyele,0.17043314,0.17043314,436,295,2021,2,0.409460906
Ado Ekiti,Owan East,0.241023868,0.241023868,71,365,2020,1,0.399316784
Ado Ekiti,Owan East,0.272840651,0.272840651,436,295,2021,2,0.431133567
Ado-Odo-Ota,Uzo-Uwani,0.367807088,0.367807088,71,365,2020,1,0.420162724
Ado-Odo-Ota,Uzo-Uwani,0.420469812,0.420469812,436,295,2021,2,0.472825448
Afijio,Akinyele,0.13717513,0.13717513,71,365,2020,1,0.388480454
Afijio,Akinyele,0.158155583,0.158155583,436,295,2021,2,0.409460906
Afikpo North,Oru West,0.700219187,0.700219187,71,365,2020,1,0.419759999
Afikpo North,Oru West,0.75,0.75,436,295,2021,2,0.472019998
Afikpo South,Ngor-Okpala,0.393054748,0.393054748,71,365,2020,1,0.407340901
Afikpo South,Ngor-Okpala,0.432895649,0.432895649,436,295,2021,2,0.447181802
Agaie,Oke-Ero,0.208338133,0.208338133,71,365,2020,1,0.390708441
Agaie,Oke-Ero,0.231546574,0.231546574,436,295,2021,2,0.413916882
Agatu,Keana,0.150311957,0.150311957,71,365,2020,1,0.384921548
Agatu,Keana,0.167733505,0.167733505,436,295,2021,2,0.402343095
Agege,Uzo-Uwani,0.367807088,0.367807088,71,365,2020,1,0.420162724
Agege,Uzo-Uwani,0.420469812,0.420469812,436,295,2021,2,0.472825448
Aguata,Oru West,0.378590988,0.378590988,71,365,2020,1,0.419759999
Aguata,Oru West,0.430850987,0.430850987,436,295,2021,2,0.472019998
Agwara,Birnin Kebbi,0.364414869,0.364414869,71,365,2020,1,0.415223109
Agwara,Birnin Kebbi,0.412137978,0.412137978,436,295,2021,2,0.462946218
Ahiazu-Mbaise,Ngor-Okpala,0.252370953,0.252370953,71,365,2020,1,0.407340901
Ahiazu-Mbaise,Ngor-Okpala,0.292211854,0.292211854,436,295,2021,2,0.447181802
Ahoada East,Ahoada West,0.239382983,0.239382983,71,365,2020,1,0.381385565
Ahoada East,Ahoada West,0.253268548,0.253268548,436,295,2021,2,0.395271129
Ahoada West,Ahoada West,0.263885564,0.263885564,71,365,2020,1,0.381385565
Ahoada West,Ahoada West,0.277771129,0.277771129,436,295,2021,2,0.395271129
Aiyedade,Akinyele,0.13717513,0.13717513,71,365,2020,1,0.388480454
Aiyedade,Akinyele,0.158155583,0.158155583,436,295,2021,2,0.409460906
Aiyedire,Akinyele,0.13717513,0.13717513,71,365,2020,1,0.388480454
Aiyedire,Akinyele,0.158155583,0.158155583,436,295,2021,2,0.409460906
Ajaokuta,Owan East,0.241023868,0.241023868,71,365,2020,1,0.399316784
Ajaokuta,Owan East,0.272840651,0.272840651,436,295,2021,2,0.431133567
Ajeromi-Ifelodun,Uzo-Uwani,0.57575189,0.57575189,71,365,2020,1,0.420162724
Ajeromi-Ifelodun,Uzo-Uwani,0.628414615,0.628414615,436,295,2021,2,0.472825448
Ajingi,Taura,0.154029905,0.154029905,71,365,2020,1,0.390333875
Ajingi,Taura,0.17686378,0.17686378,436,295,2021,2,0.413167749
Akamkpa,Ngor-Okpala,0.183381599,0.183381599,71,365,2020,1,0.407340901
Akamkpa,Ngor-Okpala,0.2232225,0.2232225,436,295,2021,2,0.447181802
Akinyele,Akinyele,0.13717513,0.13717513,71,365,2020,1,0.388480454
Akinyele,Akinyele,0.158155583,0.158155583,436,295,2021,2,0.409460906
Akko,Alkaleri,0.139460373,0.139460373,71,365,2020,1,0.397532037
Akko,Alkaleri,0.16949241,0.16949241,436,295,2021,2,0.427564074
Akoko North East,Oke-Ero,0.245608919,0.245608919,71,365,2020,1,0.390708441
Akoko North East,Oke-Ero,0.26881736,0.26881736,436,295,2021,2,0.413916882
Akoko North West,Oke-Ero,0.41084393,0.41084393,71,365,2020,1,0.390708441
Akoko North West,Oke-Ero,0.434052371,0.434052371,436,295,2021,2,0.413916882
Akoko South East,Oke-Ero,0.208338133,0.208338133,71,365,2020,1,0.390708441
Akoko South East,Oke-Ero,0.231546574,0.231546574,436,295,2021,2,0.413916882
Akoko South West,Oke-Ero,0.273208441,0.273208441,71,365,2020,1,0.390708441
Akoko South West,Oke-Ero,0.296416882,0.296416882,436,295,2021,2,0.413916882
Akoko-Edo,Owan East,0.357143156,0.357143156,71,365,2020,1,0.399316784
Akoko-Edo,Owan East,0.388959939,0.388959939,436,295,2021,2,0.431133567
Akpabuyo,Nsit Ubium,0.257595628,0.257595628,71,365,2020,1,0.401799807
Akpabuyo,Nsit Ubium,0.291895435,0.291895435,436,295,2021,2,0.436099614
Akuku Toru,Ahoada West,0.313885565,0.313885565,71,365,2020,1,0.381385565
Akuku Toru,Ahoada West,0.327771129,0.327771129,436,295,2021,2,0.395271129
Akure North,Owan East,0.241023868,0.241023868,71,365,2020,1,0.399316784
Akure North,Owan East,0.272840651,0.272840651,436,295,2021,2,0.431133567
