,LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins_plan,mortality,kill_rate,block_initial
1,Aba North,Ngor-Okpala,2020,Aba North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.319067389,0.728614023,0.65
2,Aba South,Ngor-Okpala,2020,Aba South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.311454386,0.726957127,0.65
3,Arochukwu,Ngor-Okpala,2020,Arochukwu,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.431823298,0.742819598,0.65
4,Bende,Ngor-Okpala,2020,Bende,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.451630723,0.744124763,0.65
5,Ikwuano,Ngor-Okpala,2020,Ikwuano,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.469780688,0.74514594,0.65
6,Isiala-Ngwa North,Ngor-Okpala,2020,Isiala-Ngwa North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.347639146,0.733784825,0.65
7,Isiala-Ngwa South,Ngor-Okpala,2020,Isiala-Ngwa South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.381316588,0.738260872,0.65
8,Isuikwato,Ngor-Okpala,2020,Isuikwato,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.414408176,0.741473832,0.65
9,Obi Nwa,Ngor-Okpala,2020,Obi Nwa,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.339144556,0.732401702,0.65
10,Ohafia,Ngor-Okpala,2020,Ohafia,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.433165676,0.742915145,0.65
11,Osisioma Ngwa,Ngor-Okpala,2020,Osisioma Ngwa,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.3223721,0.7292929,0.65
12,Ugwunagbo,Ngor-Okpala,2020,Ugwunagbo,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.311296946,0.726921429,0.65
13,Ukwa East,Nsit Ubium,2020,Ukwa East,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.30363416,0.725109174,0.65
14,Ukwa West,Nsit Ubium,2020,Ukwa West,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.294680951,0.722792365,0.65
15,Umu-Neochi,Oru West,2020,Umu-Neochi,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.436597759,0.743154502,0.65
16,Umuahia North,Ngor-Okpala,2020,Umuahia North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.451576154,0.744121457,0.65
17,Umuahia South,Ngor-Okpala,2020,Umuahia South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.48752647,0.746009794,0.65
18,Demsa,Alkaleri,2020,Demsa,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.495212973,0.74634808,0.65
19,Gireri,Darazo,2020,Gireri,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.658506137,0.75044815,0.843319415
20,Gombi,Alkaleri,2020,Gombi,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.515567645,0.747153033,0.673908406
21,Guyuk,Alkaleri,2020,Guyuk,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.571995521,0.748844595,0.755853881
22,Hong,Darazo,2020,Hong,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.634881453,0.750094944,0.823212171
23,Lamurde,Alkaleri,2020,Lamurde,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.429924862,0.742682577,0.65
24,Mayo-Belwa,Alkaleri,2020,Mayo-Belwa,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.615915722,0.74977065,0.805165057
25,Numan,Alkaleri,2020,Numan,0.833333333,0.8,0.8,0.8,1,july,186,PBO(2021),0.518273564,0.747251003,0.678387
26,Shelleng,Darazo,2020,Shelleng,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.58914423,0.749238946,0.776450833
27,Song,Darazo,2020,Song,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.551949619,0.748320258,0.729369132
28,Yola North,Alkaleri,2020,Yola North,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.581884889,0.749077617,0.767953208
29,Yola South,Alkaleri,2020,Yola South,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.57254926,0.748858066,0.756547718
30,Awka North,Uzo-Uwani,2020,Awka North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.388205397,0.739012279,0.65
