,LGA,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
1,Aba North,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
2,Aba North,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
3,Aba North,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
4,Aba North,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
5,Aba South,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
6,Aba South,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
7,Aba South,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
8,Aba South,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
9,Arochukwu,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
10,Arochukwu,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
11,Arochukwu,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
12,Arochukwu,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
13,Bende,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
14,Bende,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
15,Bende,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
16,Bende,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
17,Ikwuano,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
18,Ikwuano,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
19,Ikwuano,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
20,Ikwuano,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
21,Isiala-Ngwa North,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
22,Isiala-Ngwa North,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
23,Isiala-Ngwa North,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
24,Isiala-Ngwa North,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
25,Isiala-Ngwa South,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
26,Isiala-Ngwa South,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
27,Isiala-Ngwa South,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
28,Isiala-Ngwa South,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
29,Isuikwato,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
30,Isuikwato,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
31,Isuikwato,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
32,Isuikwato,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
33,Obi Nwa,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
34,Obi Nwa,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
35,Obi Nwa,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
36,Obi Nwa,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
37,Ohafia,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
38,Ohafia,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
39,Ohafia,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
40,Ohafia,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
41,Osisioma Ngwa,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
42,Osisioma Ngwa,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
43,Osisioma Ngwa,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
44,Osisioma Ngwa,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
45,Ugwunagbo,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
46,Ugwunagbo,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
47,Ugwunagbo,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
48,Ugwunagbo,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
49,Ukwa East,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
50,Ukwa East,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
51,Ukwa East,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
52,Ukwa East,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
53,Ukwa West,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
54,Ukwa West,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
55,Ukwa West,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
56,Ukwa West,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
57,Umu-Neochi,Oru West,june,162,2020,1,-1,1,0.6,15
58,Umu-Neochi,Oru West,june,192,2020,2,-1,1,0.6,15
59,Umu-Neochi,Oru West,june,222,2020,3,-1,1,0.6,15
60,Umu-Neochi,Oru West,june,252,2020,4,-1,1,0.6,15
61,Umuahia North,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
62,Umuahia North,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
63,Umuahia North,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
64,Umuahia North,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
65,Umuahia South,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
66,Umuahia South,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
67,Umuahia South,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
68,Umuahia South,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
69,Demsa,Alkaleri,july,186,2020,1,-1,1,0.6,15
70,Demsa,Alkaleri,july,216,2020,2,-1,1,0.6,15
71,Demsa,Alkaleri,july,246,2020,3,-1,1,0.6,15
72,Demsa,Alkaleri,july,276,2020,4,-1,1,0.6,15
73,Gireri,Darazo,july,186,2020,1,-1,1,0.6,15
74,Gireri,Darazo,july,216,2020,2,-1,1,0.6,15
75,Gireri,Darazo,july,246,2020,3,-1,1,0.6,15
76,Gireri,Darazo,july,276,2020,4,-1,1,0.6,15
77,Gombi,Alkaleri,july,186,2020,1,-1,1,0.6,15
78,Gombi,Alkaleri,july,216,2020,2,-1,1,0.6,15
79,Gombi,Alkaleri,july,246,2020,3,-1,1,0.6,15
80,Gombi,Alkaleri,july,276,2020,4,-1,1,0.6,15
81,Guyuk,Alkaleri,july,186,2020,1,-1,1,0.6,15
82,Guyuk,Alkaleri,july,216,2020,2,-1,1,0.6,15
83,Guyuk,Alkaleri,july,246,2020,3,-1,1,0.6,15
84,Guyuk,Alkaleri,july,276,2020,4,-1,1,0.6,15
85,Hong,Darazo,july,186,2020,1,-1,1,0.6,15
86,Hong,Darazo,july,216,2020,2,-1,1,0.6,15
87,Hong,Darazo,july,246,2020,3,-1,1,0.6,15
88,Hong,Darazo,july,276,2020,4,-1,1,0.6,15
