,LGA,time2,month,year ,PfPr_microscopy,ci_l,ci_u,Number of Kids,PfPr_RDT,ci_l,ci_u,Number of Kids
1,Aba South,10-Nov,11,2010,0.666666667,0.666666667,0.666666667,3,0.666666667,0.666666667,0.666666667,3
2,Abak,10-Nov,11,2010,0.269230769,0.269230769,0.269230769,19,0.307692308,0.307692308,0.307692308,19
3,Abi,10-Oct,10,2010,0.458333333,0.458333333,0.458333333,29,0.541666667,0.541666667,0.541666667,29
4,Abuja Municipal,10-Nov,11,2010,0,0,0,1,0,0,0,1
5,Abuja Municipal,10-Dec,12,2010,0.104308401,0.070189544,0.138427259,5,0,0,0,5
6,Adavi,10-Nov,11,2010,0.5,0.5,0.5,8,0.571428571,0.571428571,0.571428571,8
7,Ado,10-Nov,11,2010,0.725,0.725,0.725,28,0.625,0.625,0.625,28
8,Ado Ekiti,10-Oct,10,2010,0,0,0,13,0,0,0,13
9,Ado-Odo-Ota,10-Oct,10,2010,0,0,0,7,0.285714286,0.285714286,0.285714286,7
10,Afikpo South,10-Dec,12,2010,0.583333333,0.583333333,0.583333333,7,0.583333333,0.583333333,0.583333333,7
11,Ahiazu-Mbaise,10-Nov,11,2010,0.25,0.25,0.25,17,0.375,0.375,0.375,17
12,Ahoada West,10-Nov,11,2010,0.2,0.2,0.2,26,0.9,0.9,0.9,26
13,Ajeromi-Ifelodun,10-Nov,11,2010,0,0,0,16,0.056366207,-0.013337752,0.126070166,15
14,Akko,10-Dec,12,2010,0.25,0.25,0.25,25,0.214285714,0.214285714,0.214285714,25
15,Akoko South West,10-Nov,11,2010,0.294544236,0.249585,0.339503473,24,0.337275468,0.236117186,0.43843375,24
16,Akoko-Edo,10-Oct,10,2010,0.722222222,0.722222222,0.722222222,5,0.388888889,0.388888889,0.388888889,5
17,Akpabuyo,10-Oct,10,2010,0.433333333,0.433333333,0.433333333,19,0.4,0.4,0.4,19
18,Alimosho,10-Nov,11,2010,0,0,0,5,0.2,0.2,0.2,5
19,Alimosho,10-Dec,12,2010,0,0,0,4,0,0,0,4
20,Amuwo-Odofin,10-Nov,11,2010,0,0,0,5,0.285714286,0.285714286,0.285714286,5
21,Anaocha,10-Oct,10,2010,0.166666667,0.166666667,0.166666667,8,0.333333333,0.333333333,0.333333333,8
22,Anaocha,10-Nov,11,2010,0.309707377,0.228590658,0.390824096,21,0.20261959,0.097167856,0.308071325,21
23,Andoni,10-Nov,11,2010,0.363636364,0.363636364,0.363636364,11,0.869565217,0.869565217,0.869565217,11
24,Ankpa,10-Nov,11,2010,0.411764706,0.411764706,0.411764706,13,0.529411765,0.529411765,0.529411765,13
25,Ankpa,10-Dec,12,2010,0.5,0.5,0.5,3,0.5,0.5,0.5,3
26,Asa,10-Oct,10,2010,0.884615385,0.884615385,0.884615385,38,0.652173913,0.652173913,0.652173913,34
27,Asari-Toru,10-Nov,11,2010,0.1875,0.1875,0.1875,14,0.5,0.5,0.5,14
28,Askira-Uba,10-Nov,11,2010,0.041666667,0.041666667,0.041666667,17,0.208333333,0.208333333,0.208333333,17
29,Augie,10-Dec,12,2010,0.56,0.56,0.56,39,0.72,0.72,0.72,39
30,Ayamelum,10-Oct,10,2010,0.086956522,0.086956522,0.086956522,12,0,0,0,12
31,Bagwai,10-Nov,11,2010,0.565217391,0.565217391,0.565217391,25,0.434782609,0.434782609,0.434782609,25
32,Bassa1,10-Nov,11,2010,0.25,0.25,0.25,10,0.333333333,0.333333333,0.333333333,10
33,Bassa2,10-Oct,10,2010,0.8,0.8,0.8,15,0.864864865,0.864864865,0.864864865,16
34,Bauchi,10-Oct,10,2010,0.482758621,0.482758621,0.482758621,22,0.275862069,0.275862069,0.275862069,22
35,Bauchi,10-Nov,11,2010,0.52,0.52,0.52,18,0.44,0.44,0.44,18
36,Baure,10-Oct,10,2010,0.214285714,0.214285714,0.214285714,39,0.904761905,0.904761905,0.904761905,39
37,Bebeji,10-Nov,11,2010,0.435897436,0.435897436,0.435897436,60,0.41025641,0.41025641,0.41025641,60
38,Bende,10-Nov,11,2010,1,1,1,6,0.909090909,0.909090909,0.909090909,6
39,Bindawa,10-Oct,10,2010,0.444444444,0.444444444,0.444444444,53,0.666666667,0.666666667,0.666666667,53
40,Birni Kudu,10-Oct,10,2010,0.608695652,0.608695652,0.608695652,31,0.260869565,0.260869565,0.260869565,31
41,Birnin-Gwari,10-Dec,12,2010,0.296296296,0.296296296,0.296296296,51,0.814814815,0.814814815,0.814814815,51
42,Boki,10-Oct,10,2010,0.473684211,0.473684211,0.473684211,27,0.473684211,0.473684211,0.473684211,27
43,Borgu,10-Dec,12,2010,0.909090909,0.909090909,0.909090909,45,0.787878788,0.787878788,0.787878788,45
44,Boripe,10-Nov,11,2010,0.666666667,0.666666667,0.666666667,37,0.708401176,0.664166578,0.752635775,37
45,Brass,10-Oct,10,2010,0.526315789,0.526315789,0.526315789,9,0.45,0.45,0.45,10
46,Brass,10-Nov,11,2010,0.333333333,0.333333333,0.333333333,3,0.833333333,0.833333333,0.833333333,3
47,Bungudu,10-Oct,10,2010,0.4,0.4,0.4,55,0.366666667,0.366666667,0.366666667,55
48,Burutu,10-Nov,11,2010,0.142857143,0.142857143,0.142857143,29,0.107142857,0.107142857,0.107142857,29
49,Calabar South,10-Oct,10,2010,0.185185185,0.185185185,0.185185185,18,0.259259259,0.259259259,0.259259259,18
50,Chanchaga,10-Nov,11,2010,0,0,0,20,0.058823529,0.058823529,0.058823529,20
51,Chibok,10-Oct,10,2010,0,0,0,2,0,0,0,2
52,Chibok,10-Nov,11,2010,0.413793103,0.413793103,0.413793103,30,0.413793103,0.413793103,0.413793103,30
53,Chikun,10-Dec,12,2010,0.275862069,0.275862069,0.275862069,34,0.24137931,0.24137931,0.24137931,34
54,Dala,10-Dec,12,2010,0.103448276,0.103448276,0.103448276,52,0,0,0,52
55,Damban,10-Oct,10,2010,0.111111111,0.111111111,0.111111111,15,0.210526316,0.210526316,0.210526316,16
56,Damban,10-Nov,11,2010,0.117647059,0.117647059,0.117647059,14,0.222222222,0.222222222,0.222222222,15
