,LGA,time2,month,year ,PfPr_RDT,ci_l,ci_u,Number of Kids,PfPr_microscopy,ci_l,ci_u,Number of Kids
1,Aba North,18-Dec,12,2018,0,0,0,9,0,0,0,7
2,Aba South,18-Nov,11,2018,0.397599464,0.156310712,0.638888216,11,0.39186698,0.140744229,0.642989731,9
3,Aba South,18-Dec,12,2018,0,0,0,8,0.179912716,-0.133695043,0.493520475,5
4,Abaji,18-Nov,11,2018,0.142857143,0.142857143,0.142857143,7,0,0,0,5
5,Abaji,18-Dec,12,2018,0,0,0,1,0,0,0,1
6,Abaji,18-Aug,8,2018,0.433536108,0.352570175,0.51450204,8,0.315534012,0.266925198,0.364142826,6
7,Abaji,18-Sep,9,2018,0.428571429,0.428571429,0.428571429,5,0.333333333,0.333333333,0.333333333,4
8,Abak,18-Aug,8,2018,0.428571429,0.428571429,0.428571429,7,0.166666667,0.166666667,0.166666667,6
9,Abakaliki,18-Dec,12,2018,0.585795881,0.496101288,0.675490473,15,0.359970836,0.075760069,0.644181602,12
10,Abeokuta North,18-Aug,8,2018,0.214285714,0.214285714,0.214285714,21,0.25,0.25,0.25,18
11,Abeokuta North,18-Sep,9,2018,0.631058669,0.537631832,0.724485505,26,0.226080993,0.166125321,0.286036665,14
12,Abeokuta South,18-Aug,8,2018,0.142857143,0.142857143,0.142857143,5,0.285714286,0.285714286,0.285714286,5
13,Abeokuta South,18-Sep,9,2018,0.312240657,0.278728398,0.345752916,12,0.168508336,-0.069143187,0.40615986,9
14,Abi,18-Sep,9,2018,1,1,1,2,1,1,1,1
15,Aboh-Mbaise,18-Nov,11,2018,0.111111111,0.111111111,0.111111111,14,0,0,0,14
16,Abua-Odual,18-Nov,11,2018,0.344715365,0.143631827,0.545798903,16,0.297558163,0.103569426,0.491546899,10
17,Abuja Municipal,18-Oct,10,2018,0.052987378,0.012696858,0.093277899,16,0.070551699,0.01503425,0.126069148,12
18,Abuja Municipal,18-Nov,11,2018,0,0,0,2,0,0,0,1
19,Abuja Municipal,18-Dec,12,2018,0,0,0,1,0,0,0,1
20,Abuja Municipal,18-Aug,8,2018,0,0,0,6,0,0,0,4
21,Adavi,18-Sep,9,2018,0.222022961,-0.106425013,0.550470936,14,0.353605758,0.002785427,0.70442609,7
22,Ado,18-Nov,11,2018,0.246268635,0.186334026,0.306203243,7,0,0,0,4
23,Ado Ekiti,18-Aug,8,2018,0,0,0,14,0.137404521,-0.010959128,0.28576817,10
24,Ado Ekiti,18-Sep,9,2018,0.555555556,0.555555556,0.555555556,7,0.375,0.375,0.375,6
25,Ado-Odo-Ota,18-Oct,10,2018,0.60521237,0.288548483,0.921876258,10,0.389779948,0.07454586,0.705014036,8
26,Ado-Odo-Ota,18-Nov,11,2018,0.333333333,0.333333333,0.333333333,8,0.4,0.4,0.4,7
27,Ado-Odo-Ota,18-Sep,9,2018,0.112248164,-0.029992793,0.254489122,39,0.079165395,-0.020983445,0.179314235,29
28,Afijio,18-Oct,10,2018,0,0,0,10,0,0,0,6
29,Afikpo North,18-Dec,12,2018,0.508866619,-0.062979584,1.080712823,23,0.524934387,-0.022741817,1.072610591,20
30,Afikpo South,18-Nov,11,2018,0.458477408,0.246264815,0.670690002,18,0.258086652,0.088084307,0.428088998,15
31,Afikpo South,18-Dec,12,2018,0,0,0,3,0,0,0,2
32,Agatu,18-Nov,11,2018,0.3,0.3,0.3,11,0.2,0.2,0.2,5
33,Agege,18-Aug,8,2018,0,0,0,14,0,0,0,12
34,Agege,18-Sep,9,2018,0,0,0,2,0,0,0,1
35,Aguata,18-Sep,9,2018,0.16976147,0.090374405,0.249148536,68,0.135003723,0.035221656,0.234785791,54
36,Ahiazu-Mbaise,18-Nov,11,2018,0,0,0,5,0,0,0,4
37,Ahoada East,18-Nov,11,2018,0.297256096,0.239214795,0.355297398,14,0,0,0,10
38,Ahoada West,18-Nov,11,2018,0,0,0,1,0,0,0,1
39,Aiyedade,18-Dec,12,2018,0.833333333,0.833333333,0.833333333,9,0,0,0,6
40,Ajaokuta,18-Oct,10,2018,0,0,0,2,0,0,0,2
41,Ajeromi-Ifelodun,18-Nov,11,2018,0.085660374,0.042797526,0.128523221,48,0,0,0,35
42,Ajingi,18-Dec,12,2018,1,1,1,6,0.666666667,0.666666667,0.666666667,6
43,Akamkpa,18-Nov,11,2018,0.436692528,0.325943886,0.54744117,6,0.183486284,-0.049500535,0.416473104,3
44,Akamkpa,18-Dec,12,2018,0.166666667,0.166666667,0.166666667,3,0.5,0.5,0.5,1
45,Akinyele,18-Oct,10,2018,0.278776969,0.06250597,0.495047968,35,0.389447222,0.061172643,0.717721802,25
46,Akinyele,18-Aug,8,2018,0.090909091,0.090909091,0.090909091,27,0,0,0,22
47,Akko,18-Oct,10,2018,0.684210526,0.684210526,0.684210526,12,0.571428571,0.571428571,0.571428571,9
48,Akko,18-Nov,11,2018,0.75,0.75,0.75,2,0.333333333,0.333333333,0.333333333,2
49,Akko,18-Dec,12,2018,0.5,0.5,0.5,5,0.166666667,0.166666667,0.166666667,3
50,Akko,18-Sep,9,2018,0.402313192,0.154389429,0.650236956,30,0.224752642,0.123309311,0.326195974,21
51,Akoko North East,18-Sep,9,2018,0.39062834,0.326982032,0.454274649,19,0.327306298,0.171662098,0.482950499,13
52,Akoko North West,18-Sep,9,2018,0.430665264,0.234768486,0.626562041,9,0.412113475,0.201892385,0.622334564,8
53,Akoko South East,18-Sep,9,2018,0.5,0.5,0.5,4,0.333333333,0.333333333,0.333333333,3
