,State,time2,PfPr_microscopy,ci_l_micro,ci_u_micro,num_state,PfPr_RDT,ci_l_RDT,ci_u_RDT,num_state_RDT,month
1,Abia,15-Oct,0.042458196,-0.040945607,0.125861999,25,0.226568586,0.008329466,0.444807706,34,10
2,Abia,15-Nov,0.10747618,0.051762024,0.163190336,31,0.192968642,0.073918003,0.312019281,31,11
3,Adamawa,15-Oct,0.36014298,0.187578267,0.532707692,107,0.561559982,0.377001999,0.746117966,107,10
4,Adamawa,15-Nov,0.323755445,0.061151559,0.586359331,31,0.544790967,0.217944692,0.871637242,32,11
5,Akwa lbom,15-Oct,0.12771141,0.009994521,0.245428299,67,0.246244616,0.036655649,0.455833582,71,10
6,Akwa lbom,15-Nov,0.424141279,0.190835321,0.657447236,34,0.359825991,0.140644192,0.57900779,36,11
7,Anambra,15-Oct,0.115400768,0.002230146,0.228571391,97,0.199386097,0.05371315,0.345059044,97,10
8,Anambra,15-Nov,0.048780489,-0.054518666,0.152079643,30,0.247386761,0.02603143,0.468742093,30,11
9,Bauchi,15-Oct,0.17301319,0.019995662,0.326030719,205,0.376910886,0.137117061,0.616704711,213,10
10,Bauchi,15-Nov,0.313945761,-0.040216989,0.668108511,36,0.595779764,0.15074783,1.040811697,40,11
11,Bayelsa,15-Oct,0.279299583,0.120984217,0.43761495,92,0.346415813,0.223019123,0.469812502,98,10
12,Bayelsa,15-Nov,0.565217391,0.565217391,0.565217391,12,0.52173913,0.52173913,0.52173913,12,11
13,Benue,15-Oct,0.485713156,0.372276538,0.599149775,177,0.629082748,0.382396713,0.875768783,177,10
14,Benue,15-Nov,0,0,0,9,0,0,0,9,11
15,Borno,15-Oct,0,0,0,20,0.056210518,0.002429888,0.109991148,20,10
16,Cross River,15-Oct,0.257261462,0.131769005,0.382753919,78,0.388328099,0.255016307,0.521639891,84,10
17,Cross River,15-Nov,0.333333333,0.333333333,0.333333333,6,0.666666667,0.666666667,0.666666667,6,11
18,Delta,15-Oct,0.342813202,0.055672952,0.629953452,66,0.398407976,0.188175155,0.608640796,68,10
19,Delta,15-Nov,0.018132145,-0.016823731,0.05308802,49,0.033016033,0.004325181,0.061706886,48,11
20,Ebonyi,15-Oct,0.305713904,0.162022165,0.449405644,108,0.5259794,0.3794181,0.6725407,113,10
21,Ebonyi,15-Nov,0.260588467,0.155091743,0.366085191,19,0.420196156,0.324366871,0.516025441,19,11
22,Edo,15-Oct,0.230302808,0.122297018,0.338308599,39,0.472191492,0.300497646,0.643885337,42,10
23,Edo,15-Nov,0.092006338,-0.025590655,0.209603332,19,0.092006338,-0.025590655,0.209603332,19,11
24,Ekiti,15-Oct,0.271578128,0.08690515,0.456251106,46,0.36521497,0.167332143,0.563097797,47,10
25,Ekiti,15-Nov,0.312734593,0.226723034,0.398746152,28,0.350563634,0.187102765,0.514024502,28,11
26,Enugu,15-Oct,0.104380697,-0.020807357,0.229568751,61,0.295629373,0.151260622,0.439998125,62,10
27,Enugu,15-Nov,0.102444975,-0.065152606,0.270042555,27,0.475126315,0.352221422,0.598031207,27,11
28,Federal Capital Territory,15-Oct,0.270909034,0.027986526,0.513831541,17,0.472500982,0.239838153,0.70516381,17,10
29,Federal Capital Territory,15-Nov,0.098921322,0.046826254,0.15101639,9,0.221038352,0.091759175,0.350317529,9,11
30,Gombe,15-Oct,0.273320633,0.061296402,0.485344863,69,0.44826325,0.284765556,0.611760944,73,10
31,Gombe,15-Nov,0.319054757,0.12838494,0.509724575,31,0.504601422,0.293497062,0.715705782,31,11
32,Imo,15-Oct,0.026237276,-0.013735703,0.066210254,83,0.187079476,0.046449018,0.327709935,84,10
33,Imo,15-Nov,0.16156574,-0.003396796,0.326528276,18,0.438938962,0.140365314,0.73751261,22,11
34,Jigawa,15-Oct,0.283849377,0.13314818,0.434550575,240,0.546106188,0.323711861,0.768500516,254,10
35,Jigawa,15-Nov,0.269663662,0.14952924,0.389798083,81,0.681047931,0.480833689,0.881262173,85,11
36,Kaduna,15-Oct,0.419303369,0.138567938,0.7000388,156,0.596434041,0.386711285,0.806156798,164,10
37,Kaduna,15-Nov,0.280137458,0.171403965,0.388870951,85,0.467009312,0.337297982,0.596720643,86,11
38,Kano,15-Oct,0.279862915,0.118948072,0.440777758,179,0.63787682,0.398027361,0.87772628,206,10
39,Kano,15-Nov,0.138528947,-0.034307279,0.311365173,111,0.37370532,-0.001312183,0.748722822,113,11
40,Katsina,15-Oct,0.313442335,0.177257261,0.449627409,298,0.598829992,0.447353562,0.750306422,319,10
41,Katsina,15-Nov,0.190923783,0.111653748,0.270193818,144,0.406532011,0.247363735,0.565700286,148,11
42,Kebbi,15-Oct,0.605445585,0.3825665,0.82832467,106,0.466740689,0.272405681,0.661075696,116,10
43,Kebbi,15-Nov,0.697768881,0.468402833,0.927134928,50,0.540526767,0.482728085,0.598325448,51,11
44,Kogi,15-Oct,0.072982907,0.040403981,0.105561832,86,0.364769603,0.223172942,0.506366263,98,10
45,Kogi,15-Nov,0.016317749,-0.015720411,0.048355908,44,0.034267258,-0.031603208,0.100137725,44,11
46,Kwara,15-Oct,0.26642873,0.114500142,0.418357318,95,0.525780893,0.249239456,0.80232233,105,10
47,Kwara,15-Nov,0.141937496,0.105592319,0.178282673,20,0.287093756,0.23257599,0.341611522,20,11
48,Lagos,15-Oct,0,0,0,145,0.02664729,0.003039204,0.050255377,142,10
49,Lagos,15-Nov,0,0,0,129,0.01128504,-0.006753331,0.029323411,129,11
50,Nasarawa,15-Oct,0.362540966,0.179870787,0.545211144,82,0.570980671,0.433768267,0.708193075,84,10
51,Nasarawa,15-Nov,0.346094174,0.12458588,0.567602469,26,0.582295587,0.316070906,0.848520267,26,11
52,Niger,15-Oct,0.365964567,0.202818165,0.529110969,210,0.576115724,0.390652719,0.761578728,216,10
53,Niger,15-Nov,0.1929741,0.087516377,0.298431823,44,0.322838625,0.165004641,0.480672608,49,11
54,Ogun,15-Oct,0.149725964,-0.014558669,0.314010597,48,0.426581441,0.22167616,0.631486722,57,10
55,Ogun,15-Nov,0.135213988,0.017894548,0.252533427,45,0.245812134,0.104585353,0.387038916,45,11
56,Ondo,15-Oct,0.223100179,0.131474664,0.314725695,96,0.513061933,0.402256428,0.623867437,112,10
57,Ondo,15-Nov,0.156563202,0.105540657,0.207585748,17,0.268127426,0.091867722,0.444387129,17,11
58,Osun,15-Oct,0.306024561,0.043585848,0.568463274,85,0.561764186,0.329360855,0.794167516,103,10
59,Osun,15-Nov,0.427252474,0.287733176,0.566771773,36,0.502086079,0.406999247,0.597172912,36,11
60,Oyo,15-Oct,0.244593392,0.078294845,0.410891939,95,0.542836158,0.26581459,0.819857726,116,10
61,Oyo,15-Nov,0.111409782,-0.031296874,0.254116439,126,0.311304692,0.115722446,0.506886938,128,11
62,Plateau,15-Oct,0.33144773,0.141407219,0.52148824,140,0.521895402,0.294955221,0.748835582,140,10
63,Plateau,15-Nov,0.407843265,0.248015455,0.567671075,33,0.68689392,0.41771024,0.9560776,33,11
64,Rivers,15-Oct,0.141140037,0.017445698,0.264834376,99,0.244069092,0.047628588,0.440509596,99,10
65,Rivers,15-Nov,0,0,0,89,0.141368665,0.06481449,0.217922839,89,11
66,Sokoto,15-Oct,0.40159146,0.252328568,0.550854352,98,0.605310019,0.49507506,0.715544979,103,10
67,Sokoto,15-Nov,0.635698756,0.446123904,0.825273609,46,0.771959317,0.543810596,1.000108037,51,11
68,Taraba,15-Oct,0.463676988,0.276963559,0.650390418,108,0.533453303,0.373677037,0.693229568,110,10
69,Taraba,15-Nov,0.280966222,0.154034128,0.407898317,20,0.554961026,0.408500916,0.701421135,20,11
70,Yobe,15-Oct,0.231836471,0.090465906,0.373207035,77,0.42298466,0.201374857,0.644594462,80,10
71,Yobe,15-Nov,0.153717995,0.046589805,0.260846185,98,0.19377192,0.085179698,0.302364142,98,11
72,Zamfara,15-Oct,0.542503494,0.374076126,0.710930861,113,0.626480428,0.547929429,0.705031427,114,10
73,Zamfara,15-Nov,0.727981132,0.474550569,0.981411695,90,0.787603928,0.64906849,0.926139367,92,11
