LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year
Aba North,Ngor-Okpala,,0.8,0.8,0,-1,2018
Aba South,Ngor-Okpala,,0.8,0.8,0,-1,2018
Abadam,Babura,,0.8,0.8,0,-1,2018
Abaji,Keana,,0.8,0.8,0,-1,2018
Abak,Nsit Ubium,,0.8,0.8,0,-1,2018
Abakaliki,Owan East,,0.8,0.8,0,-1,2018
Abeokuta North,Owan East,,0.8,0.8,0,-1,2018
Abeokuta South,Uzo-Uwani,,0.8,0.8,0,-1,2018
Abi,Obubra,,0.8,0.8,0,-1,2018
Aboh-Mbaise,Ngor-Okpala,,0.8,0.8,0,-1,2018
Abua-Odual,Ahoada West,,0.8,0.8,0,-1,2018
Abuja Municipal,Keana,,0.8,0.8,0,-1,2018
Adavi,Owan East,,0.8,0.8,0,-1,2018
Ado,Akinyele,,0.8,0.8,0,-1,2018
Ado Ekiti,Owan East,,0.8,0.8,0,-1,2018
Ado-Odo-Ota,Uzo-Uwani,,0.8,0.8,0,-1,2018
Afijio,Akinyele,,0.8,0.8,0,-1,2018
Afikpo North,Oru West,,0.8,0.8,0,-1,2018
Afikpo South,Ngor-Okpala,,0.8,0.8,0,-1,2018
Agaie,Oke-Ero,,0.8,0.8,0,-1,2018
Agatu,Keana,,0.8,0.8,0,-1,2018
Agege,Uzo-Uwani,,0.8,0.8,0,-1,2018
Aguata,Oru West,,0.8,0.8,0,-1,2018
Agwara,Birnin Kebbi,,0.8,0.8,0,-1,2018
Ahiazu-Mbaise,Ngor-Okpala,,0.8,0.8,0,-1,2018
Ahoada East,Ahoada West,,0.8,0.8,0,-1,2018
Ahoada West,Ahoada West,,0.8,0.8,0,-1,2018
Aiyedade,Akinyele,,0.8,0.8,0,-1,2018
Aiyedire,Akinyele,,0.8,0.8,0,-1,2018
Ajaokuta,Owan East,,0.8,0.8,0,-1,2018
Ajeromi-Ifelodun,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ajingi,Taura,,0.8,0.8,0,-1,2018
Akamkpa,Ngor-Okpala,,0.8,0.8,0,-1,2018
Akinyele,Akinyele,,0.8,0.8,0,-1,2018
Akko,Alkaleri,,0.8,0.8,0,-1,2018
Akoko North East,Oke-Ero,,0.8,0.8,0,-1,2018
Akoko North West,Oke-Ero,,0.8,0.8,0,-1,2018
Akoko South East,Oke-Ero,,0.8,0.8,0,-1,2018
Akoko South West,Oke-Ero,,0.8,0.8,0,-1,2018
Akoko-Edo,Owan East,,0.8,0.8,0,-1,2018
Akpabuyo,Nsit Ubium,,0.8,0.8,0,-1,2018
Akuku Toru,Ahoada West,,0.8,0.8,0,-1,2018
Akure North,Owan East,,0.8,0.8,0,-1,2018
Akure South,Owan East,,0.8,0.8,0,-1,2018
Akwanga,Oke-Ero,,0.8,0.8,0,-1,2018
Albasu,Takali,,0.8,0.8,0,-1,2018
Aleiro,Birnin Kebbi,,0.8,0.8,0,-1,2018
Alimosho,Uzo-Uwani,,0.8,0.8,0,-1,2018
Alkaleri,Alkaleri,,0.8,0.8,0,-1,2018
Amuwo-Odofin,Isoko South,,0.8,0.8,0,-1,2018
Anambra East,Uzo-Uwani,,0.8,0.8,0,-1,2018
Anambra West,Uzo-Uwani,,0.8,0.8,0,-1,2018
Anaocha,Oru West,,0.8,0.8,0,-1,2018
Andoni,Nsit Ubium,,0.8,0.8,0,-1,2018
Aninri,Oru West,,0.8,0.8,0,-1,2018
Aniocha North,Uzo-Uwani,,0.8,0.8,0,-1,2018
Aniocha South,Uzo-Uwani,,0.8,0.8,0,-1,2018
Anka,Darazo,,0.8,0.8,0,-1,2018
Ankpa,Owan East,,0.8,0.8,0,-1,2018
Apa,Keana,,0.8,0.8,0,-1,2018
Apapa,Isoko South,,0.8,0.8,0,-1,2018
Ardo-Kola,Keana,,0.8,0.8,0,-1,2018
Arewa-Dandi,Birnin Kebbi,,0.8,0.8,0,-1,2018
Argungu,Birnin Kebbi,,0.8,0.8,0,-1,2018
Arochukwu,Ngor-Okpala,,0.8,0.8,0,-1,2018
Asa,Oke-Ero,,0.8,0.8,0,-1,2018
Asari-Toru,Ahoada West,,0.8,0.8,0,-1,2018
Askira-Uba,Darazo,,0.8,0.8,0,-1,2018
Atakumosa East,Oke-Ero,,0.8,0.8,0,-1,2018
Atakumosa West,Akinyele,,0.8,0.8,0,-1,2018
Atiba,Akinyele,,0.8,0.8,0,-1,2018
Atigbo,Oke-Ero,,0.8,0.8,0,-1,2018
Augie,Birnin Kebbi,,0.8,0.8,0,-1,2018
Auyo,Taura,,0.8,0.8,0,-1,2018
Awe,Keana,,0.8,0.8,0,-1,2018
Awgu,Oru West,,0.8,0.8,0,-1,2018
Awka North,Uzo-Uwani,,0.8,0.8,0,-1,2018
Awka South,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ayamelum,Uzo-Uwani,,0.8,0.8,0,-1,2018
Babura,Babura,,0.8,0.8,0,-1,2018
Badagry,Uzo-Uwani,,0.8,0.8,0,-1,2018
Bade,Taura,,0.8,0.8,0,-1,2018
Bagudo,Birnin Kebbi,,0.8,0.8,0,-1,2018
Bagwai,Babura,,0.8,0.8,0,-1,2018
Bakassi,Obubra,,0.8,0.8,0,-1,2018
Bakori,Gwarzo,,0.8,0.8,0,-1,2018
Bakura,Darazo,,0.8,0.8,0,-1,2018
Balanga,Alkaleri,,0.8,0.8,0,-1,2018
Bali,Keana,,0.8,0.8,0,-1,2018
Bama,Darazo,,0.8,0.8,0,-1,2018
Barikin Ladi,Soba,,0.8,0.8,0,-1,2018
Baruten,Oke-Ero,,0.8,0.8,0,-1,2018
Bassa1,Keana,,0.8,0.8,0,-1,2018
Bassa2,Soba,,0.8,0.8,0,-1,2018
Batagarawa,Rimi,,0.8,0.8,0,-1,2018
Batsari,Rimi,,0.8,0.8,0,-1,2018
Bauchi,Alkaleri,,0.8,0.8,0,-1,2018
Baure,Babura,,0.8,0.8,0,-1,2018
Bayo,Alkaleri,,0.8,0.8,0,-1,2018
Bebeji,Gwarzo,,0.8,0.8,0,-1,2018
Bekwara,Oke-Ero,,0.8,0.8,0,-1,2018
Bende,Ngor-Okpala,,0.8,0.8,0,-1,2018
Biase,Ngor-Okpala,,0.8,0.8,0,-1,2018
Bichi,Gwarzo,,0.8,0.8,0,-1,2018
Bida,Oke-Ero,,0.8,0.8,0,-1,2018
Billiri,Alkaleri,,0.8,0.8,0,-1,2018
Bindawa,Rimi,,0.8,0.8,0,-1,2018
Binji,Gawabawa,,0.8,0.8,0,-1,2018
Biriniwa,Taura,,0.8,0.8,0,-1,2018
Birni Kudu,Takali,,0.8,0.8,0,-1,2018
Birnin Kebbi,Birnin Kebbi,,0.8,0.8,0,-1,2018
Birnin Magaji,Rimi,,0.8,0.8,0,-1,2018
Birnin-Gwari,Giwa,,0.8,0.8,0,-1,2018
Biu,Darazo,,0.8,0.8,0,-1,2018
Bodinga,Gawabawa,,0.8,0.8,0,-1,2018
Bogoro,Alkaleri,,0.8,0.8,0,-1,2018
Boki,Obubra,,0.8,0.8,0,-1,2018
Bokkos,Giwa,,0.8,0.8,0,-1,2018
Boluwaduro,Akinyele,,0.8,0.8,0,-1,2018
Bomadi,Isoko South,,0.8,0.8,0,-1,2018
Bonny,Nsit Ubium,,0.8,0.8,0,-1,2018
Borgu,Oke-Ero,,0.8,0.8,0,-1,2018
Boripe,Akinyele,,0.8,0.8,0,-1,2018
Bosso,Keana,,0.8,0.8,0,-1,2018
Brass,Ahoada West,,0.8,0.8,0,-1,2018
Buji,Takali,,0.8,0.8,0,-1,2018
Bukkuyum,Alkaleri,,0.8,0.8,0,-1,2018
Bungudu,Takali,,0.8,0.8,0,-1,2018
Bunkure,Gwarzo,,0.8,0.8,0,-1,2018
Bunza,Birnin Kebbi,,0.8,0.8,0,-1,2018
Bursari,Taura,,0.8,0.8,0,-1,2018
Buruku,Keana,,0.8,0.8,0,-1,2018
Burutu,Isoko South,,0.8,0.8,0,-1,2018
Bwari,Giwa,,0.8,0.8,0,-1,2018
Calabar South,Nsit Ubium,,0.8,0.8,0,-1,2018
Calabar-Municipal,Nsit Ubium,,0.8,0.8,0,-1,2018
Chanchaga,Keana,,0.8,0.8,0,-1,2018
Charanchi,Rimi,,0.8,0.8,0,-1,2018
Chibok,Darazo,,0.8,0.8,0,-1,2018
Chikun,Soba,,0.8,0.8,0,-1,2018
Dala,Alkaleri,,0.8,0.8,0,-1,2018
Damaturu,Darazo,,0.8,0.8,0,-1,2018
Damban,Darazo,,0.8,0.8,0,-1,2018
Dambatta,Babura,,0.8,0.8,0,-1,2018
Damboa,Darazo,,0.8,0.8,0,-1,2018
Dan Musa,Rimi,,0.8,0.8,0,-1,2018
Dandi,Birnin Kebbi,,0.8,0.8,0,-1,2018
Dandume,Giwa,,0.8,0.8,0,-1,2018
Dange-Shnsi,Gawabawa,,0.8,0.8,0,-1,2018
Danja,Giwa,,0.8,0.8,0,-1,2018
Darazo,Darazo,,0.8,0.8,0,-1,2018
Dass,Alkaleri,,0.8,0.8,0,-1,2018
Daura,Babura,,0.8,0.8,0,-1,2018
Dawakin Kudu,Gwarzo,,0.8,0.8,0,-1,2018
Dawakin Tofa,Taura,,0.8,0.8,0,-1,2018
Degema,Ahoada West,,0.8,0.8,0,-1,2018
Dekina,Owan East,,0.8,0.8,0,-1,2018
Demsa,Alkaleri,,0.8,0.8,0,-1,2018
Dikwa,Darazo,,0.8,0.8,0,-1,2018
Doguwa,Giwa,,0.8,0.8,0,-1,2018
Doma,Keana,,0.8,0.8,0,-1,2018
Donga,Keana,,0.8,0.8,0,-1,2018
Dukku,Darazo,,0.8,0.8,0,-1,2018
Dunukofia,Uzo-Uwani,,0.8,0.8,0,-1,2018
Dutse,Takali,,0.8,0.8,0,-1,2018
Dutsi,Rimi,,0.8,0.8,0,-1,2018
Dutsin-Ma,Rimi,,0.8,0.8,0,-1,2018
Eastern Obolo,Nsit Ubium,,0.8,0.8,0,-1,2018
Ebonyi,Owan East,,0.8,0.8,0,-1,2018
Edati,Oke-Ero,,0.8,0.8,0,-1,2018
Ede North,Akinyele,,0.8,0.8,0,-1,2018
Ede South,Akinyele,,0.8,0.8,0,-1,2018
Edu,Oke-Ero,,0.8,0.8,0,-1,2018
Efon-Alayee,Oke-Ero,,0.8,0.8,0,-1,2018
Egbado North,Owan East,,0.8,0.8,0,-1,2018
Egbado South,Uzo-Uwani,,0.8,0.8,0,-1,2018
Egbeda,Akinyele,,0.8,0.8,0,-1,2018
Egbedore,Akinyele,,0.8,0.8,0,-1,2018
Egor,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ehime-Mbano,Ngor-Okpala,,0.8,0.8,0,-1,2018
Ejigbo,Akinyele,,0.8,0.8,0,-1,2018
Ekeremor,Ahoada West,,0.8,0.8,0,-1,2018
Eket,Nsit Ubium,,0.8,0.8,0,-1,2018
Ekiti,Oke-Ero,,0.8,0.8,0,-1,2018
Ekiti East,Oke-Ero,,0.8,0.8,0,-1,2018
Ekiti South West,Oke-Ero,,0.8,0.8,0,-1,2018
Ekiti West,Oke-Ero,,0.8,0.8,0,-1,2018
Ekwusigo,Oru West,,0.8,0.8,0,-1,2018
Eleme,Ahoada West,,0.8,0.8,0,-1,2018
Emohua,Ahoada West,,0.8,0.8,0,-1,2018
Emure,Oke-Ero,,0.8,0.8,0,-1,2018
Enugu East,Uzo-Uwani,,0.8,0.8,0,-1,2018
Enugu North,Uzo-Uwani,,0.8,0.8,0,-1,2018
Enugu South,Uzo-Uwani,,0.8,0.8,0,-1,2018
Epe,Uzo-Uwani,,0.8,0.8,0,-1,2018
Esan Central,Owan East,,0.8,0.8,0,-1,2018
Esan North East,Uzo-Uwani,,0.8,0.8,0,-1,2018
Esan South East,Uzo-Uwani,,0.8,0.8,0,-1,2018
Esan West,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ese-Odo,Owan East,,0.8,0.8,0,-1,2018
Esit Eket,Nsit Ubium,,0.8,0.8,0,-1,2018
Essien Udim,Ngor-Okpala,,0.8,0.8,0,-1,2018
Etche,Ngor-Okpala,,0.8,0.8,0,-1,2018
Ethiope East,Isoko South,,0.8,0.8,0,-1,2018
Ethiope West,Isoko South,,0.8,0.8,0,-1,2018
Etim Ekpo,Isoko South,,0.8,0.8,0,-1,2018
Etinan,Ngor-Okpala,,0.8,0.8,0,-1,2018
Eti-Osa,Nsit Ubium,,0.8,0.8,0,-1,2018
Etsako Central,Owan East,,0.8,0.8,0,-1,2018
Etsako East,Owan East,,0.8,0.8,0,-1,2018
Etsako West,Owan East,,0.8,0.8,0,-1,2018
Etung,Obubra,,0.8,0.8,0,-1,2018
Ewekoro,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ezeagu,Uzo-Uwani,,0.8,0.8,0,-1,2018
Ezinihitte,Ngor-Okpala,,0.8,0.8,0,-1,2018
Ezza North,Owan East,,0.8,0.8,0,-1,2018
Ezza South,Obubra,,0.8,0.8,0,-1,2018
Fagge,Alkaleri,,0.8,0.8,0,-1,2018
Fakai,Birnin Kebbi,,0.8,0.8,0,-1,2018
Faskari,Giwa,,0.8,0.8,0,-1,2018
Fika,Darazo,,0.8,0.8,0,-1,2018
Fufore,Alkaleri,,0.8,0.8,0,-1,2018
