LGA,mapB_mix,repDS,peak,simday,year,coverage,initial_killing,box_duration,decay_time_constant
Abakaliki,CM+IPTp+IRS+IPTi,Owan East,march,70,2020,0.6,0.7,180,90
Abuja Municipal,CM+IPTp+IRS+SMC,Keana,august,223,2020,0.6,0.7,180,90
Afikpo North,CM+IPTp+IRS+IPTi,Oru West,june,162,2020,0.6,0.7,180,90
Afikpo South,CM+IPTp+IRS+IPTi,Ngor-Okpala,june,162,2020,0.6,0.7,180,90
Agaie,CM+IPTp+IRS+SMC,Oke-Ero,july,186,2020,0.6,0.7,180,90
Agwara,CM+IPTp+IRS+SMC,Birnin Kebbi,august,223,2020,0.6,0.7,180,90
Aiyedade,CM+IPTp+IRS+IPTi,Akinyele,may,131,2020,0.6,0.7,180,90
Aiyedire,CM+IPTp+IRS+IPTi,Akinyele,may,131,2020,0.6,0.7,180,90
Ajaokuta,CM+IPTp+IRS+SMC,Owan East,march,70,2020,0.6,0.7,180,90
Ajingi,CM+IPTp+IRS+SMC,Taura,july,186,2020,0.6,0.7,180,90
Akinyele,CM+IPTp+IRS+IPTi,Akinyele,may,131,2020,0.6,0.7,180,90
Akko,CM+IPTp+IRS+SMC,Alkaleri,july,186,2020,0.6,0.7,180,90
Akoko South East,CM+IPTp+IRS+IPTi,Oke-Ero,july,186,2020,0.6,0.7,180,90
Akwanga,CM+IPTp+IRS+SMC,Oke-Ero,july,186,2020,0.6,0.7,180,90
Alkaleri,CM+IPTp+IRS+SMC,Alkaleri,july,186,2020,0.6,0.7,180,90
Anka,CM+IPTp+IRS+SMC,Darazo,july,186,2020,0.6,0.7,180,90
Ardo-Kola,CM+IPTp+IRS+SMC,Keana,august,223,2020,0.6,0.7,180,90
Asa,CM+IPTp+IRS+IPTi,Oke-Ero,july,186,2020,0.6,0.7,180,90
Askira-Uba,CM+IPTp+IRS+SMC,Darazo,july,186,2020,0.6,0.7,180,90
Atakumosa East,CM+IPTp+IRS+IPTi,Oke-Ero,july,186,2020,0.6,0.7,180,90
Atakumosa West,CM+IPTp+IRS+IPTi,Akinyele,may,131,2020,0.6,0.7,180,90
Auyo,CM+IPTp+IRS+SMC,Taura,july,186,2020,0.6,0.7,180,90
Awe,CM+IPTp+IRS+SMC,Keana,august,223,2020,0.6,0.7,180,90
Babura,CM+IPTp+IRS+SMC,Babura,may,131,2020,0.6,0.7,180,90
Bagudo,CM+IPTp+IRS+SMC,Birnin Kebbi,august,223,2020,0.6,0.7,180,90
Bagwai,CM+IPTp+IRS+SMC,Babura,may,131,2020,0.6,0.7,180,90
Bakassi,CM+IPTp+IRS+IPTi,Obubra,june,162,2020,0.6,0.7,180,90
Bakori,CM+IPTp+IRS+SMC,Gwarzo,august,223,2020,0.6,0.7,180,90
Bakura,CM+IPTp+IRS+SMC,Darazo,july,186,2020,0.6,0.7,180,90
Balanga,CM+IPTp+IRS+SMC,Alkaleri,july,186,2020,0.6,0.7,180,90
Bali,CM+IPTp+IRS+SMC,Keana,august,223,2020,0.6,0.7,180,90
Batagarawa,CM+IPTp+IRS+SMC,Rimi,march,70,2020,0.6,0.7,180,90
Batsari,CM+IPTp+IRS+SMC,Rimi,march,70,2020,0.6,0.7,180,90
Bauchi,CM+IPTp+IRS+SMC,Alkaleri,july,186,2020,0.6,0.7,180,90
Baure,CM+IPTp+IRS+SMC,Babura,may,131,2020,0.6,0.7,180,90
Bayo,CM+IPTp+IRS+SMC,Alkaleri,july,186,2020,0.6,0.7,180,90
Bebeji,CM+IPTp+IRS+SMC,Gwarzo,august,223,2020,0.6,0.7,180,90
Bichi,CM+IPTp+IRS+SMC,Gwarzo,august,223,2020,0.6,0.7,180,90
Bida,CM+IPTp+IRS+SMC,Oke-Ero,july,186,2020,0.6,0.7,180,90
Billiri,CM+IPTp+IRS+SMC,Alkaleri,july,186,2020,0.6,0.7,180,90
Bindawa,CM+IPTp+IRS+SMC,Rimi,march,70,2020,0.6,0.7,180,90
Birni Kudu,CM+IPTp+IRS+SMC,Takali,september,250,2020,0.6,0.7,180,90
Birnin Magaji,CM+IPTp+IRS+SMC,Rimi,march,70,2020,0.6,0.7,180,90
Birnin-Gwari,CM+IPTp+IRS+SMC,Giwa,august,223,2020,0.6,0.7,180,90
Biu,CM+IPTp+IRS+SMC,Darazo,july,186,2020,0.6,0.7,180,90
